Date,iShares Currency Hedged MSCI ItalyEtf_Open_average,iShares Currency Hedged MSCI ItalyEtf_Open_max,iShares Currency Hedged MSCI ItalyEtf_Open_min,iShares Currency Hedged MSCI ItalyEtf_Open_volatility,iShares Currency Hedged MSCI ItalyEtf_Open_change,iShares Currency Hedged MSCI ItalyEtf_High_average,iShares Currency Hedged MSCI ItalyEtf_High_max,iShares Currency Hedged MSCI ItalyEtf_High_min,iShares Currency Hedged MSCI ItalyEtf_High_volatility,iShares Currency Hedged MSCI ItalyEtf_High_change,iShares Currency Hedged MSCI ItalyEtf_Low_average,iShares Currency Hedged MSCI ItalyEtf_Low_max,iShares Currency Hedged MSCI ItalyEtf_Low_min,iShares Currency Hedged MSCI ItalyEtf_Low_volatility,iShares Currency Hedged MSCI ItalyEtf_Low_change,iShares Currency Hedged MSCI ItalyEtf_Close_average,iShares Currency Hedged MSCI ItalyEtf_Close_max,iShares Currency Hedged MSCI ItalyEtf_Close_min,iShares Currency Hedged MSCI ItalyEtf_Close_volatility,iShares Currency Hedged MSCI ItalyEtf_Close_change
2016-01-03,20.88,20.88,20.88,0.0,0.0,20.88,20.88,20.88,0.0,0.0,20.51,20.51,20.51,0.0,0.0,20.51,20.51,20.51,0.0,0.0
2016-01-10,19.69,19.69,19.69,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.48,19.48,19.48,0.0,0.0,19.64,19.64,19.64,0.0,0.0
2016-01-17,19.89,19.89,19.89,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.53,19.53,19.53,0.0,0.0,19.73,19.73,19.73,0.0,0.0
2016-01-24,19.18,19.18,19.18,0.0,0.0,19.31,19.31,19.31,0.0,0.0,19.18,19.18,19.18,0.0,0.0,19.29,19.29,19.29,0.0,0.0
2016-01-31,18.15,18.15,18.15,0.0,0.0,18.17,18.17,18.17,0.0,0.0,17.69,17.69,17.69,0.0,0.0,17.69,17.69,17.69,0.0,0.0
2016-02-07,16.82,16.82,16.82,0.0,0.0,17.0,17.0,17.0,0.0,0.0,16.82,16.82,16.82,0.0,0.0,17.0,17.0,17.0,0.0,0.0
2016-02-14,17.41,17.41,17.41,0.0,0.0,17.41,17.41,17.41,0.0,0.0,17.29,17.29,17.29,0.0,0.0,17.33,17.33,17.33,0.0,0.0
2016-02-21,18.02,18.02,18.02,0.0,0.0,18.02,18.02,18.02,0.0,0.0,17.94,17.94,17.94,0.0,0.0,17.94,17.94,17.94,0.0,0.0
2016-02-28,18.79,18.79,18.79,0.0,0.0,18.94,18.94,18.94,0.0,0.0,18.79,18.79,18.79,0.0,0.0,18.86,18.86,18.86,0.0,0.0
2016-03-06,19.52,19.52,19.52,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.7,19.7,19.7,0.0,0.0
2016-03-13,19.22,19.22,19.22,0.0,0.0,19.23,19.23,19.23,0.0,0.0,19.22,19.22,19.22,0.0,0.0,19.23,19.23,19.23,0.0,0.0
2016-03-20,19.35,19.35,19.35,0.0,0.0,19.35,19.35,19.35,0.0,0.0,19.04,19.04,19.04,0.0,0.0,19.05,19.05,19.05,0.0,0.0
2016-03-27,18.4,18.4,18.4,0.0,0.0,18.4,18.4,18.4,0.0,0.0,18.27,18.27,18.27,0.0,0.0,18.27,18.27,18.27,0.0,0.0
2016-04-03,17.93,17.93,17.93,0.0,0.0,17.98,17.98,17.98,0.0,0.0,17.93,17.93,17.93,0.0,0.0,17.98,17.98,17.98,0.0,0.0
2016-04-10,18.79,18.79,18.79,0.0,0.0,18.79,18.79,18.79,0.0,0.0,18.77,18.77,18.77,0.0,0.0,18.77,18.77,18.77,0.0,0.0
2016-04-17,19.39,19.39,19.39,0.0,0.0,19.39,19.39,19.39,0.0,0.0,19.32,19.32,19.32,0.0,0.0,19.36,19.36,19.36,0.0,0.0
2016-04-24,19.52,19.52,19.52,0.0,0.0,19.53,19.53,19.53,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.32,19.32,19.32,0.0,0.0
2016-05-01,18.59,18.59,18.59,0.0,0.0,18.59,18.59,18.59,0.0,0.0,18.38,18.38,18.38,0.0,0.0,18.49,18.49,18.49,0.0,0.0
2016-05-08,18.46,18.46,18.46,0.0,0.0,18.46,18.46,18.46,0.0,0.0,18.27,18.27,18.27,0.0,0.0,18.28,18.28,18.28,0.0,0.0
2016-05-15,18.37,18.37,18.37,0.0,0.0,18.45,18.45,18.45,0.0,0.0,18.34,18.34,18.34,0.0,0.0,18.45,18.45,18.45,0.0,0.0
2016-05-22,19.14,19.14,19.14,0.0,0.0,19.17,19.17,19.17,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.17,19.17,19.17,0.0,0.0
2016-05-29,18.44,18.44,18.44,0.0,0.0,18.53,18.53,18.53,0.0,0.0,18.4,18.4,18.4,0.0,0.0,18.53,18.53,18.53,0.0,0.0
2016-06-05,18.21,18.21,18.21,0.0,0.0,18.21,18.21,18.21,0.0,0.0,17.98,17.98,17.98,0.0,0.0,18.04,18.04,18.04,0.0,0.0
2016-06-12,17.93,17.93,17.93,0.0,0.0,17.96,17.96,17.96,0.0,0.0,17.93,17.93,17.93,0.0,0.0,17.94,17.94,17.94,0.0,0.0
2016-06-19,17.22,17.22,17.22,0.0,0.0,17.25,17.25,17.25,0.0,0.0,16.58,16.58,16.58,0.0,0.0,16.58,16.58,16.58,0.0,0.0
2016-06-26,17.47,17.47,17.47,0.0,0.0,17.49,17.49,17.49,0.0,0.0,17.42,17.42,17.42,0.0,0.0,17.45,17.45,17.45,0.0,0.0
2016-07-03,16.44,16.44,16.44,0.0,0.0,16.52,16.52,16.52,0.0,0.0,16.44,16.44,16.44,0.0,0.0,16.51,16.51,16.51,0.0,0.0
2016-07-10,17.25,17.25,17.25,0.0,0.0,17.27,17.27,17.27,0.0,0.0,17.25,17.25,17.25,0.0,0.0,17.25,17.25,17.25,0.0,0.0
2016-07-17,17.25,17.25,17.25,0.0,0.0,17.26,17.26,17.26,0.0,0.0,17.23,17.23,17.23,0.0,0.0,17.24,17.24,17.24,0.0,0.0
2016-07-24,17.24,17.24,17.24,0.0,0.0,17.34,17.34,17.34,0.0,0.0,17.24,17.24,17.24,0.0,0.0,17.31,17.31,17.31,0.0,0.0
2016-07-31,17.11,17.11,17.11,0.0,0.0,17.13,17.13,17.13,0.0,0.0,17.09,17.09,17.09,0.0,0.0,17.09,17.09,17.09,0.0,0.0
2016-08-07,17.51,17.51,17.51,0.0,0.0,17.56,17.56,17.56,0.0,0.0,17.49,17.49,17.49,0.0,0.0,17.49,17.49,17.49,0.0,0.0
2016-08-14,16.83,16.83,16.83,0.0,0.0,16.88,16.88,16.88,0.0,0.0,16.8,16.8,16.8,0.0,0.0,16.86,16.86,16.86,0.0,0.0
2016-08-21,17.43,17.43,17.43,0.0,0.0,17.48,17.48,17.48,0.0,0.0,17.24,17.24,17.24,0.0,0.0,17.29,17.29,17.29,0.0,0.0
2016-08-28,17.71,17.71,17.71,0.0,0.0,17.84,17.84,17.84,0.0,0.0,17.68,17.68,17.68,0.0,0.0,17.84,17.84,17.84,0.0,0.0
2016-09-04,17.8,17.8,17.8,0.0,0.0,17.81,17.81,17.81,0.0,0.0,17.72,17.72,17.72,0.0,0.0,17.72,17.72,17.72,0.0,0.0
2016-09-11,16.8,16.8,16.8,0.0,0.0,16.82,16.82,16.82,0.0,0.0,16.78,16.78,16.78,0.0,0.0,16.79,16.79,16.79,0.0,0.0
2016-09-18,17.07,17.07,17.07,0.0,0.0,17.09,17.09,17.09,0.0,0.0,17.05,17.05,17.05,0.0,0.0,17.06,17.06,17.06,0.0,0.0
2016-09-25,16.88,16.88,16.88,0.0,0.0,17.09,17.09,17.09,0.0,0.0,16.88,16.88,16.88,0.0,0.0,17.09,17.09,17.09,0.0,0.0
2016-10-02,17.04,17.04,17.04,0.0,0.0,17.06,17.06,17.06,0.0,0.0,17.04,17.04,17.04,0.0,0.0,17.06,17.06,17.06,0.0,0.0
2016-10-09,17.26,17.26,17.26,0.0,0.0,17.26,17.26,17.26,0.0,0.0,17.19,17.19,17.19,0.0,0.0,17.24,17.24,17.24,0.0,0.0
2016-10-16,17.79,17.79,17.79,0.0,0.0,17.85,17.85,17.85,0.0,0.0,17.79,17.79,17.79,0.0,0.0,17.85,17.85,17.85,0.0,0.0
2016-10-23,17.95,17.95,17.95,0.0,0.0,18.0,18.0,18.0,0.0,0.0,17.91,17.91,17.91,0.0,0.0,17.91,17.91,17.91,0.0,0.0
2016-10-30,16.94,16.94,16.94,0.0,0.0,17.01,17.01,17.01,0.0,0.0,16.94,16.94,16.94,0.0,0.0,16.98,16.98,16.98,0.0,0.0
2016-11-06,17.61,17.61,17.61,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.61,17.61,17.61,0.0,0.0
2016-11-13,17.18,17.18,17.18,0.0,0.0,17.22,17.22,17.22,0.0,0.0,17.13,17.13,17.13,0.0,0.0,17.16,17.16,17.16,0.0,0.0
2016-11-20,17.47,17.47,17.47,0.0,0.0,17.47,17.47,17.47,0.0,0.0,17.47,17.47,17.47,0.0,0.0,17.47,17.47,17.47,0.0,0.0
2016-11-27,13.53,13.53,13.53,0.0,0.0,13.65,13.65,13.65,0.0,0.0,13.53,13.53,13.53,0.0,0.0,13.6,13.6,13.6,0.0,0.0
2016-12-04,14.43,14.43,14.43,0.0,0.0,14.57,14.57,14.57,0.0,0.0,14.41,14.41,14.41,0.0,0.0,14.54,14.54,14.54,0.0,0.0
2016-12-11,14.99,14.99,14.99,0.0,0.0,14.99,14.99,14.99,0.0,0.0,14.94,14.94,14.94,0.0,0.0,14.94,14.94,14.94,0.0,0.0
2016-12-18,15.25,15.25,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0,15.23,15.23,15.23,0.0,0.0,15.24,15.24,15.24,0.0,0.0
2016-12-25,15.17,15.17,15.17,0.0,0.0,15.18,15.18,15.18,0.0,0.0,15.11,15.11,15.11,0.0,0.0,15.11,15.11,15.11,0.0,0.0
2017-01-01,15.36,15.36,15.36,0.0,0.0,15.53,15.53,15.53,0.0,0.0,15.36,15.36,15.36,0.0,0.0,15.52,15.52,15.52,0.0,0.0
2017-01-08,15.24,15.24,15.24,0.0,0.0,15.24,15.24,15.24,0.0,0.0,15.19,15.19,15.19,0.0,0.0,15.19,15.19,15.19,0.0,0.0
2017-01-15,15.2,15.2,15.2,0.0,0.0,15.23,15.23,15.23,0.0,0.0,15.17,15.17,15.17,0.0,0.0,15.18,15.18,15.18,0.0,0.0
2017-01-22,14.97,14.97,14.97,0.0,0.0,14.99,14.99,14.99,0.0,0.0,14.95,14.95,14.95,0.0,0.0,14.96,14.96,14.96,0.0,0.0
2017-01-29,14.8,14.8,14.8,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.81,14.81,14.81,0.0,0.0
2017-02-05,14.62,14.62,14.62,0.0,0.0,14.64,14.64,14.64,0.0,0.0,14.62,14.62,14.62,0.0,0.0,14.64,14.64,14.64,0.0,0.0
2017-02-12,14.69,14.69,14.69,0.0,0.0,14.75,14.75,14.75,0.0,0.0,14.69,14.69,14.69,0.0,0.0,14.75,14.75,14.75,0.0,0.0
2017-02-19,14.42,14.42,14.42,0.0,0.0,14.46,14.46,14.46,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.46,14.46,14.46,0.0,0.0
2017-02-26,15.19,15.19,15.19,0.0,0.0,15.23,15.23,15.23,0.0,0.0,15.17,15.17,15.17,0.0,0.0,15.22,15.22,15.22,0.0,0.0
2017-03-05,15.18,15.18,15.18,0.0,0.0,15.2,15.2,15.2,0.0,0.0,15.18,15.18,15.18,0.0,0.0,15.2,15.2,15.2,0.0,0.0
2017-03-12,15.58,15.58,15.58,0.0,0.0,15.59,15.59,15.59,0.0,0.0,15.56,15.56,15.56,0.0,0.0,15.59,15.59,15.59,0.0,0.0
2017-03-19,15.64,15.64,15.64,0.0,0.0,15.67,15.67,15.67,0.0,0.0,15.63,15.63,15.63,0.0,0.0,15.67,15.67,15.67,0.0,0.0
2017-03-26,15.85,15.85,15.85,0.0,0.0,15.92,15.92,15.92,0.0,0.0,15.85,15.85,15.85,0.0,0.0,15.9,15.9,15.9,0.0,0.0
2017-04-02,15.8,15.8,15.8,0.0,0.0,15.82,15.82,15.82,0.0,0.0,15.77,15.77,15.77,0.0,0.0,15.77,15.77,15.77,0.0,0.0
2017-04-09,15.38,15.38,15.38,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.36,15.36,15.36,0.0,0.0
2017-04-16,15.36,15.36,15.36,0.0,0.0,15.36,15.36,15.36,0.0,0.0,15.34,15.34,15.34,0.0,0.0,15.36,15.36,15.36,0.0,0.0
2017-04-23,16.06,16.06,16.06,0.0,0.0,16.07,16.07,16.07,0.0,0.0,16.02,16.02,16.02,0.0,0.0,16.03,16.03,16.03,0.0,0.0
