Date,MTL_stock_Open_average,MTL_stock_Open_max,MTL_stock_Open_min,MTL_stock_Open_volatility,MTL_stock_Open_change,MTL_stock_High_average,MTL_stock_High_max,MTL_stock_High_min,MTL_stock_High_volatility,MTL_stock_High_change,MTL_stock_Low_average,MTL_stock_Low_max,MTL_stock_Low_min,MTL_stock_Low_volatility,MTL_stock_Low_change,MTL_stock_Close_average,MTL_stock_Close_max,MTL_stock_Close_min,MTL_stock_Close_volatility,MTL_stock_Close_change,MTL_stock_Volume_average,MTL_stock_Volume_max,MTL_stock_Volume_min,MTL_stock_Volume_volatility,MTL_stock_Volume_change
2016-01-03,1.6280000000000001,1.66,1.6,0.05999999999999983,-0.039999999999999813,1.656,1.7,1.62,0.07999999999999985,-0.07999999999999985,1.592,1.62,1.56,0.06000000000000005,-0.06000000000000005,1.604,1.67,1.56,0.10999999999999988,-0.10999999999999988,21449,40662,10414,30248,-11214
2016-01-10,1.5,1.55,1.4,0.15000000000000013,-0.15000000000000013,1.522,1.57,1.42,0.15000000000000013,-0.14000000000000012,1.428,1.51,1.34,0.16999999999999993,-0.09999999999999987,1.446,1.53,1.34,0.18999999999999995,-0.1399999999999999,157409,287389,91927,195462,189056
2016-01-17,1.365,1.47,1.27,0.19999999999999996,0.050000000000000044,1.395,1.54,1.3,0.24,0.1200000000000001,1.3275000000000001,1.47,1.23,0.24,0.1299999999999999,1.3475000000000001,1.47,1.29,0.17999999999999994,0.1299999999999999,126728,136026,121114,14912,-14912
2016-01-24,1.518,1.56,1.47,0.09000000000000008,0.07000000000000006,1.6320000000000001,2.0,1.51,0.49,0.49,1.438,1.49,1.39,0.10000000000000009,0.10000000000000009,1.566,2.0,1.39,0.6100000000000001,0.6100000000000001,318015,919681,74152,845529,820404
2016-01-31,1.6079999999999999,1.68,1.48,0.19999999999999996,0.030000000000000027,1.688,1.8,1.54,0.26,0.020000000000000018,1.548,1.65,1.43,0.21999999999999997,0.13000000000000012,1.5999999999999999,1.69,1.48,0.20999999999999996,0.1499999999999999,352933,614753,127758,486995,-313623
2016-02-07,1.566,1.6,1.53,0.07000000000000006,-0.020000000000000018,1.604,1.63,1.57,0.05999999999999983,0.0,1.534,1.6,1.44,0.16000000000000014,-0.030000000000000027,1.574,1.6,1.54,0.06000000000000005,-0.010000000000000009,155026,328011,14926,313085,134645
2016-02-14,1.675,1.72,1.62,0.09999999999999987,0.09999999999999987,1.8075,1.91,1.69,0.21999999999999997,0.16000000000000014,1.655,1.69,1.6,0.08999999999999986,0.08999999999999986,1.755,1.83,1.68,0.15000000000000013,0.050000000000000044,195935,276785,101109,175676,81982
2016-02-21,1.798,1.88,1.75,0.1299999999999999,-0.040000000000000036,1.84,1.93,1.77,0.15999999999999992,-0.15999999999999992,1.752,1.82,1.71,0.1100000000000001,-0.06000000000000005,1.8,1.86,1.76,0.10000000000000009,-0.10000000000000009,90944,134904,62454,72450,-55053
2016-02-28,1.8619999999999999,2.05,1.76,0.2899999999999998,0.06000000000000005,1.942,2.07,1.8,0.2699999999999998,0.08999999999999986,1.816,1.89,1.74,0.1499999999999999,0.06000000000000005,1.91,2.05,1.8,0.24999999999999978,0.07999999999999985,245986,504177,68126,436051,48539
2016-03-06,1.86,1.88,1.84,0.039999999999999813,0.020000000000000018,1.922,1.95,1.88,0.07000000000000006,-0.07000000000000006,1.842,1.87,1.83,0.040000000000000036,0.0,1.892,1.94,1.86,0.07999999999999985,-0.07999999999999985,193062,364694,24806,339888,-323650
