Date,First Trust ISE Water_etf_Open_average,First Trust ISE Water_etf_Open_max,First Trust ISE Water_etf_Open_min,First Trust ISE Water_etf_Open_volatility,First Trust ISE Water_etf_Open_change,First Trust ISE Water_etf_High_average,First Trust ISE Water_etf_High_max,First Trust ISE Water_etf_High_min,First Trust ISE Water_etf_High_volatility,First Trust ISE Water_etf_High_change,First Trust ISE Water_etf_Low_average,First Trust ISE Water_etf_Low_max,First Trust ISE Water_etf_Low_min,First Trust ISE Water_etf_Low_volatility,First Trust ISE Water_etf_Low_change,First Trust ISE Water_etf_Close_average,First Trust ISE Water_etf_Close_max,First Trust ISE Water_etf_Close_min,First Trust ISE Water_etf_Close_volatility,First Trust ISE Water_etf_Close_change
2016-01-03,28.57,28.57,28.57,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0
2016-01-10,27.37,27.37,27.37,0.0,0.0,27.46,27.46,27.46,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.41,27.41,27.41,0.0,0.0
2016-01-17,27.87,27.87,27.87,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.86,27.86,27.86,0.0,0.0
2016-01-24,28.21,28.21,28.21,0.0,0.0,28.95,28.95,28.95,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.95,28.95,28.95,0.0,0.0
2016-01-31,29.17,29.17,29.17,0.0,0.0,29.17,29.17,29.17,0.0,0.0,28.86,28.86,28.86,0.0,0.0,29.03,29.03,29.03,0.0,0.0
2016-02-07,28.72,28.72,28.72,0.0,0.0,29.09,29.09,29.09,0.0,0.0,28.7,28.7,28.7,0.0,0.0,29.06,29.06,29.06,0.0,0.0
2016-02-14,29.98,29.98,29.98,0.0,0.0,30.13,30.13,30.13,0.0,0.0,29.91,29.91,29.91,0.0,0.0,30.09,30.09,30.09,0.0,0.0
2016-02-21,30.45,30.45,30.45,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.34,30.34,30.34,0.0,0.0
2016-02-28,31.68,31.68,31.68,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2016-03-06,32.03,32.03,32.03,0.0,0.0,32.08,32.08,32.08,0.0,0.0,31.89,31.89,31.89,0.0,0.0,32.08,32.08,32.08,0.0,0.0
2016-03-13,32.93,32.93,32.93,0.0,0.0,33.06,33.06,33.06,0.0,0.0,32.92,32.92,32.92,0.0,0.0,32.94,32.94,32.94,0.0,0.0
2016-03-20,32.11,32.11,32.11,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.01,32.01,32.01,0.0,0.0,32.36,32.36,32.36,0.0,0.0
2016-03-27,32.87,32.87,32.87,0.0,0.0,33.26,33.26,33.26,0.0,0.0,32.69,32.69,32.69,0.0,0.0,33.26,33.26,33.26,0.0,0.0
2016-04-03,32.55,32.55,32.55,0.0,0.0,32.82,32.82,32.82,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.67,32.67,32.67,0.0,0.0
2016-04-10,33.74,33.74,33.74,0.0,0.0,34.0,34.0,34.0,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.94,33.94,33.94,0.0,0.0
2016-04-17,34.81,34.81,34.81,0.0,0.0,35.04,35.04,35.04,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.95,34.95,34.95,0.0,0.0
2016-04-24,35.19,35.19,35.19,0.0,0.0,35.32,35.32,35.32,0.0,0.0,34.93,34.93,34.93,0.0,0.0,35.24,35.24,35.24,0.0,0.0
