Date,STNG_stock_Open_average,STNG_stock_Open_max,STNG_stock_Open_min,STNG_stock_Open_volatility,STNG_stock_Open_change,STNG_stock_High_average,STNG_stock_High_max,STNG_stock_High_min,STNG_stock_High_volatility,STNG_stock_High_change,STNG_stock_Low_average,STNG_stock_Low_max,STNG_stock_Low_min,STNG_stock_Low_volatility,STNG_stock_Low_change,STNG_stock_Close_average,STNG_stock_Close_max,STNG_stock_Close_min,STNG_stock_Close_volatility,STNG_stock_Close_change,STNG_stock_Volume_average,STNG_stock_Volume_max,STNG_stock_Volume_min,STNG_stock_Volume_volatility,STNG_stock_Volume_change
2016-01-03,7.3100000000000005,7.94,6.78,1.1600000000000001,-1.1600000000000001,7.3759999999999994,7.99,6.81,1.1800000000000006,-1.1800000000000006,6.972,7.55,6.44,1.1099999999999994,-1.1099999999999994,7.07,7.62,6.55,1.0700000000000003,-1.0700000000000003,3678308,4209081,2449992,1759089,1374792
2016-01-10,6.1739999999999995,6.64,5.75,0.8899999999999997,-0.79,6.272,6.64,5.91,0.7299999999999995,-0.7299999999999995,5.782,6.27,5.49,0.7799999999999994,-0.7799999999999994,6.0,6.33,5.69,0.6399999999999997,-0.5899999999999999,4671819,5254247,2901788,2352459,2323691
2016-01-17,5.71,5.83,5.53,0.2999999999999998,0.03000000000000025,5.89,6.09,5.68,0.41000000000000014,0.16000000000000014,5.529999999999999,5.68,5.26,0.41999999999999993,0.0,5.73,5.87,5.55,0.3200000000000003,0.03000000000000025,3383058,3970602,2648408,1322194,-720867
2016-01-24,5.886,6.13,5.64,0.4900000000000002,0.33000000000000007,6.052,6.25,5.81,0.4400000000000004,0.33000000000000007,5.78,6.0,5.55,0.4500000000000002,0.4500000000000002,5.8839999999999995,6.1,5.56,0.54,0.54,3150298,4734496,1832848,2901648,26165
2016-01-31,5.822,6.09,5.66,0.4299999999999997,-0.39999999999999947,5.928,6.19,5.72,0.47000000000000064,-0.33000000000000007,5.662,5.96,5.46,0.5,-0.2999999999999998,5.768,6.1,5.63,0.46999999999999975,-0.3699999999999992,2315871,2977235,1885104,1092131,133322
2016-02-07,5.138,5.61,4.8,0.8100000000000005,-0.7200000000000006,5.2860000000000005,5.63,4.96,0.6699999999999999,-0.22999999999999954,4.902,5.1,4.66,0.4399999999999995,-0.21999999999999975,5.124,5.37,4.81,0.5600000000000005,0.009999999999999787,2402060,2775070,1685649,1089421,16742
2016-02-14,5.725,5.94,5.48,0.45999999999999996,0.4399999999999995,5.9075,6.24,5.54,0.7000000000000002,0.41999999999999993,5.5600000000000005,5.76,5.28,0.47999999999999954,0.41000000000000014,5.74,5.93,5.48,0.4499999999999993,0.4499999999999993,2275983,3095604,1744717,1350887,393097
2016-02-21,5.856,6.02,5.65,0.3699999999999992,-0.13999999999999968,5.906,6.07,5.76,0.3100000000000005,-0.16999999999999993,5.618,5.83,5.4,0.4299999999999997,-0.15000000000000036,5.796,5.96,5.71,0.25,-0.25,1635236,2020597,1101066,919531,287539
2016-02-28,6.034,6.28,5.78,0.5,0.25,6.35,6.6,6.07,0.5299999999999994,-0.21999999999999975,5.86,6.03,5.76,0.27000000000000046,0.13999999999999968,6.082,6.22,5.97,0.25,-0.1899999999999995,3964420,4776295,3320437,1455858,-918820
2016-03-06,5.958,6.08,5.64,0.4400000000000004,0.03000000000000025,6.1419999999999995,6.27,5.96,0.3099999999999996,-0.009999999999999787,5.76,6.04,5.45,0.5899999999999999,-0.009999999999999787,5.978,6.23,5.49,0.7400000000000002,0.1200000000000001,3941590,4799816,2948015,1851801,-723730
