Date,iShares MSCI ACWI ex US_etf_Open_average,iShares MSCI ACWI ex US_etf_Open_max,iShares MSCI ACWI ex US_etf_Open_min,iShares MSCI ACWI ex US_etf_Open_volatility,iShares MSCI ACWI ex US_etf_Open_change,iShares MSCI ACWI ex US_etf_High_average,iShares MSCI ACWI ex US_etf_High_max,iShares MSCI ACWI ex US_etf_High_min,iShares MSCI ACWI ex US_etf_High_volatility,iShares MSCI ACWI ex US_etf_High_change,iShares MSCI ACWI ex US_etf_Low_average,iShares MSCI ACWI ex US_etf_Low_max,iShares MSCI ACWI ex US_etf_Low_min,iShares MSCI ACWI ex US_etf_Low_volatility,iShares MSCI ACWI ex US_etf_Low_change,iShares MSCI ACWI ex US_etf_Close_average,iShares MSCI ACWI ex US_etf_Close_max,iShares MSCI ACWI ex US_etf_Close_min,iShares MSCI ACWI ex US_etf_Close_volatility,iShares MSCI ACWI ex US_etf_Close_change
2016-01-03,37.44,37.44,37.44,0.0,0.0,37.53,37.53,37.53,0.0,0.0,36.77,36.77,36.77,0.0,0.0,36.84,36.84,36.84,0.0,0.0
2016-01-10,35.8,35.8,35.8,0.0,0.0,35.95,35.95,35.95,0.0,0.0,35.39,35.39,35.39,0.0,0.0,35.65,35.65,35.65,0.0,0.0
2016-01-17,36.32,36.32,36.32,0.0,0.0,36.57,36.57,36.57,0.0,0.0,36.28,36.28,36.28,0.0,0.0,36.54,36.54,36.54,0.0,0.0
2016-01-24,36.88,36.88,36.88,0.0,0.0,37.43,37.43,37.43,0.0,0.0,36.88,36.88,36.88,0.0,0.0,37.41,37.41,37.41,0.0,0.0
2016-01-31,36.81,36.81,36.81,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.33,36.33,36.33,0.0,0.0,36.47,36.47,36.47,0.0,0.0
2016-02-07,34.95,34.95,34.95,0.0,0.0,35.44,35.44,35.44,0.0,0.0,34.87,34.87,34.87,0.0,0.0,35.42,35.42,35.42,0.0,0.0
2016-02-14,36.46,36.46,36.46,0.0,0.0,36.64,36.64,36.64,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.59,36.59,36.59,0.0,0.0
2016-02-21,36.98,36.98,36.98,0.0,0.0,37.0,37.0,37.0,0.0,0.0,36.58,36.58,36.58,0.0,0.0,36.64,36.64,36.64,0.0,0.0
2016-02-28,38.46,38.46,38.46,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.46,38.46,38.46,0.0,0.0,38.63,38.63,38.63,0.0,0.0
2016-03-06,38.99,38.99,38.99,0.0,0.0,39.31,39.31,39.31,0.0,0.0,38.98,38.98,38.98,0.0,0.0,39.3,39.3,39.3,0.0,0.0
2016-03-13,39.6,39.6,39.6,0.0,0.0,39.75,39.75,39.75,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.59,39.59,39.59,0.0,0.0
2016-03-20,38.59,38.59,38.59,0.0,0.0,38.79,38.79,38.79,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.79,38.79,38.79,0.0,0.0
2016-03-27,38.71,38.71,38.71,0.0,0.0,39.18,39.18,39.18,0.0,0.0,38.64,38.64,38.64,0.0,0.0,39.15,39.15,39.15,0.0,0.0
2016-04-03,38.96,38.96,38.96,0.0,0.0,39.1,39.1,39.1,0.0,0.0,38.85,38.85,38.85,0.0,0.0,38.97,38.97,38.97,0.0,0.0
2016-04-10,40.31,40.31,40.31,0.0,0.0,40.38,40.38,40.38,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.25,40.25,40.25,0.0,0.0
2016-04-17,40.95,40.95,40.95,0.0,0.0,41.07,41.07,41.07,0.0,0.0,40.79,40.79,40.79,0.0,0.0,40.93,40.93,40.93,0.0,0.0
2016-04-24,40.6,40.6,40.6,0.0,0.0,40.67,40.67,40.67,0.0,0.0,40.31,40.31,40.31,0.0,0.0,40.48,40.48,40.48,0.0,0.0
2016-05-01,39.21,39.21,39.21,0.0,0.0,39.52,39.52,39.52,0.0,0.0,39.18,39.18,39.18,0.0,0.0,39.47,39.47,39.47,0.0,0.0
2016-05-08,39.27,39.27,39.27,0.0,0.0,39.44,39.44,39.44,0.0,0.0,39.04,39.04,39.04,0.0,0.0,39.1,39.1,39.1,0.0,0.0
2016-05-15,39.25,39.25,39.25,0.0,0.0,39.36,39.36,39.36,0.0,0.0,39.2,39.2,39.2,0.0,0.0,39.27,39.27,39.27,0.0,0.0
2016-05-22,40.12,40.12,40.12,0.0,0.0,40.22,40.22,40.22,0.0,0.0,40.05,40.05,40.05,0.0,0.0,40.12,40.12,40.12,0.0,0.0
2016-05-29,40.25,40.25,40.25,0.0,0.0,40.44,40.44,40.44,0.0,0.0,40.09,40.09,40.09,0.0,0.0,40.4,40.4,40.4,0.0,0.0
2016-06-05,39.9,39.9,39.9,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.57,39.57,39.57,0.0,0.0
2016-06-12,38.87,38.87,38.87,0.0,0.0,39.17,39.17,39.17,0.0,0.0,38.74,38.74,38.74,0.0,0.0,39.09,39.09,39.09,0.0,0.0
2016-06-19,37.61,37.61,37.61,0.0,0.0,38.36,38.36,38.36,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.45,37.45,37.45,0.0,0.0
2016-06-26,39.05,39.05,39.05,0.0,0.0,39.19,39.19,39.19,0.0,0.0,39.03,39.03,39.03,0.0,0.0,39.09,39.09,39.09,0.0,0.0
2016-07-03,38.61,38.61,38.61,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.53,38.53,38.53,0.0,0.0,38.77,38.77,38.77,0.0,0.0
2016-07-10,40.05,40.05,40.05,0.0,0.0,40.12,40.12,40.12,0.0,0.0,39.92,39.92,39.92,0.0,0.0,39.98,39.98,39.98,0.0,0.0
2016-07-17,40.06,40.06,40.06,0.0,0.0,40.07,40.07,40.07,0.0,0.0,39.93,39.93,39.93,0.0,0.0,40.05,40.05,40.05,0.0,0.0
2016-07-24,40.45,40.45,40.45,0.0,0.0,40.63,40.63,40.63,0.0,0.0,40.32,40.32,40.32,0.0,0.0,40.58,40.58,40.58,0.0,0.0
2016-07-31,40.36,40.36,40.36,0.0,0.0,40.58,40.58,40.58,0.0,0.0,40.36,40.36,40.36,0.0,0.0,40.56,40.56,40.56,0.0,0.0
2016-08-07,41.47,41.47,41.47,0.0,0.0,41.53,41.53,41.53,0.0,0.0,41.31,41.31,41.31,0.0,0.0,41.37,41.37,41.37,0.0,0.0
2016-08-14,41.27,41.27,41.27,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.15,41.15,41.15,0.0,0.0,41.37,41.37,41.37,0.0,0.0
2016-08-21,41.26,41.26,41.26,0.0,0.0,41.66,41.66,41.66,0.0,0.0,40.75,40.75,40.75,0.0,0.0,40.93,40.93,40.93,0.0,0.0
2016-08-28,41.57,41.57,41.57,0.0,0.0,41.7,41.7,41.7,0.0,0.0,41.46,41.46,41.46,0.0,0.0,41.67,41.67,41.67,0.0,0.0
2016-09-04,41.55,41.55,41.55,0.0,0.0,41.55,41.55,41.55,0.0,0.0,41.0,41.0,41.0,0.0,0.0,41.01,41.01,41.01,0.0,0.0
2016-09-11,40.46,40.46,40.46,0.0,0.0,40.46,40.46,40.46,0.0,0.0,40.27,40.27,40.27,0.0,0.0,40.38,40.38,40.38,0.0,0.0
2016-09-18,41.68,41.68,41.68,0.0,0.0,41.76,41.76,41.76,0.0,0.0,41.57,41.57,41.57,0.0,0.0,41.58,41.58,41.58,0.0,0.0
2016-09-25,41.36,41.36,41.36,0.0,0.0,41.6,41.6,41.6,0.0,0.0,41.26,41.26,41.26,0.0,0.0,41.48,41.48,41.48,0.0,0.0
2016-10-02,41.3,41.3,41.3,0.0,0.0,41.35,41.35,41.35,0.0,0.0,40.92,40.92,40.92,0.0,0.0,41.21,41.21,41.21,0.0,0.0
2016-10-09,40.83,40.83,40.83,0.0,0.0,40.89,40.89,40.89,0.0,0.0,40.57,40.57,40.57,0.0,0.0,40.57,40.57,40.57,0.0,0.0
2016-10-16,40.88,40.88,40.88,0.0,0.0,41.08,41.08,41.08,0.0,0.0,40.82,40.82,40.82,0.0,0.0,41.08,41.08,41.08,0.0,0.0
2016-10-23,40.71,40.71,40.71,0.0,0.0,40.83,40.83,40.83,0.0,0.0,40.57,40.57,40.57,0.0,0.0,40.71,40.71,40.71,0.0,0.0
2016-10-30,39.97,39.97,39.97,0.0,0.0,40.03,40.03,40.03,0.0,0.0,39.81,39.81,39.81,0.0,0.0,39.82,39.82,39.82,0.0,0.0
2016-11-06,39.85,39.85,39.85,0.0,0.0,39.85,39.85,39.85,0.0,0.0,39.52,39.52,39.52,0.0,0.0,39.79,39.79,39.79,0.0,0.0
2016-11-13,39.54,39.54,39.54,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.35,39.35,39.35,0.0,0.0,39.39,39.39,39.39,0.0,0.0
2016-11-20,39.91,39.91,39.91,0.0,0.0,39.91,39.91,39.91,0.0,0.0,39.82,39.82,39.82,0.0,0.0,39.9,39.9,39.9,0.0,0.0
2016-11-27,39.66,39.66,39.66,0.0,0.0,39.91,39.91,39.91,0.0,0.0,39.66,39.66,39.66,0.0,0.0,39.83,39.83,39.83,0.0,0.0
2016-12-04,40.99,40.99,40.99,0.0,0.0,41.12,41.12,41.12,0.0,0.0,40.96,40.96,40.96,0.0,0.0,41.09,41.09,41.09,0.0,0.0
2016-12-11,40.52,40.52,40.52,0.0,0.0,40.66,40.66,40.66,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.52,40.52,40.52,0.0,0.0
2016-12-18,39.95,39.95,39.95,0.0,0.0,40.09,40.09,40.09,0.0,0.0,39.95,39.95,39.95,0.0,0.0,40.09,40.09,40.09,0.0,0.0
2016-12-25,40.48,40.48,40.48,0.0,0.0,40.48,40.48,40.48,0.0,0.0,40.18,40.18,40.18,0.0,0.0,40.27,40.27,40.27,0.0,0.0
2017-01-01,41.16,41.16,41.16,0.0,0.0,41.19,41.19,41.19,0.0,0.0,41.07,41.07,41.07,0.0,0.0,41.12,41.12,41.12,0.0,0.0
2017-01-08,41.52,41.52,41.52,0.0,0.0,41.64,41.64,41.64,0.0,0.0,41.47,41.47,41.47,0.0,0.0,41.61,41.61,41.61,0.0,0.0
2017-01-15,41.36,41.36,41.36,0.0,0.0,41.46,41.46,41.46,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.42,41.42,41.42,0.0,0.0
2017-01-22,42.04,42.04,42.04,0.0,0.0,42.06,42.06,42.06,0.0,0.0,41.92,41.92,41.92,0.0,0.0,42.01,42.01,42.01,0.0,0.0
2017-01-29,42.1,42.1,42.1,0.0,0.0,42.22,42.22,42.22,0.0,0.0,42.05,42.05,42.05,0.0,0.0,42.15,42.15,42.15,0.0,0.0
2017-02-05,42.16,42.16,42.16,0.0,0.0,42.36,42.36,42.36,0.0,0.0,42.15,42.15,42.15,0.0,0.0,42.32,42.32,42.32,0.0,0.0
2017-02-12,42.49,42.49,42.49,0.0,0.0,42.59,42.59,42.59,0.0,0.0,42.46,42.46,42.46,0.0,0.0,42.59,42.59,42.59,0.0,0.0
2017-02-19,42.45,42.45,42.45,0.0,0.0,42.57,42.57,42.57,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.54,42.54,42.54,0.0,0.0
2017-02-26,42.51,42.51,42.51,0.0,0.0,42.72,42.72,42.72,0.0,0.0,42.46,42.46,42.46,0.0,0.0,42.7,42.7,42.7,0.0,0.0
2017-03-05,42.57,42.57,42.57,0.0,0.0,42.66,42.66,42.66,0.0,0.0,42.48,42.48,42.48,0.0,0.0,42.63,42.63,42.63,0.0,0.0
2017-03-12,43.63,43.63,43.63,0.0,0.0,43.67,43.67,43.67,0.0,0.0,43.51,43.51,43.51,0.0,0.0,43.57,43.57,43.57,0.0,0.0
2017-03-19,43.59,43.59,43.59,0.0,0.0,43.7,43.7,43.7,0.0,0.0,43.54,43.54,43.54,0.0,0.0,43.62,43.62,43.62,0.0,0.0
2017-03-26,43.56,43.56,43.56,0.0,0.0,43.73,43.73,43.73,0.0,0.0,43.54,43.54,43.54,0.0,0.0,43.62,43.62,43.62,0.0,0.0
2017-04-02,43.42,43.42,43.42,0.0,0.0,43.54,43.54,43.54,0.0,0.0,43.39,43.39,43.39,0.0,0.0,43.43,43.43,43.43,0.0,0.0
2017-04-09,43.39,43.39,43.39,0.0,0.0,43.45,43.45,43.45,0.0,0.0,43.24,43.24,43.24,0.0,0.0,43.24,43.24,43.24,0.0,0.0
2017-04-16,43.51,43.51,43.51,0.0,0.0,43.53,43.53,43.53,0.0,0.0,43.42,43.42,43.42,0.0,0.0,43.52,43.52,43.52,0.0,0.0
2017-04-23,44.59,44.59,44.59,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.53,44.53,44.53,0.0,0.0,44.56,44.56,44.56,0.0,0.0
2017-04-30,45.01,45.01,45.01,0.0,0.0,45.44,45.44,45.44,0.0,0.0,44.97,44.97,44.97,0.0,0.0,45.44,45.44,45.44,0.0,0.0
2017-05-07,45.36,45.36,45.36,0.0,0.0,45.52,45.52,45.52,0.0,0.0,45.36,45.36,45.36,0.0,0.0,45.5,45.5,45.5,0.0,0.0
2017-05-14,45.71,45.71,45.71,0.0,0.0,45.98,45.98,45.98,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.93,45.93,45.93,0.0,0.0
2017-05-21,46.02,46.02,46.02,0.0,0.0,46.07,46.07,46.07,0.0,0.0,45.97,45.97,45.97,0.0,0.0,46.06,46.06,46.06,0.0,0.0
2017-05-28,46.55,46.55,46.55,0.0,0.0,46.68,46.68,46.68,0.0,0.0,46.47,46.47,46.47,0.0,0.0,46.66,46.66,46.66,0.0,0.0
2017-06-04,46.29,46.29,46.29,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.03,46.03,46.03,0.0,0.0,46.18,46.18,46.18,0.0,0.0
2017-06-11,46.01,46.01,46.01,0.0,0.0,46.16,46.16,46.16,0.0,0.0,45.9,45.9,45.9,0.0,0.0,46.16,46.16,46.16,0.0,0.0
2017-06-18,45.42,45.42,45.42,0.0,0.0,45.56,45.56,45.56,0.0,0.0,45.33,45.33,45.33,0.0,0.0,45.5,45.5,45.5,0.0,0.0
2017-06-25,45.65,45.65,45.65,0.0,0.0,45.65,45.65,45.65,0.0,0.0,45.37,45.37,45.37,0.0,0.0,45.59,45.59,45.59,0.0,0.0
2017-07-02,45.29,45.29,45.29,0.0,0.0,45.41,45.41,45.41,0.0,0.0,45.17,45.17,45.17,0.0,0.0,45.39,45.39,45.39,0.0,0.0
2017-07-09,46.5,46.5,46.5,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.49,46.49,46.49,0.0,0.0,46.72,46.72,46.72,0.0,0.0
2017-07-16,46.93,46.93,46.93,0.0,0.0,46.93,46.93,46.93,0.0,0.0,46.77,46.77,46.77,0.0,0.0,46.92,46.92,46.92,0.0,0.0
2017-07-23,46.93,46.93,46.93,0.0,0.0,47.12,47.12,47.12,0.0,0.0,46.9,46.9,46.9,0.0,0.0,47.12,47.12,47.12,0.0,0.0
2017-07-30,47.49,47.49,47.49,0.0,0.0,47.5,47.5,47.5,0.0,0.0,47.29,47.29,47.29,0.0,0.0,47.48,47.48,47.48,0.0,0.0
2017-08-06,46.46,46.46,46.46,0.0,0.0,46.53,46.53,46.53,0.0,0.0,46.32,46.32,46.32,0.0,0.0,46.43,46.43,46.43,0.0,0.0
2017-08-13,46.67,46.67,46.67,0.0,0.0,46.81,46.81,46.81,0.0,0.0,46.53,46.53,46.53,0.0,0.0,46.67,46.67,46.67,0.0,0.0
2017-08-20,47.24,47.24,47.24,0.0,0.0,47.42,47.42,47.42,0.0,0.0,47.23,47.23,47.23,0.0,0.0,47.33,47.33,47.33,0.0,0.0
2017-08-27,47.58,47.58,47.58,0.0,0.0,47.62,47.62,47.62,0.0,0.0,47.49,47.49,47.49,0.0,0.0,47.56,47.56,47.56,0.0,0.0
2017-09-03,47.95,47.95,47.95,0.0,0.0,47.95,47.95,47.95,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.8,47.8,47.8,0.0,0.0
2017-09-10,48.29,48.29,48.29,0.0,0.0,48.29,48.29,48.29,0.0,0.0,48.18,48.18,48.18,0.0,0.0,48.29,48.29,48.29,0.0,0.0
2017-09-17,48.46,48.46,48.46,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.41,48.41,48.41,0.0,0.0,48.46,48.46,48.46,0.0,0.0
2017-09-24,48.13,48.13,48.13,0.0,0.0,48.38,48.38,48.38,0.0,0.0,48.11,48.11,48.11,0.0,0.0,48.35,48.35,48.35,0.0,0.0
2017-10-01,48.34,48.34,48.34,0.0,0.0,48.54,48.54,48.54,0.0,0.0,48.29,48.29,48.29,0.0,0.0,48.54,48.54,48.54,0.0,0.0
2017-10-08,49.34,49.34,49.34,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.35,49.35,49.35,0.0,0.0
2017-10-15,49.16,49.16,49.16,0.0,0.0,49.2,49.2,49.2,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.13,49.13,49.13,0.0,0.0
2017-10-22,48.8,48.8,48.8,0.0,0.0,49.06,49.06,49.06,0.0,0.0,48.75,48.75,48.75,0.0,0.0,49.04,49.04,49.04,0.0,0.0
2017-10-29,49.44,49.44,49.44,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.24,49.24,49.24,0.0,0.0,49.45,49.45,49.45,0.0,0.0
2017-11-05,49.24,49.24,49.24,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.11,49.11,49.11,0.0,0.0,49.18,49.18,49.18,0.0,0.0
2017-11-12,49.13,49.13,49.13,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.07,49.07,49.07,0.0,0.0,49.18,49.18,49.18,0.0,0.0
2017-11-19,50.1,50.1,50.1,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2017-11-26,49.33,49.33,49.33,0.0,0.0,49.49,49.49,49.49,0.0,0.0,49.11,49.11,49.11,0.0,0.0,49.39,49.39,49.39,0.0,0.0
2017-12-03,49.31,49.31,49.31,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2017-12-10,49.46,49.46,49.46,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.45,49.45,49.45,0.0,0.0
2017-12-17,49.54,49.54,49.54,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.68,49.68,49.68,0.0,0.0
2017-12-24,50.15,50.15,50.15,0.0,0.0,50.16,50.16,50.16,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.95,49.95,49.95,0.0,0.0
2017-12-31,51.42,51.42,51.42,0.0,0.0,51.59,51.59,51.59,0.0,0.0,51.35,51.35,51.35,0.0,0.0,51.57,51.57,51.57,0.0,0.0
