Date,iShares MSCI Global Energy Producers_etf_Open_average,iShares MSCI Global Energy Producers_etf_Open_max,iShares MSCI Global Energy Producers_etf_Open_min,iShares MSCI Global Energy Producers_etf_Open_volatility,iShares MSCI Global Energy Producers_etf_Open_change,iShares MSCI Global Energy Producers_etf_High_average,iShares MSCI Global Energy Producers_etf_High_max,iShares MSCI Global Energy Producers_etf_High_min,iShares MSCI Global Energy Producers_etf_High_volatility,iShares MSCI Global Energy Producers_etf_High_change,iShares MSCI Global Energy Producers_etf_Low_average,iShares MSCI Global Energy Producers_etf_Low_max,iShares MSCI Global Energy Producers_etf_Low_min,iShares MSCI Global Energy Producers_etf_Low_volatility,iShares MSCI Global Energy Producers_etf_Low_change,iShares MSCI Global Energy Producers_etf_Close_average,iShares MSCI Global Energy Producers_etf_Close_max,iShares MSCI Global Energy Producers_etf_Close_min,iShares MSCI Global Energy Producers_etf_Close_volatility,iShares MSCI Global Energy Producers_etf_Close_change
2016-01-03,15.18,15.18,15.18,0.0,0.0,15.18,15.18,15.18,0.0,0.0,14.98,14.98,14.98,0.0,0.0,14.98,14.98,14.98,0.0,0.0
2016-01-10,14.38,14.38,14.38,0.0,0.0,14.68,14.68,14.68,0.0,0.0,14.38,14.38,14.38,0.0,0.0,14.51,14.51,14.51,0.0,0.0
2016-01-17,15.21,15.21,15.21,0.0,0.0,15.21,15.21,15.21,0.0,0.0,14.87,14.87,14.87,0.0,0.0,15.03,15.03,15.03,0.0,0.0
2016-01-24,15.74,15.74,15.74,0.0,0.0,15.83,15.83,15.83,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.74,15.74,15.74,0.0,0.0
2016-01-31,15.58,15.58,15.58,0.0,0.0,15.58,15.58,15.58,0.0,0.0,15.2,15.2,15.2,0.0,0.0,15.55,15.55,15.55,0.0,0.0
2016-02-07,14.96,14.96,14.96,0.0,0.0,15.24,15.24,15.24,0.0,0.0,14.95,14.95,14.95,0.0,0.0,15.01,15.01,15.01,0.0,0.0
2016-02-14,15.32,15.32,15.32,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.28,15.28,15.28,0.0,0.0,15.43,15.43,15.43,0.0,0.0
2016-02-21,15.77,15.77,15.77,0.0,0.0,16.16,16.16,16.16,0.0,0.0,15.68,15.68,15.68,0.0,0.0,15.72,15.72,15.72,0.0,0.0
2016-02-28,17.01,17.01,17.01,0.0,0.0,17.08,17.08,17.08,0.0,0.0,16.74,16.74,16.74,0.0,0.0,16.83,16.83,16.83,0.0,0.0
2016-03-06,17.06,17.06,17.06,0.0,0.0,17.25,17.25,17.25,0.0,0.0,16.97,16.97,16.97,0.0,0.0,17.11,17.11,17.11,0.0,0.0
2016-03-13,17.68,17.68,17.68,0.0,0.0,17.68,17.68,17.68,0.0,0.0,17.33,17.33,17.33,0.0,0.0,17.53,17.53,17.53,0.0,0.0
2016-03-20,16.86,16.86,16.86,0.0,0.0,17.04,17.04,17.04,0.0,0.0,16.69,16.69,16.69,0.0,0.0,16.91,16.91,16.91,0.0,0.0
2016-03-27,16.81,16.81,16.81,0.0,0.0,17.0,17.0,17.0,0.0,0.0,16.7,16.7,16.7,0.0,0.0,17.0,17.0,17.0,0.0,0.0
2016-04-03,17.22,17.22,17.22,0.0,0.0,17.33,17.33,17.33,0.0,0.0,17.07,17.07,17.07,0.0,0.0,17.14,17.14,17.14,0.0,0.0
2016-04-10,17.93,17.93,17.93,0.0,0.0,17.99,17.99,17.99,0.0,0.0,17.68,17.68,17.68,0.0,0.0,17.92,17.92,17.92,0.0,0.0
2016-04-17,18.37,18.37,18.37,0.0,0.0,18.59,18.59,18.59,0.0,0.0,18.37,18.37,18.37,0.0,0.0,18.52,18.52,18.52,0.0,0.0
2016-04-24,18.74,18.74,18.74,0.0,0.0,18.81,18.81,18.81,0.0,0.0,18.51,18.51,18.51,0.0,0.0,18.81,18.81,18.81,0.0,0.0
2016-05-01,18.13,18.13,18.13,0.0,0.0,18.13,18.13,18.13,0.0,0.0,17.97,17.97,17.97,0.0,0.0,17.97,17.97,17.97,0.0,0.0
2016-05-08,18.27,18.27,18.27,0.0,0.0,18.27,18.27,18.27,0.0,0.0,17.96,17.96,17.96,0.0,0.0,17.96,17.96,17.96,0.0,0.0
2016-05-15,18.25,18.25,18.25,0.0,0.0,18.25,18.25,18.25,0.0,0.0,18.09,18.09,18.09,0.0,0.0,18.2,18.2,18.2,0.0,0.0
2016-05-22,18.28,18.28,18.28,0.0,0.0,18.43,18.43,18.43,0.0,0.0,18.28,18.28,18.28,0.0,0.0,18.34,18.34,18.34,0.0,0.0
