Date,First Trust Emerging Markets Local Currency Bond_etf_Open_average,First Trust Emerging Markets Local Currency Bond_etf_Open_max,First Trust Emerging Markets Local Currency Bond_etf_Open_min,First Trust Emerging Markets Local Currency Bond_etf_Open_volatility,First Trust Emerging Markets Local Currency Bond_etf_Open_change,First Trust Emerging Markets Local Currency Bond_etf_High_average,First Trust Emerging Markets Local Currency Bond_etf_High_max,First Trust Emerging Markets Local Currency Bond_etf_High_min,First Trust Emerging Markets Local Currency Bond_etf_High_volatility,First Trust Emerging Markets Local Currency Bond_etf_High_change,First Trust Emerging Markets Local Currency Bond_etf_Low_average,First Trust Emerging Markets Local Currency Bond_etf_Low_max,First Trust Emerging Markets Local Currency Bond_etf_Low_min,First Trust Emerging Markets Local Currency Bond_etf_Low_volatility,First Trust Emerging Markets Local Currency Bond_etf_Low_change,First Trust Emerging Markets Local Currency Bond_etf_Close_average,First Trust Emerging Markets Local Currency Bond_etf_Close_max,First Trust Emerging Markets Local Currency Bond_etf_Close_min,First Trust Emerging Markets Local Currency Bond_etf_Close_volatility,First Trust Emerging Markets Local Currency Bond_etf_Close_change
2016-01-03,39.48,39.48,39.48,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.1,39.1,39.1,0.0,0.0
2016-01-10,38.42,38.42,38.42,0.0,0.0,38.48,38.48,38.48,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.48,38.48,38.48,0.0,0.0
2016-01-17,38.33,38.33,38.33,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.25,38.25,38.25,0.0,0.0,38.25,38.25,38.25,0.0,0.0
2016-01-24,38.8,38.8,38.8,0.0,0.0,38.95,38.95,38.95,0.0,0.0,38.7,38.7,38.7,0.0,0.0,38.88,38.88,38.88,0.0,0.0
2016-01-31,39.7,39.7,39.7,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.41,39.41,39.41,0.0,0.0,39.48,39.48,39.48,0.0,0.0
2016-02-07,39.65,39.65,39.65,0.0,0.0,39.86,39.86,39.86,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.77,39.77,39.77,0.0,0.0
2016-02-14,39.77,39.77,39.77,0.0,0.0,39.77,39.77,39.77,0.0,0.0,39.77,39.77,39.77,0.0,0.0,39.77,39.77,39.77,0.0,0.0
2016-02-21,39.43,39.43,39.43,0.0,0.0,39.43,39.43,39.43,0.0,0.0,39.43,39.43,39.43,0.0,0.0,39.43,39.43,39.43,0.0,0.0
2016-02-28,40.31,40.31,40.31,0.0,0.0,40.31,40.31,40.31,0.0,0.0,40.25,40.25,40.25,0.0,0.0,40.25,40.25,40.25,0.0,0.0
2016-03-06,41.28,41.28,41.28,0.0,0.0,41.29,41.29,41.29,0.0,0.0,41.28,41.28,41.28,0.0,0.0,41.29,41.29,41.29,0.0,0.0
