Date,VelocityShares 3x Long Natural Gas linked to S&P G_etf_Open_average,VelocityShares 3x Long Natural Gas linked to S&P G_etf_Open_max,VelocityShares 3x Long Natural Gas linked to S&P G_etf_Open_min,VelocityShares 3x Long Natural Gas linked to S&P G_etf_Open_volatility,VelocityShares 3x Long Natural Gas linked to S&P G_etf_Open_change,VelocityShares 3x Long Natural Gas linked to S&P G_etf_High_average,VelocityShares 3x Long Natural Gas linked to S&P G_etf_High_max,VelocityShares 3x Long Natural Gas linked to S&P G_etf_High_min,VelocityShares 3x Long Natural Gas linked to S&P G_etf_High_volatility,VelocityShares 3x Long Natural Gas linked to S&P G_etf_High_change,VelocityShares 3x Long Natural Gas linked to S&P G_etf_Low_average,VelocityShares 3x Long Natural Gas linked to S&P G_etf_Low_max,VelocityShares 3x Long Natural Gas linked to S&P G_etf_Low_min,VelocityShares 3x Long Natural Gas linked to S&P G_etf_Low_volatility,VelocityShares 3x Long Natural Gas linked to S&P G_etf_Low_change,VelocityShares 3x Long Natural Gas linked to S&P G_etf_Close_average,VelocityShares 3x Long Natural Gas linked to S&P G_etf_Close_max,VelocityShares 3x Long Natural Gas linked to S&P G_etf_Close_min,VelocityShares 3x Long Natural Gas linked to S&P G_etf_Close_volatility,VelocityShares 3x Long Natural Gas linked to S&P G_etf_Close_change
2016-01-03,6650.0,6650.0,6650.0,0.0,0.0,7400.0,7400.0,7400.0,0.0,0.0,6550.0,6550.0,6550.0,0.0,0.0,7250.0,7250.0,7250.0,0.0,0.0
2016-01-10,4625.0,4625.0,4625.0,0.0,0.0,4625.0,4625.0,4625.0,0.0,0.0,4300.0,4300.0,4300.0,0.0,0.0,4450.0,4450.0,4450.0,0.0,0.0
2016-01-17,4475.0,4475.0,4475.0,0.0,0.0,4675.0,4675.0,4675.0,0.0,0.0,4375.0,4375.0,4375.0,0.0,0.0,4600.0,4600.0,4600.0,0.0,0.0
2016-01-24,5375.0,5375.0,5375.0,0.0,0.0,5625.0,5625.0,5625.0,0.0,0.0,5277.5,5277.5,5277.5,0.0,0.0,5575.0,5575.0,5575.0,0.0,0.0
2016-01-31,3675.0,3675.0,3675.0,0.0,0.0,3900.0,3900.0,3900.0,0.0,0.0,3650.0,3650.0,3650.0,0.0,0.0,3775.0,3775.0,3775.0,0.0,0.0
2016-02-07,3425.0,3425.0,3425.0,0.0,0.0,3425.0,3425.0,3425.0,0.0,0.0,3250.0,3250.0,3250.0,0.0,0.0,3350.0,3350.0,3350.0,0.0,0.0
2016-02-14,2750.0,2750.0,2750.0,0.0,0.0,2750.0,2750.0,2750.0,0.0,0.0,2525.0,2525.0,2525.0,0.0,0.0,2535.0,2535.0,2535.0,0.0,0.0
2016-02-21,2190.0,2190.0,2190.0,0.0,0.0,2262.5,2262.5,2262.5,0.0,0.0,2030.0,2030.0,2030.0,0.0,0.0,2240.0,2240.0,2240.0,0.0,0.0
2016-02-28,1725.0,1725.0,1725.0,0.0,0.0,1809.75,1809.75,1809.75,0.0,0.0,1681.75,1681.75,1681.75,0.0,0.0,1792.5,1792.5,1792.5,0.0,0.0
2016-03-06,2325.0,2325.0,2325.0,0.0,0.0,2400.0,2400.0,2400.0,0.0,0.0,2233.0,2233.0,2233.0,0.0,0.0,2285.0,2285.0,2285.0,0.0,0.0
2016-03-13,2671.0,2671.0,2671.0,0.0,0.0,2695.0,2695.0,2695.0,0.0,0.0,2471.2,2471.2,2471.2,0.0,0.0,2501.0,2501.0,2501.0,0.0,0.0
2016-03-20,2060.0,2060.0,2060.0,0.0,0.0,2209.0,2209.0,2209.0,0.0,0.0,2054.1,2054.1,2054.1,0.0,0.0,2158.0,2158.0,2158.0,0.0,0.0
2016-03-27,2382.0,2382.0,2382.0,0.0,0.0,2416.0,2416.0,2416.0,0.0,0.0,2282.0,2282.0,2282.0,0.0,0.0,2378.0,2378.0,2378.0,0.0,0.0
2016-04-03,2582.0,2582.0,2582.0,0.0,0.0,2604.0,2604.0,2604.0,0.0,0.0,2472.0,2472.0,2472.0,0.0,0.0,2493.0,2493.0,2493.0,0.0,0.0
