Date,WisdomTree Intenational LargeCap DividendEtf_Open_average,WisdomTree Intenational LargeCap DividendEtf_Open_max,WisdomTree Intenational LargeCap DividendEtf_Open_min,WisdomTree Intenational LargeCap DividendEtf_Open_volatility,WisdomTree Intenational LargeCap DividendEtf_Open_change,WisdomTree Intenational LargeCap DividendEtf_High_average,WisdomTree Intenational LargeCap DividendEtf_High_max,WisdomTree Intenational LargeCap DividendEtf_High_min,WisdomTree Intenational LargeCap DividendEtf_High_volatility,WisdomTree Intenational LargeCap DividendEtf_High_change,WisdomTree Intenational LargeCap DividendEtf_Low_average,WisdomTree Intenational LargeCap DividendEtf_Low_max,WisdomTree Intenational LargeCap DividendEtf_Low_min,WisdomTree Intenational LargeCap DividendEtf_Low_volatility,WisdomTree Intenational LargeCap DividendEtf_Low_change,WisdomTree Intenational LargeCap DividendEtf_Close_average,WisdomTree Intenational LargeCap DividendEtf_Close_max,WisdomTree Intenational LargeCap DividendEtf_Close_min,WisdomTree Intenational LargeCap DividendEtf_Close_volatility,WisdomTree Intenational LargeCap DividendEtf_Close_change
2016-01-03,41.03,41.03,41.03,0.0,0.0,41.03,41.03,41.03,0.0,0.0,40.25,40.25,40.25,0.0,0.0,40.26,40.26,40.26,0.0,0.0
2016-01-10,39.31,39.31,39.31,0.0,0.0,39.6,39.6,39.6,0.0,0.0,38.99,38.99,38.99,0.0,0.0,39.16,39.16,39.16,0.0,0.0
2016-01-17,40.03,40.03,40.03,0.0,0.0,40.23,40.23,40.23,0.0,0.0,39.9,39.9,39.9,0.0,0.0,40.19,40.19,40.19,0.0,0.0
2016-01-24,40.56,40.56,40.56,0.0,0.0,41.12,41.12,41.12,0.0,0.0,40.55,40.55,40.55,0.0,0.0,41.12,41.12,41.12,0.0,0.0
2016-01-31,40.4,40.4,40.4,0.0,0.0,40.4,40.4,40.4,0.0,0.0,39.9,39.9,39.9,0.0,0.0,40.02,40.02,40.02,0.0,0.0
2016-02-07,38.39,38.39,38.39,0.0,0.0,38.92,38.92,38.92,0.0,0.0,38.26,38.26,38.26,0.0,0.0,38.89,38.89,38.89,0.0,0.0
2016-02-14,39.73,39.73,39.73,0.0,0.0,40.02,40.02,40.02,0.0,0.0,39.63,39.63,39.63,0.0,0.0,39.95,39.95,39.95,0.0,0.0
2016-02-21,40.06,40.06,40.06,0.0,0.0,40.07,40.07,40.07,0.0,0.0,39.73,39.73,39.73,0.0,0.0,39.75,39.75,39.75,0.0,0.0
2016-02-28,41.57,41.57,41.57,0.0,0.0,41.82,41.82,41.82,0.0,0.0,41.48,41.48,41.48,0.0,0.0,41.65,41.65,41.65,0.0,0.0
2016-03-06,42.03,42.03,42.03,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.46,42.46,42.46,0.0,0.0
2016-03-13,42.73,42.73,42.73,0.0,0.0,42.75,42.75,42.75,0.0,0.0,42.56,42.56,42.56,0.0,0.0,42.62,42.62,42.62,0.0,0.0
2016-03-20,41.09,41.09,41.09,0.0,0.0,41.34,41.34,41.34,0.0,0.0,40.97,40.97,40.97,0.0,0.0,41.24,41.24,41.24,0.0,0.0
2016-03-27,41.04,41.04,41.04,0.0,0.0,41.5,41.5,41.5,0.0,0.0,40.94,40.94,40.94,0.0,0.0,41.5,41.5,41.5,0.0,0.0
2016-04-03,41.43,41.43,41.43,0.0,0.0,41.49,41.49,41.49,0.0,0.0,41.24,41.24,41.24,0.0,0.0,41.34,41.34,41.34,0.0,0.0
2016-04-10,42.98,42.98,42.98,0.0,0.0,43.06,43.06,43.06,0.0,0.0,42.86,42.86,42.86,0.0,0.0,42.96,42.96,42.96,0.0,0.0
2016-04-17,43.76,43.76,43.76,0.0,0.0,43.88,43.88,43.88,0.0,0.0,43.61,43.61,43.61,0.0,0.0,43.84,43.84,43.84,0.0,0.0
2016-04-24,43.48,43.48,43.48,0.0,0.0,43.48,43.48,43.48,0.0,0.0,43.11,43.11,43.11,0.0,0.0,43.3,43.3,43.3,0.0,0.0
2016-05-01,41.88,41.88,41.88,0.0,0.0,42.36,42.36,42.36,0.0,0.0,41.88,41.88,41.88,0.0,0.0,42.27,42.27,42.27,0.0,0.0
2016-05-08,42.02,42.02,42.02,0.0,0.0,42.26,42.26,42.26,0.0,0.0,41.82,41.82,41.82,0.0,0.0,41.91,41.91,41.91,0.0,0.0
