Date,Global X Gold ExplorersEtf_Open_average,Global X Gold ExplorersEtf_Open_max,Global X Gold ExplorersEtf_Open_min,Global X Gold ExplorersEtf_Open_volatility,Global X Gold ExplorersEtf_Open_change,Global X Gold ExplorersEtf_High_average,Global X Gold ExplorersEtf_High_max,Global X Gold ExplorersEtf_High_min,Global X Gold ExplorersEtf_High_volatility,Global X Gold ExplorersEtf_High_change,Global X Gold ExplorersEtf_Low_average,Global X Gold ExplorersEtf_Low_max,Global X Gold ExplorersEtf_Low_min,Global X Gold ExplorersEtf_Low_volatility,Global X Gold ExplorersEtf_Low_change,Global X Gold ExplorersEtf_Close_average,Global X Gold ExplorersEtf_Close_max,Global X Gold ExplorersEtf_Close_min,Global X Gold ExplorersEtf_Close_volatility,Global X Gold ExplorersEtf_Close_change
2016-01-03,18.2,18.2,18.2,0.0,0.0,18.31,18.31,18.31,0.0,0.0,17.8,17.8,17.8,0.0,0.0,18.14,18.14,18.14,0.0,0.0
2016-01-10,16.1,16.1,16.1,0.0,0.0,16.26,16.26,16.26,0.0,0.0,15.69,15.69,15.69,0.0,0.0,16.01,16.01,16.01,0.0,0.0
2016-01-17,15.35,15.35,15.35,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.05,15.05,15.05,0.0,0.0,15.42,15.42,15.42,0.0,0.0
2016-01-24,15.94,15.94,15.94,0.0,0.0,16.33,16.33,16.33,0.0,0.0,15.92,15.92,15.92,0.0,0.0,16.09,16.09,16.09,0.0,0.0
2016-01-31,17.98,17.98,17.98,0.0,0.0,18.47,18.47,18.47,0.0,0.0,17.65,17.65,17.65,0.0,0.0,18.36,18.36,18.36,0.0,0.0
2016-02-07,20.21,20.21,20.21,0.0,0.0,20.52,20.52,20.52,0.0,0.0,19.76,19.76,19.76,0.0,0.0,20.4,20.4,20.4,0.0,0.0
2016-02-14,20.86,20.86,20.86,0.0,0.0,21.13,21.13,21.13,0.0,0.0,20.77,20.77,20.77,0.0,0.0,20.88,20.88,20.88,0.0,0.0
2016-02-21,21.46,21.46,21.46,0.0,0.0,21.56,21.56,21.56,0.0,0.0,20.88,20.88,20.88,0.0,0.0,21.15,21.15,21.15,0.0,0.0
2016-02-28,23.05,23.05,23.05,0.0,0.0,24.19,24.19,24.19,0.0,0.0,23.02,23.02,23.02,0.0,0.0,23.02,23.02,23.02,0.0,0.0
2016-03-06,23.6,23.6,23.6,0.0,0.0,23.86,23.86,23.86,0.0,0.0,22.95,22.95,22.95,0.0,0.0,23.03,23.03,23.03,0.0,0.0
