Date,NXPI_stock_Open_average,NXPI_stock_Open_max,NXPI_stock_Open_min,NXPI_stock_Open_volatility,NXPI_stock_Open_change,NXPI_stock_High_average,NXPI_stock_High_max,NXPI_stock_High_min,NXPI_stock_High_volatility,NXPI_stock_High_change,NXPI_stock_Low_average,NXPI_stock_Low_max,NXPI_stock_Low_min,NXPI_stock_Low_volatility,NXPI_stock_Low_change,NXPI_stock_Close_average,NXPI_stock_Close_max,NXPI_stock_Close_min,NXPI_stock_Close_volatility,NXPI_stock_Close_change,NXPI_stock_Volume_average,NXPI_stock_Volume_max,NXPI_stock_Volume_min,NXPI_stock_Volume_volatility,NXPI_stock_Volume_change
2016-01-03,80.34400000000001,85.29,75.95,9.340000000000003,-6.049999999999997,81.792,85.76,77.83,7.930000000000007,-6.909999999999997,78.62,82.23,74.51,7.719999999999999,-7.039999999999992,79.672,84.44,75.18,9.259999999999991,-9.259999999999991,4975638,6958497,2524214,4434283,4434283
2016-01-10,75.172,77.99,70.27,7.719999999999999,-5.420000000000002,76.32,78.97,71.08,7.890000000000001,-6.810000000000002,72.538,76.07,66.93,9.139999999999986,-8.509999999999991,74.482,77.78,68.65,9.129999999999995,-8.569999999999993,5812033,9610406,3724736,5885670,5519246
2016-01-17,70.605,73.6,67.5,6.099999999999994,3.7099999999999937,72.9975,75.55,71.19,4.359999999999999,4.359999999999999,69.78999999999999,73.36,67.11,6.25,5.340000000000003,71.505,74.72,68.43,6.289999999999992,6.289999999999992,4820993,6683739,3520192,3163547,-1073885
2016-01-24,72.084,74.11,70.87,3.239999999999995,-2.569999999999993,73.372,74.79,71.85,2.940000000000012,0.29000000000000625,70.694,72.16,69.39,2.769999999999996,-1.4099999999999966,71.95,74.78,70.28,4.5,2.4000000000000057,3058062,3536307,2554980,981327,543213
2016-01-31,74.462,75.46,73.53,1.9299999999999926,1.519999999999996,75.944,77.0,73.76,3.239999999999995,-0.45000000000000284,71.488,73.72,69.24,4.480000000000004,-3.3499999999999943,73.402,76.34,70.7,5.640000000000001,-5.640000000000001,5465145,10316430,3018733,7297697,1617227
2016-02-07,65.53,69.07,61.66,7.409999999999997,-2.9199999999999875,67.786,69.39,66.71,2.680000000000007,-1.5799999999999983,63.788,65.71,61.61,4.099999999999994,2.3299999999999983,65.612,67.3,64.0,3.299999999999997,3.299999999999997,5775650,10308546,3074264,7234282,-7234282
2016-02-14,69.15,70.44,67.33,3.1099999999999994,-1.5700000000000074,69.9275,71.77,67.33,4.439999999999998,-2.6500000000000057,67.6075,69.06,66.03,3.030000000000001,-1.8799999999999955,68.465,70.35,66.47,3.8799999999999955,-2.969999999999999,4544980,5764820,3921454,1843366,184039
2016-02-21,69.81166666666667,72.21,67.15,5.059999999999988,5.059999999999988,70.975,72.51,69.99,2.5200000000000102,2.230000000000004,68.84333333333333,72.21,66.67,5.539999999999992,5.209999999999994,70.58500000000001,72.23,68.24,3.990000000000009,2.3100000000000023,2850604,3631386,2433730,1197656,-1026673
2016-02-28,74.024,75.66,72.0,3.6599999999999966,3.0999999999999943,75.622,78.44,73.4,5.039999999999992,5.039999999999992,73.07,75.39,71.03,4.359999999999999,4.359999999999999,74.434,76.63,71.24,5.390000000000001,5.390000000000001,3272304,4278748,2672781,1605967,1473245
2016-03-06,76.754,78.01,75.56,2.450000000000003,1.440000000000012,77.784,78.44,76.79,1.6499999999999915,0.07000000000000739,75.394,77.22,74.4,2.819999999999993,1.7800000000000011,76.902,78.1,75.48,2.6199999999999903,1.1199999999999903,3214983,3944203,2697353,1246850,220330
2016-03-13,79.112,81.45,78.0,3.450000000000003,3.450000000000003,80.684,83.47,79.22,4.25,4.239999999999995,78.658,81.24,77.25,3.989999999999995,3.789999999999992,80.474,83.38,78.81,4.569999999999993,4.569999999999993,3779707,4420808,2372968,2047840,2047840
2016-03-20,82.035,83.25,80.5,2.75,-2.1899999999999977,82.845,83.6,81.32,2.280000000000001,-2.280000000000001,81.0,81.91,79.56,2.3499999999999943,-2.3499999999999943,82.07,83.06,81.22,1.8400000000000034,-1.5,2221146,2743428,1957420,786008,602927
2016-03-27,80.958,81.64,80.21,1.4300000000000068,-1.3000000000000114,81.99,82.19,81.76,0.4299999999999926,0.4299999999999926,80.172,80.94,79.44,1.5,0.11999999999999034,81.486,82.05,80.87,1.1799999999999926,1.1799999999999926,3106001,4776690,1401969,3374721,1142423
