Date,John Hancock Multifactor Health Care_etf_Open_average,John Hancock Multifactor Health Care_etf_Open_max,John Hancock Multifactor Health Care_etf_Open_min,John Hancock Multifactor Health Care_etf_Open_volatility,John Hancock Multifactor Health Care_etf_Open_change,John Hancock Multifactor Health Care_etf_High_average,John Hancock Multifactor Health Care_etf_High_max,John Hancock Multifactor Health Care_etf_High_min,John Hancock Multifactor Health Care_etf_High_volatility,John Hancock Multifactor Health Care_etf_High_change,John Hancock Multifactor Health Care_etf_Low_average,John Hancock Multifactor Health Care_etf_Low_max,John Hancock Multifactor Health Care_etf_Low_min,John Hancock Multifactor Health Care_etf_Low_volatility,John Hancock Multifactor Health Care_etf_Low_change,John Hancock Multifactor Health Care_etf_Close_average,John Hancock Multifactor Health Care_etf_Close_max,John Hancock Multifactor Health Care_etf_Close_min,John Hancock Multifactor Health Care_etf_Close_volatility,John Hancock Multifactor Health Care_etf_Close_change
2016-01-03,25.1,25.1,25.1,0.0,0.0,25.13,25.13,25.13,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0
2016-01-10,24.0,24.0,24.0,0.0,0.0,24.27,24.27,24.27,0.0,0.0,23.9,23.9,23.9,0.0,0.0,24.23,24.23,24.23,0.0,0.0
2016-01-17,24.53,24.53,24.53,0.0,0.0,24.55,24.55,24.55,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.55,24.55,24.55,0.0,0.0
2016-01-24,23.86,23.86,23.86,0.0,0.0,23.88,23.88,23.88,0.0,0.0,23.85,23.85,23.85,0.0,0.0,23.88,23.88,23.88,0.0,0.0
2016-01-31,23.64,23.64,23.64,0.0,0.0,23.64,23.64,23.64,0.0,0.0,23.64,23.64,23.64,0.0,0.0,23.64,23.64,23.64,0.0,0.0
2016-02-07,22.88,22.88,22.88,0.0,0.0,22.88,22.88,22.88,0.0,0.0,22.88,22.88,22.88,0.0,0.0,22.88,22.88,22.88,0.0,0.0
2016-02-14,23.92,23.92,23.92,0.0,0.0,23.92,23.92,23.92,0.0,0.0,23.92,23.92,23.92,0.0,0.0,23.92,23.92,23.92,0.0,0.0
2016-02-21,24.34,24.34,24.34,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.34,24.34,24.34,0.0,0.0
2016-02-28,24.75,24.75,24.75,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.61,24.61,24.61,0.0,0.0
2016-03-06,24.44,24.44,24.44,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.44,24.44,24.44,0.0,0.0,24.45,24.45,24.45,0.0,0.0
