Date,iShares Core US Aggregate BondEtf_Open_average,iShares Core US Aggregate BondEtf_Open_max,iShares Core US Aggregate BondEtf_Open_min,iShares Core US Aggregate BondEtf_Open_volatility,iShares Core US Aggregate BondEtf_Open_change,iShares Core US Aggregate BondEtf_High_average,iShares Core US Aggregate BondEtf_High_max,iShares Core US Aggregate BondEtf_High_min,iShares Core US Aggregate BondEtf_High_volatility,iShares Core US Aggregate BondEtf_High_change,iShares Core US Aggregate BondEtf_Low_average,iShares Core US Aggregate BondEtf_Low_max,iShares Core US Aggregate BondEtf_Low_min,iShares Core US Aggregate BondEtf_Low_volatility,iShares Core US Aggregate BondEtf_Low_change,iShares Core US Aggregate BondEtf_Close_average,iShares Core US Aggregate BondEtf_Close_max,iShares Core US Aggregate BondEtf_Close_min,iShares Core US Aggregate BondEtf_Close_volatility,iShares Core US Aggregate BondEtf_Close_change
2016-01-03,108.57,108.57,108.57,0.0,0.0,108.71,108.71,108.71,0.0,0.0,108.35,108.35,108.35,0.0,0.0,108.66,108.66,108.66,0.0,0.0
2016-01-10,109.08,109.08,109.08,0.0,0.0,109.12,109.12,109.12,0.0,0.0,108.83,108.83,108.83,0.0,0.0,108.93,108.93,108.93,0.0,0.0
2016-01-17,108.72,108.72,108.72,0.0,0.0,108.85,108.85,108.85,0.0,0.0,108.58,108.58,108.58,0.0,0.0,108.84,108.84,108.84,0.0,0.0
2016-01-24,109.41,109.41,109.41,0.0,0.0,109.48,109.48,109.48,0.0,0.0,109.25,109.25,109.25,0.0,0.0,109.35,109.35,109.35,0.0,0.0
2016-01-31,109.24,109.24,109.24,0.0,0.0,109.44,109.44,109.44,0.0,0.0,109.15,109.15,109.15,0.0,0.0,109.32,109.32,109.32,0.0,0.0
2016-02-07,109.92,109.92,109.92,0.0,0.0,109.96,109.96,109.96,0.0,0.0,109.55,109.55,109.55,0.0,0.0,109.77,109.77,109.77,0.0,0.0
2016-02-14,109.8,109.8,109.8,0.0,0.0,109.85,109.85,109.85,0.0,0.0,109.64,109.64,109.64,0.0,0.0,109.79,109.79,109.79,0.0,0.0
2016-02-21,109.9,109.9,109.9,0.0,0.0,109.97,109.97,109.97,0.0,0.0,109.8,109.8,109.8,0.0,0.0,109.96,109.96,109.96,0.0,0.0
2016-02-28,109.5,109.5,109.5,0.0,0.0,109.58,109.58,109.58,0.0,0.0,109.28,109.28,109.28,0.0,0.0,109.38,109.38,109.38,0.0,0.0
2016-03-06,109.65,109.65,109.65,0.0,0.0,109.71,109.71,109.71,0.0,0.0,109.39,109.39,109.39,0.0,0.0,109.42,109.42,109.42,0.0,0.0
2016-03-13,110.19,110.19,110.19,0.0,0.0,110.29,110.29,110.29,0.0,0.0,110.12,110.12,110.12,0.0,0.0,110.17,110.17,110.17,0.0,0.0
2016-03-20,110.29,110.29,110.29,0.0,0.0,110.29,110.29,110.29,0.0,0.0,110.03,110.03,110.03,0.0,0.0,110.11,110.11,110.11,0.0,0.0
2016-03-27,110.53,110.53,110.53,0.0,0.0,110.66,110.66,110.66,0.0,0.0,110.35,110.35,110.35,0.0,0.0,110.51,110.51,110.51,0.0,0.0
2016-04-03,111.0,111.0,111.0,0.0,0.0,111.0,111.0,111.0,0.0,0.0,110.81,110.81,110.81,0.0,0.0,110.88,110.88,110.88,0.0,0.0
2016-04-10,110.8,110.8,110.8,0.0,0.0,110.98,110.98,110.98,0.0,0.0,110.75,110.75,110.75,0.0,0.0,110.95,110.95,110.95,0.0,0.0
2016-04-17,110.65,110.65,110.65,0.0,0.0,110.72,110.72,110.72,0.0,0.0,110.52,110.52,110.52,0.0,0.0,110.52,110.52,110.52,0.0,0.0
2016-04-24,110.82,110.82,110.82,0.0,0.0,110.93,110.93,110.93,0.0,0.0,110.75,110.75,110.75,0.0,0.0,110.89,110.89,110.89,0.0,0.0
2016-05-01,111.12,111.12,111.12,0.0,0.0,111.12,111.12,111.12,0.0,0.0,110.97,110.97,110.97,0.0,0.0,110.97,110.97,110.97,0.0,0.0
2016-05-08,111.08,111.08,111.08,0.0,0.0,111.23,111.23,111.23,0.0,0.0,111.03,111.03,111.03,0.0,0.0,111.2,111.2,111.2,0.0,0.0
2016-05-15,110.54,110.54,110.54,0.0,0.0,110.62,110.62,110.62,0.0,0.0,110.44,110.44,110.44,0.0,0.0,110.54,110.54,110.54,0.0,0.0
2016-05-22,110.68,110.68,110.68,0.0,0.0,110.7,110.7,110.7,0.0,0.0,110.48,110.48,110.48,0.0,0.0,110.63,110.63,110.63,0.0,0.0
2016-05-29,111.15,111.15,111.15,0.0,0.0,111.3,111.3,111.3,0.0,0.0,111.12,111.12,111.12,0.0,0.0,111.3,111.3,111.3,0.0,0.0
2016-06-05,111.54,111.54,111.54,0.0,0.0,111.66,111.66,111.66,0.0,0.0,111.45,111.45,111.45,0.0,0.0,111.52,111.52,111.52,0.0,0.0
2016-06-12,111.86,111.86,111.86,0.0,0.0,111.87,111.87,111.87,0.0,0.0,111.66,111.66,111.66,0.0,0.0,111.79,111.79,111.79,0.0,0.0
2016-06-19,112.11,112.11,112.11,0.0,0.0,112.15,112.15,112.15,0.0,0.0,111.79,111.79,111.79,0.0,0.0,111.86,111.86,111.86,0.0,0.0
2016-06-26,112.72,112.72,112.72,0.0,0.0,112.77,112.77,112.77,0.0,0.0,112.52,112.52,112.52,0.0,0.0,112.65,112.65,112.65,0.0,0.0
2016-07-03,113.08,113.08,113.08,0.0,0.0,113.27,113.27,113.27,0.0,0.0,113.0,113.0,113.0,0.0,0.0,113.25,113.25,113.25,0.0,0.0
2016-07-10,112.58,112.58,112.58,0.0,0.0,112.58,112.58,112.58,0.0,0.0,112.22,112.22,112.22,0.0,0.0,112.26,112.26,112.26,0.0,0.0
2016-07-17,112.38,112.38,112.38,0.0,0.0,112.61,112.61,112.61,0.0,0.0,112.35,112.35,112.35,0.0,0.0,112.53,112.53,112.53,0.0,0.0
2016-07-24,112.88,112.88,112.88,0.0,0.0,113.03,113.03,113.03,0.0,0.0,112.76,112.76,112.76,0.0,0.0,113.02,113.02,113.02,0.0,0.0
2016-07-31,112.54,112.54,112.54,0.0,0.0,112.54,112.54,112.54,0.0,0.0,112.14,112.14,112.14,0.0,0.0,112.17,112.17,112.17,0.0,0.0
2016-08-07,112.72,112.72,112.72,0.0,0.0,112.83,112.83,112.83,0.0,0.0,112.63,112.63,112.63,0.0,0.0,112.63,112.63,112.63,0.0,0.0
2016-08-14,112.53,112.53,112.53,0.0,0.0,112.62,112.62,112.62,0.0,0.0,112.39,112.39,112.39,0.0,0.0,112.48,112.48,112.48,0.0,0.0
2016-08-21,112.69,112.69,112.69,0.0,0.0,112.86,112.86,112.86,0.0,0.0,112.28,112.28,112.28,0.0,0.0,112.34,112.34,112.34,0.0,0.0
2016-08-28,112.44,112.44,112.44,0.0,0.0,112.44,112.44,112.44,0.0,0.0,112.18,112.18,112.18,0.0,0.0,112.31,112.31,112.31,0.0,0.0
