Date,First Trust Emerging Markets AlphaDEXEtf_Open_average,First Trust Emerging Markets AlphaDEXEtf_Open_max,First Trust Emerging Markets AlphaDEXEtf_Open_min,First Trust Emerging Markets AlphaDEXEtf_Open_volatility,First Trust Emerging Markets AlphaDEXEtf_Open_change,First Trust Emerging Markets AlphaDEXEtf_High_average,First Trust Emerging Markets AlphaDEXEtf_High_max,First Trust Emerging Markets AlphaDEXEtf_High_min,First Trust Emerging Markets AlphaDEXEtf_High_volatility,First Trust Emerging Markets AlphaDEXEtf_High_change,First Trust Emerging Markets AlphaDEXEtf_Low_average,First Trust Emerging Markets AlphaDEXEtf_Low_max,First Trust Emerging Markets AlphaDEXEtf_Low_min,First Trust Emerging Markets AlphaDEXEtf_Low_volatility,First Trust Emerging Markets AlphaDEXEtf_Low_change,First Trust Emerging Markets AlphaDEXEtf_Close_average,First Trust Emerging Markets AlphaDEXEtf_Close_max,First Trust Emerging Markets AlphaDEXEtf_Close_min,First Trust Emerging Markets AlphaDEXEtf_Close_volatility,First Trust Emerging Markets AlphaDEXEtf_Close_change
2016-01-03,16.95,16.95,16.95,0.0,0.0,16.95,16.95,16.95,0.0,0.0,16.65,16.65,16.65,0.0,0.0,16.65,16.65,16.65,0.0,0.0
2016-01-10,15.97,15.97,15.97,0.0,0.0,16.02,16.02,16.02,0.0,0.0,15.76,15.76,15.76,0.0,0.0,15.89,15.89,15.89,0.0,0.0
2016-01-17,16.14,16.14,16.14,0.0,0.0,16.25,16.25,16.25,0.0,0.0,16.13,16.13,16.13,0.0,0.0,16.25,16.25,16.25,0.0,0.0
2016-01-24,16.68,16.68,16.68,0.0,0.0,17.02,17.02,17.02,0.0,0.0,16.68,16.68,16.68,0.0,0.0,17.02,17.02,17.02,0.0,0.0
2016-01-31,16.79,16.79,16.79,0.0,0.0,16.82,16.82,16.82,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.71,16.71,16.71,0.0,0.0
2016-02-07,16.19,16.19,16.19,0.0,0.0,16.27,16.27,16.27,0.0,0.0,16.08,16.08,16.08,0.0,0.0,16.22,16.22,16.22,0.0,0.0
2016-02-14,16.85,16.85,16.85,0.0,0.0,16.95,16.95,16.95,0.0,0.0,16.8,16.8,16.8,0.0,0.0,16.95,16.95,16.95,0.0,0.0
2016-02-21,17.03,17.03,17.03,0.0,0.0,17.03,17.03,17.03,0.0,0.0,16.76,16.76,16.76,0.0,0.0,16.79,16.79,16.79,0.0,0.0
2016-02-28,18.03,18.03,18.03,0.0,0.0,18.36,18.36,18.36,0.0,0.0,18.03,18.03,18.03,0.0,0.0,18.33,18.33,18.33,0.0,0.0
2016-03-06,18.52,18.52,18.52,0.0,0.0,18.65,18.65,18.65,0.0,0.0,18.48,18.48,18.48,0.0,0.0,18.65,18.65,18.65,0.0,0.0
2016-03-13,19.17,19.17,19.17,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.08,19.08,19.08,0.0,0.0,19.15,19.15,19.15,0.0,0.0
2016-03-20,18.58,18.58,18.58,0.0,0.0,18.79,18.79,18.79,0.0,0.0,18.56,18.56,18.56,0.0,0.0,18.76,18.76,18.76,0.0,0.0
2016-03-27,18.95,18.95,18.95,0.0,0.0,19.27,19.27,19.27,0.0,0.0,18.89,18.89,18.89,0.0,0.0,19.27,19.27,19.27,0.0,0.0
2016-04-03,18.81,18.81,18.81,0.0,0.0,18.89,18.89,18.89,0.0,0.0,18.72,18.72,18.72,0.0,0.0,18.76,18.76,18.76,0.0,0.0
2016-04-10,19.45,19.45,19.45,0.0,0.0,19.45,19.45,19.45,0.0,0.0,19.32,19.32,19.32,0.0,0.0,19.38,19.38,19.38,0.0,0.0
2016-04-17,19.26,19.26,19.26,0.0,0.0,19.51,19.51,19.51,0.0,0.0,19.26,19.26,19.26,0.0,0.0,19.3,19.3,19.3,0.0,0.0
2016-04-24,19.44,19.44,19.44,0.0,0.0,19.48,19.48,19.48,0.0,0.0,19.27,19.27,19.27,0.0,0.0,19.42,19.42,19.42,0.0,0.0
2016-05-01,18.24,18.24,18.24,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.24,18.24,18.24,0.0,0.0,18.37,18.37,18.37,0.0,0.0
2016-05-08,18.36,18.36,18.36,0.0,0.0,18.36,18.36,18.36,0.0,0.0,18.02,18.02,18.02,0.0,0.0,18.02,18.02,18.02,0.0,0.0
2016-05-15,17.95,17.95,17.95,0.0,0.0,18.0,18.0,18.0,0.0,0.0,17.88,17.88,17.88,0.0,0.0,17.95,17.95,17.95,0.0,0.0
2016-05-22,18.13,18.13,18.13,0.0,0.0,18.18,18.18,18.18,0.0,0.0,18.02,18.02,18.02,0.0,0.0,18.07,18.07,18.07,0.0,0.0
2016-05-29,18.6,18.6,18.6,0.0,0.0,18.82,18.82,18.82,0.0,0.0,18.56,18.56,18.56,0.0,0.0,18.82,18.82,18.82,0.0,0.0
2016-06-05,18.81,18.81,18.81,0.0,0.0,18.81,18.81,18.81,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.6,18.6,18.6,0.0,0.0
2016-06-12,18.41,18.41,18.41,0.0,0.0,18.53,18.53,18.53,0.0,0.0,18.33,18.33,18.33,0.0,0.0,18.46,18.46,18.46,0.0,0.0
2016-06-19,18.15,18.15,18.15,0.0,0.0,18.66,18.66,18.66,0.0,0.0,18.15,18.15,18.15,0.0,0.0,18.25,18.25,18.25,0.0,0.0
2016-06-26,19.3,19.3,19.3,0.0,0.0,19.48,19.48,19.48,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.38,19.38,19.38,0.0,0.0
2016-07-03,19.19,19.19,19.19,0.0,0.0,19.46,19.46,19.46,0.0,0.0,19.19,19.19,19.19,0.0,0.0,19.43,19.43,19.43,0.0,0.0
2016-07-10,20.2,20.2,20.2,0.0,0.0,20.23,20.23,20.23,0.0,0.0,20.13,20.13,20.13,0.0,0.0,20.17,20.17,20.17,0.0,0.0
2016-07-17,20.01,20.01,20.01,0.0,0.0,20.19,20.19,20.19,0.0,0.0,19.98,19.98,19.98,0.0,0.0,20.16,20.16,20.16,0.0,0.0
2016-07-24,20.22,20.22,20.22,0.0,0.0,20.49,20.49,20.49,0.0,0.0,20.22,20.22,20.22,0.0,0.0,20.49,20.49,20.49,0.0,0.0
2016-07-31,20.75,20.75,20.75,0.0,0.0,20.83,20.83,20.83,0.0,0.0,20.56,20.56,20.56,0.0,0.0,20.8,20.8,20.8,0.0,0.0
2016-08-07,21.33,21.33,21.33,0.0,0.0,21.35,21.35,21.35,0.0,0.0,21.16,21.16,21.16,0.0,0.0,21.22,21.22,21.22,0.0,0.0
2016-08-14,21.2,21.2,21.2,0.0,0.0,21.33,21.33,21.33,0.0,0.0,21.09,21.09,21.09,0.0,0.0,21.3,21.3,21.3,0.0,0.0
2016-08-21,21.07,21.07,21.07,0.0,0.0,21.27,21.27,21.27,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.77,20.77,20.77,0.0,0.0
2016-08-28,21.13,21.13,21.13,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.01,21.01,21.01,0.0,0.0,21.2,21.2,21.2,0.0,0.0
2016-09-04,21.18,21.18,21.18,0.0,0.0,21.19,21.19,21.19,0.0,0.0,20.83,20.83,20.83,0.0,0.0,20.83,20.83,20.83,0.0,0.0
2016-09-11,20.62,20.62,20.62,0.0,0.0,20.66,20.66,20.66,0.0,0.0,20.46,20.46,20.46,0.0,0.0,20.63,20.63,20.63,0.0,0.0
2016-09-18,21.06,21.06,21.06,0.0,0.0,21.09,21.09,21.09,0.0,0.0,20.88,20.88,20.88,0.0,0.0,20.91,20.91,20.91,0.0,0.0
2016-09-25,20.84,20.84,20.84,0.0,0.0,20.84,20.84,20.84,0.0,0.0,20.6,20.6,20.6,0.0,0.0,20.75,20.75,20.75,0.0,0.0
2016-10-02,21.05,21.05,21.05,0.0,0.0,21.05,21.05,21.05,0.0,0.0,20.72,20.72,20.72,0.0,0.0,20.81,20.81,20.81,0.0,0.0
2016-10-09,20.81,20.81,20.81,0.0,0.0,20.82,20.82,20.82,0.0,0.0,20.54,20.54,20.54,0.0,0.0,20.64,20.64,20.64,0.0,0.0
2016-10-16,20.98,20.98,20.98,0.0,0.0,21.07,21.07,21.07,0.0,0.0,20.96,20.96,20.96,0.0,0.0,21.07,21.07,21.07,0.0,0.0
