Date,GISStock_Open_average,GISStock_Open_max,GISStock_Open_min,GISStock_Open_volatility,GISStock_Open_change,GISStock_High_average,GISStock_High_max,GISStock_High_min,GISStock_High_volatility,GISStock_High_change,GISStock_Low_average,GISStock_Low_max,GISStock_Low_min,GISStock_Low_volatility,GISStock_Low_change,GISStock_Close_average,GISStock_Close_max,GISStock_Close_min,GISStock_Close_volatility,GISStock_Close_change,GISStock_Volume_average,GISStock_Volume_max,GISStock_Volume_min,GISStock_Volume_volatility,GISStock_Volume_change
2016-01-03,56.438,57.68,55.17,2.509999999999998,-1.6700000000000017,56.897999999999996,57.91,55.94,1.9699999999999989,-1.5399999999999991,56.016,56.95,54.91,2.0400000000000063,-1.5999999999999943,56.358,57.46,55.11,2.3500000000000014,-2.1700000000000017,4466776,5417372,3653806,1763566,38340
2016-01-10,55.54,56.49,54.27,2.219999999999999,-1.1199999999999974,55.914,56.54,54.91,1.6300000000000026,-1.1300000000000026,55.116,55.82,54.16,1.6600000000000037,-1.1600000000000037,55.534,56.37,54.74,1.6299999999999955,-1.1699999999999946,4701024,6695455,3511289,3184166,1864052
2016-01-17,54.855000000000004,55.3,54.59,0.7099999999999937,-0.5399999999999991,55.2725,55.63,54.78,0.8500000000000014,-0.09000000000000341,54.16,55.11,53.53,1.5799999999999983,-0.8100000000000023,54.8575,55.42,54.12,1.3000000000000043,-0.09000000000000341,4206460,4912314,3452173,1460141,-751548
2016-01-24,55.192,55.35,54.86,0.490000000000002,-0.07000000000000028,55.744,56.62,55.33,1.2899999999999991,1.2899999999999991,54.882,55.21,54.64,0.5700000000000003,0.490000000000002,55.318,56.51,54.8,1.7100000000000009,1.7100000000000009,3161969,4407670,2553549,1854121,1559641
2016-01-31,55.824,56.56,55.12,1.4400000000000048,-1.4400000000000048,56.104,56.9,55.51,1.3900000000000006,-1.3799999999999955,55.368,56.27,54.84,1.4299999999999997,-1.3600000000000065,55.726,56.67,55.12,1.5500000000000043,-1.3000000000000043,3041079,3277496,2415748,861748,829532
2016-02-07,55.632,56.17,55.13,1.0399999999999991,1.0399999999999991,56.467999999999996,57.01,55.89,1.1199999999999974,1.0499999999999972,55.412,56.02,54.84,1.1799999999999997,1.1600000000000037,56.124,56.89,55.72,1.1700000000000017,1.1700000000000017,3425264,3983115,2991716,991399,290682
2016-02-14,57.9075,58.53,57.0,1.5300000000000011,1.5300000000000011,58.5025,59.14,57.7,1.4399999999999977,1.4399999999999977,57.487500000000004,58.2,56.34,1.8599999999999994,1.8599999999999994,58.28,58.72,57.66,1.0600000000000023,1.0600000000000023,3768468,5210832,2626341,2584491,-1469159
2016-02-21,58.974,60.05,58.29,1.759999999999998,1.0899999999999963,59.468,60.18,58.92,1.259999999999998,1.0599999999999952,58.466,58.94,58.19,0.75,0.4200000000000017,59.058,60.14,58.37,1.7700000000000031,0.6300000000000026,3043448,3887445,2675305,1212140,-1112636
2016-02-28,59.306,59.71,58.93,0.7800000000000011,0.7800000000000011,59.684000000000005,60.24,59.34,0.8999999999999986,0.8999999999999986,58.982,59.55,58.66,0.8900000000000006,0.8900000000000006,59.548,60.2,58.85,1.3500000000000014,1.3500000000000014,2695336,2869887,2272604,597283,-136873
2016-03-06,60.144,60.89,59.33,1.5600000000000023,1.0900000000000034,60.604,61.26,60.0,1.259999999999998,1.259999999999998,59.88,60.7,59.22,1.480000000000004,1.2900000000000063,60.32,61.06,59.62,1.4400000000000048,1.4400000000000048,2812356,3333516,2242687,1090829,551958
