Date,iShares MSCI Spain Capped_etf_Open_average,iShares MSCI Spain Capped_etf_Open_max,iShares MSCI Spain Capped_etf_Open_min,iShares MSCI Spain Capped_etf_Open_volatility,iShares MSCI Spain Capped_etf_Open_change,iShares MSCI Spain Capped_etf_High_average,iShares MSCI Spain Capped_etf_High_max,iShares MSCI Spain Capped_etf_High_min,iShares MSCI Spain Capped_etf_High_volatility,iShares MSCI Spain Capped_etf_High_change,iShares MSCI Spain Capped_etf_Low_average,iShares MSCI Spain Capped_etf_Low_max,iShares MSCI Spain Capped_etf_Low_min,iShares MSCI Spain Capped_etf_Low_volatility,iShares MSCI Spain Capped_etf_Low_change,iShares MSCI Spain Capped_etf_Close_average,iShares MSCI Spain Capped_etf_Close_max,iShares MSCI Spain Capped_etf_Close_min,iShares MSCI Spain Capped_etf_Close_volatility,iShares MSCI Spain Capped_etf_Close_change
2016-01-03,26.94,26.94,26.94,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.49,26.49,26.49,0.0,0.0
2016-01-10,25.85,25.85,25.85,0.0,0.0,25.97,25.97,25.97,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.54,25.54,25.54,0.0,0.0
2016-01-17,25.96,25.96,25.96,0.0,0.0,26.1,26.1,26.1,0.0,0.0,25.82,25.82,25.82,0.0,0.0,26.01,26.01,26.01,0.0,0.0
2016-01-24,26.11,26.11,26.11,0.0,0.0,26.36,26.36,26.36,0.0,0.0,25.98,25.98,25.98,0.0,0.0,26.36,26.36,26.36,0.0,0.0
2016-01-31,26.22,26.22,26.22,0.0,0.0,26.3,26.3,26.3,0.0,0.0,25.93,25.93,25.93,0.0,0.0,26.01,26.01,26.01,0.0,0.0
2016-02-07,24.22,24.22,24.22,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.06,24.06,24.06,0.0,0.0,24.5,24.5,24.5,0.0,0.0
2016-02-14,24.77,24.77,24.77,0.0,0.0,24.99,24.99,24.99,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.94,24.94,24.94,0.0,0.0
2016-02-21,25.17,25.17,25.17,0.0,0.0,25.22,25.22,25.22,0.0,0.0,24.95,24.95,24.95,0.0,0.0,25.01,25.01,25.01,0.0,0.0
2016-02-28,26.63,26.63,26.63,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.56,26.56,26.56,0.0,0.0
2016-03-06,27.7,27.7,27.7,0.0,0.0,28.07,28.07,28.07,0.0,0.0,27.69,27.69,27.69,0.0,0.0,28.06,28.06,28.06,0.0,0.0
2016-03-13,28.1,28.1,28.1,0.0,0.0,28.18,28.18,28.18,0.0,0.0,27.98,27.98,27.98,0.0,0.0,28.07,28.07,28.07,0.0,0.0
2016-03-20,26.99,26.99,26.99,0.0,0.0,27.16,27.16,27.16,0.0,0.0,26.96,26.96,26.96,0.0,0.0,27.12,27.12,27.12,0.0,0.0
2016-03-27,26.76,26.76,26.76,0.0,0.0,27.05,27.05,27.05,0.0,0.0,26.7,26.7,26.7,0.0,0.0,27.02,27.02,27.02,0.0,0.0
2016-04-03,26.43,26.43,26.43,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.41,26.41,26.41,0.0,0.0
2016-04-10,27.71,27.71,27.71,0.0,0.0,27.74,27.74,27.74,0.0,0.0,27.58,27.58,27.58,0.0,0.0,27.6,27.6,27.6,0.0,0.0
2016-04-17,28.7,28.7,28.7,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.78,28.78,28.78,0.0,0.0
2016-04-24,28.97,28.97,28.97,0.0,0.0,29.03,29.03,29.03,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2016-05-01,27.39,27.39,27.39,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.71,27.71,27.71,0.0,0.0
2016-05-08,27.32,27.32,27.32,0.0,0.0,27.49,27.49,27.49,0.0,0.0,27.06,27.06,27.06,0.0,0.0,27.13,27.13,27.13,0.0,0.0
2016-05-15,27.43,27.43,27.43,0.0,0.0,27.49,27.49,27.49,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.39,27.39,27.39,0.0,0.0
2016-05-22,28.26,28.26,28.26,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.13,28.13,28.13,0.0,0.0
2016-05-29,27.82,27.82,27.82,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.81,27.81,27.81,0.0,0.0
2016-06-05,26.82,26.82,26.82,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.39,26.39,26.39,0.0,0.0,26.46,26.46,26.46,0.0,0.0
2016-06-12,26.11,26.11,26.11,0.0,0.0,26.43,26.43,26.43,0.0,0.0,25.99,25.99,25.99,0.0,0.0,26.39,26.39,26.39,0.0,0.0
2016-06-19,23.42,23.42,23.42,0.0,0.0,23.91,23.91,23.91,0.0,0.0,23.11,23.11,23.11,0.0,0.0,23.13,23.13,23.13,0.0,0.0
2016-06-26,25.11,25.11,25.11,0.0,0.0,25.14,25.14,25.14,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.99,24.99,24.99,0.0,0.0
2016-07-03,24.71,24.71,24.71,0.0,0.0,24.78,24.78,24.78,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.68,24.68,24.68,0.0,0.0
2016-07-10,25.88,25.88,25.88,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.7,25.7,25.7,0.0,0.0
2016-07-17,25.87,25.87,25.87,0.0,0.0,25.88,25.88,25.88,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.77,25.77,25.77,0.0,0.0
2016-07-24,26.2,26.2,26.2,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.26,26.26,26.26,0.0,0.0
2016-07-31,25.59,25.59,25.59,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.74,25.74,25.74,0.0,0.0
2016-08-07,26.61,26.61,26.61,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.5,26.5,26.5,0.0,0.0
2016-08-14,25.95,25.95,25.95,0.0,0.0,26.12,26.12,26.12,0.0,0.0,25.86,25.86,25.86,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2016-08-21,26.5,26.5,26.5,0.0,0.0,26.78,26.78,26.78,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.21,26.21,26.21,0.0,0.0
2016-08-28,27.03,27.03,27.03,0.0,0.0,27.16,27.16,27.16,0.0,0.0,26.91,26.91,26.91,0.0,0.0,27.14,27.14,27.14,0.0,0.0
2016-09-04,27.76,27.76,27.76,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.41,27.41,27.41,0.0,0.0
2016-09-11,26.27,26.27,26.27,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.16,26.16,26.16,0.0,0.0,26.28,26.28,26.28,0.0,0.0
2016-09-18,26.79,26.79,26.79,0.0,0.0,26.97,26.97,26.97,0.0,0.0,26.79,26.79,26.79,0.0,0.0,26.87,26.87,26.87,0.0,0.0
2016-09-25,26.5,26.5,26.5,0.0,0.0,26.91,26.91,26.91,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.82,26.82,26.82,0.0,0.0
2016-10-02,26.39,26.39,26.39,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.16,26.16,26.16,0.0,0.0,26.38,26.38,26.38,0.0,0.0
2016-10-09,26.32,26.32,26.32,0.0,0.0,26.43,26.43,26.43,0.0,0.0,26.17,26.17,26.17,0.0,0.0,26.18,26.18,26.18,0.0,0.0
2016-10-16,26.9,26.9,26.9,0.0,0.0,27.07,27.07,27.07,0.0,0.0,26.84,26.84,26.84,0.0,0.0,27.06,27.06,27.06,0.0,0.0
2016-10-23,27.43,27.43,27.43,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.44,27.44,27.44,0.0,0.0
2016-10-30,26.75,26.75,26.75,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.65,26.65,26.65,0.0,0.0,26.69,26.69,26.69,0.0,0.0
2016-11-06,25.9,25.9,25.9,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.85,25.85,25.85,0.0,0.0
2016-11-13,25.17,25.17,25.17,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.01,25.01,25.01,0.0,0.0,25.07,25.07,25.07,0.0,0.0
2016-11-20,25.14,25.14,25.14,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.18,25.18,25.18,0.0,0.0
2016-11-27,25.13,25.13,25.13,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.18,25.18,25.18,0.0,0.0
2016-12-04,26.68,26.68,26.68,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.84,26.84,26.84,0.0,0.0
2016-12-11,27.01,27.01,27.01,0.0,0.0,27.26,27.26,27.26,0.0,0.0,26.97,26.97,26.97,0.0,0.0,27.06,27.06,27.06,0.0,0.0
2016-12-18,26.34,26.34,26.34,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.42,26.42,26.42,0.0,0.0
2016-12-25,26.5,26.5,26.5,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.51,26.51,26.51,0.0,0.0
2017-01-01,27.18,27.18,27.18,0.0,0.0,27.29,27.29,27.29,0.0,0.0,27.13,27.13,27.13,0.0,0.0,27.23,27.23,27.23,0.0,0.0
2017-01-08,27.41,27.41,27.41,0.0,0.0,27.45,27.45,27.45,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.35,27.35,27.35,0.0,0.0
2017-01-15,27.16,27.16,27.16,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.06,27.06,27.06,0.0,0.0,27.16,27.16,27.16,0.0,0.0
2017-01-22,27.5,27.5,27.5,0.0,0.0,27.64,27.64,27.64,0.0,0.0,27.49,27.49,27.49,0.0,0.0,27.62,27.62,27.62,0.0,0.0
2017-01-29,27.74,27.74,27.74,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2017-02-05,26.91,26.91,26.91,0.0,0.0,27.1,27.1,27.1,0.0,0.0,26.91,26.91,26.91,0.0,0.0,27.08,27.08,27.08,0.0,0.0
2017-02-12,27.26,27.26,27.26,0.0,0.0,27.39,27.39,27.39,0.0,0.0,27.21,27.21,27.21,0.0,0.0,27.39,27.39,27.39,0.0,0.0
2017-02-19,26.9,26.9,26.9,0.0,0.0,27.05,27.05,27.05,0.0,0.0,26.87,26.87,26.87,0.0,0.0,27.02,27.02,27.02,0.0,0.0
2017-02-26,27.95,27.95,27.95,0.0,0.0,28.16,28.16,28.16,0.0,0.0,27.87,27.87,27.87,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2017-03-05,28.83,28.83,28.83,0.0,0.0,29.09,29.09,29.09,0.0,0.0,28.78,28.78,28.78,0.0,0.0,29.05,29.05,29.05,0.0,0.0
2017-03-12,29.84,29.84,29.84,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.78,29.78,29.78,0.0,0.0,29.88,29.88,29.88,0.0,0.0
2017-03-19,30.33,30.33,30.33,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2017-03-26,30.3,30.3,30.3,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2017-04-02,30.4,30.4,30.4,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2017-04-09,29.71,29.71,29.71,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.79,29.79,29.79,0.0,0.0
2017-04-16,30.35,30.35,30.35,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2017-04-23,32.08,32.08,32.08,0.0,0.0,32.09,32.09,32.09,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2017-04-30,33.39,33.39,33.39,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.93,33.93,33.93,0.0,0.0
2017-05-07,32.53,32.53,32.53,0.0,0.0,32.72,32.72,32.72,0.0,0.0,32.47,32.47,32.47,0.0,0.0,32.72,32.72,32.72,0.0,0.0
2017-05-14,33.03,33.03,33.03,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.02,33.02,33.02,0.0,0.0,33.3,33.3,33.3,0.0,0.0
2017-05-21,33.2,33.2,33.2,0.0,0.0,33.31,33.31,33.31,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.29,33.29,33.29,0.0,0.0
2017-05-28,33.67,33.67,33.67,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.69,33.69,33.69,0.0,0.0
2017-06-04,33.6,33.6,33.6,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.48,33.48,33.48,0.0,0.0,33.64,33.64,33.64,0.0,0.0
2017-06-11,33.05,33.05,33.05,0.0,0.0,33.36,33.36,33.36,0.0,0.0,32.99,32.99,32.99,0.0,0.0,33.33,33.33,33.33,0.0,0.0
2017-06-18,32.4,32.4,32.4,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.46,32.46,32.46,0.0,0.0
2017-06-25,32.97,32.97,32.97,0.0,0.0,33.01,33.01,33.01,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.84,32.84,32.84,0.0,0.0
2017-07-02,32.86,32.86,32.86,0.0,0.0,33.05,33.05,33.05,0.0,0.0,32.75,32.75,32.75,0.0,0.0,33.01,33.01,33.01,0.0,0.0
2017-07-09,33.46,33.46,33.46,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.6,33.6,33.6,0.0,0.0
2017-07-16,33.35,33.35,33.35,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.2,33.2,33.2,0.0,0.0,33.4,33.4,33.4,0.0,0.0
2017-07-23,34.01,34.01,34.01,0.0,0.0,34.15,34.15,34.15,0.0,0.0,33.93,33.93,33.93,0.0,0.0,34.14,34.14,34.14,0.0,0.0
2017-07-30,34.7,34.7,34.7,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.47,34.47,34.47,0.0,0.0,34.6,34.6,34.6,0.0,0.0
2017-08-06,33.45,33.45,33.45,0.0,0.0,33.48,33.48,33.48,0.0,0.0,33.23,33.23,33.23,0.0,0.0,33.32,33.32,33.32,0.0,0.0
2017-08-13,33.35,33.35,33.35,0.0,0.0,33.57,33.57,33.57,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.44,33.44,33.44,0.0,0.0
2017-08-20,33.69,33.69,33.69,0.0,0.0,33.9,33.9,33.9,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.82,33.82,33.82,0.0,0.0
2017-08-27,33.81,33.81,33.81,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.74,33.74,33.74,0.0,0.0
2017-09-03,33.45,33.45,33.45,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.37,33.37,33.37,0.0,0.0
2017-09-10,33.81,33.81,33.81,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.78,33.78,33.78,0.0,0.0
2017-09-17,33.83,33.83,33.83,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.81,33.81,33.81,0.0,0.0
2017-09-24,33.55,33.55,33.55,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.74,33.74,33.74,0.0,0.0
2017-10-01,32.82,32.82,32.82,0.0,0.0,32.97,32.97,32.97,0.0,0.0,32.73,32.73,32.73,0.0,0.0,32.87,32.87,32.87,0.0,0.0
2017-10-08,33.35,33.35,33.35,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.29,33.29,33.29,0.0,0.0,33.32,33.32,33.32,0.0,0.0
2017-10-15,33.18,33.18,33.18,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.06,33.06,33.06,0.0,0.0,33.08,33.08,33.08,0.0,0.0
2017-10-22,32.41,32.41,32.41,0.0,0.0,32.61,32.61,32.61,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.54,32.54,32.54,0.0,0.0
