Date,WisdomTree Asia-Pacific ex-JapanEtf_Open_average,WisdomTree Asia-Pacific ex-JapanEtf_Open_max,WisdomTree Asia-Pacific ex-JapanEtf_Open_min,WisdomTree Asia-Pacific ex-JapanEtf_Open_volatility,WisdomTree Asia-Pacific ex-JapanEtf_Open_change,WisdomTree Asia-Pacific ex-JapanEtf_High_average,WisdomTree Asia-Pacific ex-JapanEtf_High_max,WisdomTree Asia-Pacific ex-JapanEtf_High_min,WisdomTree Asia-Pacific ex-JapanEtf_High_volatility,WisdomTree Asia-Pacific ex-JapanEtf_High_change,WisdomTree Asia-Pacific ex-JapanEtf_Low_average,WisdomTree Asia-Pacific ex-JapanEtf_Low_max,WisdomTree Asia-Pacific ex-JapanEtf_Low_min,WisdomTree Asia-Pacific ex-JapanEtf_Low_volatility,WisdomTree Asia-Pacific ex-JapanEtf_Low_change,WisdomTree Asia-Pacific ex-JapanEtf_Close_average,WisdomTree Asia-Pacific ex-JapanEtf_Close_max,WisdomTree Asia-Pacific ex-JapanEtf_Close_min,WisdomTree Asia-Pacific ex-JapanEtf_Close_volatility,WisdomTree Asia-Pacific ex-JapanEtf_Close_change
2016-01-03,50.86,50.86,50.86,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.25,50.25,50.25,0.0,0.0
2016-01-10,48.36,48.36,48.36,0.0,0.0,48.55,48.55,48.55,0.0,0.0,48.21,48.21,48.21,0.0,0.0,48.39,48.39,48.39,0.0,0.0
2016-01-17,50.5,50.5,50.5,0.0,0.0,50.5,50.5,50.5,0.0,0.0,49.9,49.9,49.9,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2016-01-24,51.2,51.2,51.2,0.0,0.0,51.59,51.59,51.59,0.0,0.0,51.09,51.09,51.09,0.0,0.0,51.59,51.59,51.59,0.0,0.0
2016-01-31,51.15,51.15,51.15,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.15,51.15,51.15,0.0,0.0
2016-02-07,49.95,49.95,49.95,0.0,0.0,50.34,50.34,50.34,0.0,0.0,49.95,49.95,49.95,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2016-02-14,51.57,51.57,51.57,0.0,0.0,52.03,52.03,52.03,0.0,0.0,51.54,51.54,51.54,0.0,0.0,51.9,51.9,51.9,0.0,0.0
2016-02-21,51.81,51.81,51.81,0.0,0.0,51.81,51.81,51.81,0.0,0.0,51.81,51.81,51.81,0.0,0.0,51.81,51.81,51.81,0.0,0.0
2016-02-28,54.91,54.91,54.91,0.0,0.0,55.67,55.67,55.67,0.0,0.0,54.91,54.91,54.91,0.0,0.0,55.67,55.67,55.67,0.0,0.0
2016-03-06,55.83,55.83,55.83,0.0,0.0,56.24,56.24,56.24,0.0,0.0,55.83,55.83,55.83,0.0,0.0,56.0,56.0,56.0,0.0,0.0
2016-03-13,56.99,56.99,56.99,0.0,0.0,57.3,57.3,57.3,0.0,0.0,56.99,56.99,56.99,0.0,0.0,57.06,57.06,57.06,0.0,0.0
2016-03-20,55.27,55.27,55.27,0.0,0.0,55.58,55.58,55.58,0.0,0.0,55.27,55.27,55.27,0.0,0.0,55.58,55.58,55.58,0.0,0.0
2016-03-27,55.77,55.77,55.77,0.0,0.0,56.2,56.2,56.2,0.0,0.0,55.76,55.76,55.76,0.0,0.0,56.2,56.2,56.2,0.0,0.0
2016-04-03,55.47,55.47,55.47,0.0,0.0,55.47,55.47,55.47,0.0,0.0,55.25,55.25,55.25,0.0,0.0,55.25,55.25,55.25,0.0,0.0
2016-04-10,57.62,57.62,57.62,0.0,0.0,57.62,57.62,57.62,0.0,0.0,57.23,57.23,57.23,0.0,0.0,57.23,57.23,57.23,0.0,0.0
2016-04-17,58.21,58.21,58.21,0.0,0.0,58.21,58.21,58.21,0.0,0.0,57.9,57.9,57.9,0.0,0.0,57.98,57.98,57.98,0.0,0.0
2016-04-24,56.62,56.62,56.62,0.0,0.0,56.82,56.82,56.82,0.0,0.0,56.36,56.36,56.36,0.0,0.0,56.36,56.36,56.36,0.0,0.0
2016-05-01,54.29,54.29,54.29,0.0,0.0,55.08,55.08,55.08,0.0,0.0,54.29,54.29,54.29,0.0,0.0,54.95,54.95,54.95,0.0,0.0
2016-05-08,54.08,54.08,54.08,0.0,0.0,54.25,54.25,54.25,0.0,0.0,54.0,54.0,54.0,0.0,0.0,54.0,54.0,54.0,0.0,0.0
2016-05-15,54.18,54.18,54.18,0.0,0.0,54.18,54.18,54.18,0.0,0.0,54.03,54.03,54.03,0.0,0.0,54.03,54.03,54.03,0.0,0.0
2016-05-22,55.39,55.39,55.39,0.0,0.0,55.39,55.39,55.39,0.0,0.0,55.15,55.15,55.15,0.0,0.0,55.15,55.15,55.15,0.0,0.0
2016-05-29,56.16,56.16,56.16,0.0,0.0,56.39,56.39,56.39,0.0,0.0,56.09,56.09,56.09,0.0,0.0,56.39,56.39,56.39,0.0,0.0
2016-06-05,56.35,56.35,56.35,0.0,0.0,56.38,56.38,56.38,0.0,0.0,56.17,56.17,56.17,0.0,0.0,56.38,56.38,56.38,0.0,0.0
2016-06-12,55.19,55.19,55.19,0.0,0.0,55.51,55.51,55.51,0.0,0.0,55.19,55.19,55.19,0.0,0.0,55.43,55.43,55.43,0.0,0.0
2016-06-19,56.01,56.01,56.01,0.0,0.0,56.01,56.01,56.01,0.0,0.0,55.04,55.04,55.04,0.0,0.0,55.15,55.15,55.15,0.0,0.0
2016-06-26,58.37,58.37,58.37,0.0,0.0,58.37,58.37,58.37,0.0,0.0,57.79,57.79,57.79,0.0,0.0,57.79,57.79,57.79,0.0,0.0
2016-07-03,57.23,57.23,57.23,0.0,0.0,57.81,57.81,57.81,0.0,0.0,57.23,57.23,57.23,0.0,0.0,57.81,57.81,57.81,0.0,0.0
2016-07-10,59.68,59.68,59.68,0.0,0.0,59.68,59.68,59.68,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.58,59.58,59.58,0.0,0.0
2016-07-17,59.88,59.88,59.88,0.0,0.0,59.88,59.88,59.88,0.0,0.0,59.75,59.75,59.75,0.0,0.0,59.88,59.88,59.88,0.0,0.0
2016-07-24,60.28,60.28,60.28,0.0,0.0,60.45,60.45,60.45,0.0,0.0,60.26,60.26,60.26,0.0,0.0,60.42,60.42,60.42,0.0,0.0
2016-07-31,60.72,60.72,60.72,0.0,0.0,60.84,60.84,60.84,0.0,0.0,60.7,60.7,60.7,0.0,0.0,60.84,60.84,60.84,0.0,0.0
2016-08-07,61.61,61.61,61.61,0.0,0.0,61.61,61.61,61.61,0.0,0.0,61.61,61.61,61.61,0.0,0.0,61.61,61.61,61.61,0.0,0.0
2016-08-14,61.53,61.53,61.53,0.0,0.0,61.61,61.61,61.61,0.0,0.0,61.53,61.53,61.53,0.0,0.0,61.61,61.61,61.61,0.0,0.0
2016-08-21,61.5,61.5,61.5,0.0,0.0,61.5,61.5,61.5,0.0,0.0,60.89,60.89,60.89,0.0,0.0,61.01,61.01,61.01,0.0,0.0
2016-08-28,61.09,61.09,61.09,0.0,0.0,61.09,61.09,61.09,0.0,0.0,60.93,60.93,60.93,0.0,0.0,60.97,60.97,60.97,0.0,0.0
2016-09-04,60.91,60.91,60.91,0.0,0.0,61.03,61.03,61.03,0.0,0.0,60.37,60.37,60.37,0.0,0.0,60.37,60.37,60.37,0.0,0.0
2016-09-11,59.71,59.71,59.71,0.0,0.0,59.88,59.88,59.88,0.0,0.0,59.71,59.71,59.71,0.0,0.0,59.88,59.88,59.88,0.0,0.0
2016-09-18,61.63,61.63,61.63,0.0,0.0,61.8,61.8,61.8,0.0,0.0,61.49,61.49,61.49,0.0,0.0,61.57,61.57,61.57,0.0,0.0
2016-09-25,60.99,60.99,60.99,0.0,0.0,60.99,60.99,60.99,0.0,0.0,60.97,60.97,60.97,0.0,0.0,60.97,60.97,60.97,0.0,0.0
2016-10-02,61.39,61.39,61.39,0.0,0.0,61.39,61.39,61.39,0.0,0.0,61.04,61.04,61.04,0.0,0.0,61.16,61.16,61.16,0.0,0.0
2016-10-09,60.2,60.2,60.2,0.0,0.0,60.52,60.52,60.52,0.0,0.0,59.9,59.9,59.9,0.0,0.0,60.08,60.08,60.08,0.0,0.0
2016-10-16,60.4,60.4,60.4,0.0,0.0,60.4,60.4,60.4,0.0,0.0,60.23,60.23,60.23,0.0,0.0,60.35,60.35,60.35,0.0,0.0
2016-10-23,59.49,59.49,59.49,0.0,0.0,59.71,59.71,59.71,0.0,0.0,58.94,58.94,58.94,0.0,0.0,59.3,59.3,59.3,0.0,0.0
2016-10-30,58.22,58.22,58.22,0.0,0.0,58.65,58.65,58.65,0.0,0.0,58.22,58.22,58.22,0.0,0.0,58.5,58.5,58.5,0.0,0.0
2016-11-06,57.09,57.09,57.09,0.0,0.0,57.37,57.37,57.37,0.0,0.0,57.09,57.09,57.09,0.0,0.0,57.35,57.35,57.35,0.0,0.0
2016-11-13,57.53,57.53,57.53,0.0,0.0,57.53,57.53,57.53,0.0,0.0,57.14,57.14,57.14,0.0,0.0,57.31,57.31,57.31,0.0,0.0
