Date,First Trust International IPO_etf_Open_average,First Trust International IPO_etf_Open_max,First Trust International IPO_etf_Open_min,First Trust International IPO_etf_Open_volatility,First Trust International IPO_etf_Open_change,First Trust International IPO_etf_High_average,First Trust International IPO_etf_High_max,First Trust International IPO_etf_High_min,First Trust International IPO_etf_High_volatility,First Trust International IPO_etf_High_change,First Trust International IPO_etf_Low_average,First Trust International IPO_etf_Low_max,First Trust International IPO_etf_Low_min,First Trust International IPO_etf_Low_volatility,First Trust International IPO_etf_Low_change,First Trust International IPO_etf_Close_average,First Trust International IPO_etf_Close_max,First Trust International IPO_etf_Close_min,First Trust International IPO_etf_Close_volatility,First Trust International IPO_etf_Close_change
2016-01-03,25.77,25.77,25.77,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.49,25.49,25.49,0.0,0.0
2016-01-10,24.74,24.74,24.74,0.0,0.0,24.78,24.78,24.78,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.55,24.55,24.55,0.0,0.0
2016-01-17,24.55,24.55,24.55,0.0,0.0,24.62,24.62,24.62,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.39,24.39,24.39,0.0,0.0
2016-01-24,24.49,24.49,24.49,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.43,24.43,24.43,0.0,0.0
2016-01-31,23.82,23.82,23.82,0.0,0.0,23.9,23.9,23.9,0.0,0.0,23.23,23.23,23.23,0.0,0.0,23.53,23.53,23.53,0.0,0.0
2016-02-07,22.18,22.18,22.18,0.0,0.0,22.5,22.5,22.5,0.0,0.0,22.07,22.07,22.07,0.0,0.0,22.43,22.43,22.43,0.0,0.0
2016-02-14,23.5,23.5,23.5,0.0,0.0,23.72,23.72,23.72,0.0,0.0,23.42,23.42,23.42,0.0,0.0,23.67,23.67,23.67,0.0,0.0
2016-02-21,23.83,23.83,23.83,0.0,0.0,23.89,23.89,23.89,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.72,23.72,23.72,0.0,0.0
2016-02-28,24.68,24.68,24.68,0.0,0.0,24.89,24.89,24.89,0.0,0.0,24.61,24.61,24.61,0.0,0.0,24.72,24.72,24.72,0.0,0.0
2016-03-06,25.16,25.16,25.16,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.22,25.22,25.22,0.0,0.0
2016-03-13,25.73,25.73,25.73,0.0,0.0,25.97,25.97,25.97,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.72,25.72,25.72,0.0,0.0
2016-03-20,25.46,25.46,25.46,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.42,25.42,25.42,0.0,0.0
2016-03-27,25.79,25.79,25.79,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.86,25.86,25.86,0.0,0.0
2016-04-03,25.8,25.8,25.8,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2016-04-10,26.62,26.62,26.62,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.56,26.56,26.56,0.0,0.0
2016-04-17,26.38,26.38,26.38,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.36,26.36,26.36,0.0,0.0
2016-04-24,26.42,26.42,26.42,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.2,26.2,26.2,0.0,0.0,26.2,26.2,26.2,0.0,0.0
2016-05-01,25.87,25.87,25.87,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.81,25.81,25.81,0.0,0.0
2016-05-08,25.56,25.56,25.56,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.48,25.48,25.48,0.0,0.0
2016-05-15,25.46,25.46,25.46,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.42,25.42,25.42,0.0,0.0
2016-05-22,25.76,25.76,25.76,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.7,25.7,25.7,0.0,0.0
2016-05-29,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2016-06-05,25.84,25.84,25.84,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.38,25.38,25.38,0.0,0.0
2016-06-12,24.9,24.9,24.9,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.9,24.9,24.9,0.0,0.0
2016-06-19,24.24,24.24,24.24,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.04,24.04,24.04,0.0,0.0,24.04,24.04,24.04,0.0,0.0
2016-06-26,24.75,24.75,24.75,0.0,0.0,25.5,25.5,25.5,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.63,24.63,24.63,0.0,0.0
2016-07-03,24.31,24.31,24.31,0.0,0.0,24.51,24.51,24.51,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.51,24.51,24.51,0.0,0.0
2016-07-10,25.06,25.06,25.06,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.04,25.04,25.04,0.0,0.0
