Date,VanEck Merk Gold Trust_etf_Open_average,VanEck Merk Gold Trust_etf_Open_max,VanEck Merk Gold Trust_etf_Open_min,VanEck Merk Gold Trust_etf_Open_volatility,VanEck Merk Gold Trust_etf_Open_change,VanEck Merk Gold Trust_etf_High_average,VanEck Merk Gold Trust_etf_High_max,VanEck Merk Gold Trust_etf_High_min,VanEck Merk Gold Trust_etf_High_volatility,VanEck Merk Gold Trust_etf_High_change,VanEck Merk Gold Trust_etf_Low_average,VanEck Merk Gold Trust_etf_Low_max,VanEck Merk Gold Trust_etf_Low_min,VanEck Merk Gold Trust_etf_Low_volatility,VanEck Merk Gold Trust_etf_Low_change,VanEck Merk Gold Trust_etf_Close_average,VanEck Merk Gold Trust_etf_Close_max,VanEck Merk Gold Trust_etf_Close_min,VanEck Merk Gold Trust_etf_Close_volatility,VanEck Merk Gold Trust_etf_Close_change
2016-01-03,10.95,10.95,10.95,0.0,0.0,10.97,10.97,10.97,0.0,0.0,10.92,10.92,10.92,0.0,0.0,10.96,10.96,10.96,0.0,0.0
2016-01-10,10.88,10.88,10.88,0.0,0.0,10.88,10.88,10.88,0.0,0.0,10.82,10.82,10.82,0.0,0.0,10.82,10.82,10.82,0.0,0.0
2016-01-17,10.89,10.89,10.89,0.0,0.0,10.94,10.94,10.94,0.0,0.0,10.89,10.89,10.89,0.0,0.0,10.91,10.91,10.91,0.0,0.0
2016-01-24,11.08,11.08,11.08,0.0,0.0,11.11,11.11,11.11,0.0,0.0,11.05,11.05,11.05,0.0,0.0,11.1,11.1,11.1,0.0,0.0
2016-01-31,11.41,11.41,11.41,0.0,0.0,11.67,11.67,11.67,0.0,0.0,11.4,11.4,11.4,0.0,0.0,11.67,11.67,11.67,0.0,0.0
2016-02-07,12.26,12.26,12.26,0.0,0.0,12.33,12.33,12.33,0.0,0.0,12.25,12.25,12.25,0.0,0.0,12.31,12.31,12.31,0.0,0.0
2016-02-14,12.18,12.18,12.18,0.0,0.0,12.25,12.25,12.25,0.0,0.0,12.18,12.18,12.18,0.0,0.0,12.21,12.21,12.21,0.0,0.0
2016-02-21,12.19,12.19,12.19,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.03,12.03,12.03,0.0,0.0,12.16,12.16,12.16,0.0,0.0
2016-02-28,12.58,12.58,12.58,0.0,0.0,12.71,12.71,12.71,0.0,0.0,12.5,12.5,12.5,0.0,0.0,12.53,12.53,12.53,0.0,0.0
2016-03-06,12.58,12.58,12.58,0.0,0.0,12.6,12.6,12.6,0.0,0.0,12.4,12.4,12.4,0.0,0.0,12.4,12.4,12.4,0.0,0.0
2016-03-13,12.44,12.44,12.44,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.42,12.42,12.42,0.0,0.0,12.45,12.45,12.45,0.0,0.0
2016-03-20,12.12,12.12,12.12,0.0,0.0,12.13,12.13,12.13,0.0,0.0,12.08,12.08,12.08,0.0,0.0,12.08,12.08,12.08,0.0,0.0
2016-03-27,12.06,12.06,12.06,0.0,0.0,12.15,12.15,12.15,0.0,0.0,12.01,12.01,12.01,0.0,0.0,12.15,12.15,12.15,0.0,0.0
2016-04-03,12.27,12.27,12.27,0.0,0.0,12.34,12.34,12.34,0.0,0.0,12.26,12.26,12.26,0.0,0.0,12.31,12.31,12.31,0.0,0.0
2016-04-10,12.19,12.19,12.19,0.0,0.0,12.27,12.27,12.27,0.0,0.0,12.18,12.18,12.18,0.0,0.0,12.25,12.25,12.25,0.0,0.0
2016-04-17,12.33,12.33,12.33,0.0,0.0,12.35,12.35,12.35,0.0,0.0,12.19,12.19,12.19,0.0,0.0,12.25,12.25,12.25,0.0,0.0
2016-04-24,12.72,12.72,12.72,0.0,0.0,12.87,12.87,12.87,0.0,0.0,12.71,12.71,12.71,0.0,0.0,12.84,12.84,12.84,0.0,0.0
2016-05-01,12.75,12.75,12.75,0.0,0.0,12.86,12.86,12.86,0.0,0.0,12.75,12.75,12.75,0.0,0.0,12.79,12.79,12.79,0.0,0.0
2016-05-08,12.58,12.58,12.58,0.0,0.0,12.64,12.64,12.64,0.0,0.0,12.57,12.57,12.57,0.0,0.0,12.64,12.64,12.64,0.0,0.0
2016-05-15,12.48,12.48,12.48,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.4,12.4,12.4,0.0,0.0,12.43,12.43,12.43,0.0,0.0
2016-05-22,12.08,12.08,12.08,0.0,0.0,12.08,12.08,12.08,0.0,0.0,11.98,11.98,11.98,0.0,0.0,12.02,12.02,12.02,0.0,0.0
2016-05-29,12.29,12.29,12.29,0.0,0.0,12.34,12.34,12.34,0.0,0.0,12.29,12.29,12.29,0.0,0.0,12.34,12.34,12.34,0.0,0.0
2016-06-05,12.63,12.63,12.63,0.0,0.0,12.67,12.67,12.67,0.0,0.0,12.58,12.58,12.58,0.0,0.0,12.65,12.65,12.65,0.0,0.0
2016-06-12,12.81,12.81,12.81,0.0,0.0,12.88,12.88,12.88,0.0,0.0,12.78,12.78,12.78,0.0,0.0,12.87,12.87,12.87,0.0,0.0
2016-06-19,13.15,13.15,13.15,0.0,0.0,13.15,13.15,13.15,0.0,0.0,12.99,12.99,12.99,0.0,0.0,13.09,13.09,13.09,0.0,0.0
2016-06-26,13.25,13.25,13.25,0.0,0.0,13.33,13.33,13.33,0.0,0.0,13.24,13.24,13.24,0.0,0.0,13.33,13.33,13.33,0.0,0.0
2016-07-03,13.49,13.49,13.49,0.0,0.0,13.54,13.54,13.54,0.0,0.0,13.41,13.41,13.41,0.0,0.0,13.54,13.54,13.54,0.0,0.0
