Date,Direxion Daily Energy Bull 3X SharesEtf_Open_average,Direxion Daily Energy Bull 3X SharesEtf_Open_max,Direxion Daily Energy Bull 3X SharesEtf_Open_min,Direxion Daily Energy Bull 3X SharesEtf_Open_volatility,Direxion Daily Energy Bull 3X SharesEtf_Open_change,Direxion Daily Energy Bull 3X SharesEtf_High_average,Direxion Daily Energy Bull 3X SharesEtf_High_max,Direxion Daily Energy Bull 3X SharesEtf_High_min,Direxion Daily Energy Bull 3X SharesEtf_High_volatility,Direxion Daily Energy Bull 3X SharesEtf_High_change,Direxion Daily Energy Bull 3X SharesEtf_Low_average,Direxion Daily Energy Bull 3X SharesEtf_Low_max,Direxion Daily Energy Bull 3X SharesEtf_Low_min,Direxion Daily Energy Bull 3X SharesEtf_Low_volatility,Direxion Daily Energy Bull 3X SharesEtf_Low_change,Direxion Daily Energy Bull 3X SharesEtf_Close_average,Direxion Daily Energy Bull 3X SharesEtf_Close_max,Direxion Daily Energy Bull 3X SharesEtf_Close_min,Direxion Daily Energy Bull 3X SharesEtf_Close_volatility,Direxion Daily Energy Bull 3X SharesEtf_Close_change
2016-01-03,199.5,199.5,199.5,0.0,0.0,200.5,200.5,200.5,0.0,0.0,184.5,184.5,184.5,0.0,0.0,186.4,186.4,186.4,0.0,0.0
2016-01-10,162.3,162.3,162.3,0.0,0.0,173.0,173.0,173.0,0.0,0.0,158.2,158.2,158.2,0.0,0.0,168.2,168.2,168.2,0.0,0.0
2016-01-17,175.3,175.3,175.3,0.0,0.0,182.3,182.3,182.3,0.0,0.0,167.6,167.6,167.6,0.0,0.0,179.0,179.0,179.0,0.0,0.0
2016-01-24,185.4,185.4,185.4,0.0,0.0,201.2,201.2,201.2,0.0,0.0,183.6,183.6,183.6,0.0,0.0,200.64,200.64,200.64,0.0,0.0
2016-01-31,181.4,181.4,181.4,0.0,0.0,183.8,183.8,183.8,0.0,0.0,171.3,171.3,171.3,0.0,0.0,176.1,176.1,176.1,0.0,0.0
2016-02-07,163.2,163.2,163.2,0.0,0.0,171.0,171.0,171.0,0.0,0.0,158.7,158.7,158.7,0.0,0.0,169.1,169.1,169.1,0.0,0.0
2016-02-14,176.3,176.3,176.3,0.0,0.0,182.9,182.9,182.9,0.0,0.0,171.88,171.88,171.88,0.0,0.0,182.9,182.9,182.9,0.0,0.0
2016-02-21,191.1,191.1,191.1,0.0,0.0,192.9,192.9,192.9,0.0,0.0,183.8,183.8,183.8,0.0,0.0,185.4,185.4,185.4,0.0,0.0
2016-02-28,220.2,220.2,220.2,0.0,0.0,232.5,232.5,232.5,0.0,0.0,213.5,213.5,213.5,0.0,0.0,223.3,223.3,223.3,0.0,0.0
2016-03-06,227.8,227.8,227.8,0.0,0.0,238.5,238.5,238.5,0.0,0.0,227.2,227.2,227.2,0.0,0.0,236.3,236.3,236.3,0.0,0.0
2016-03-13,257.2,257.2,257.2,0.0,0.0,258.4,258.4,258.4,0.0,0.0,246.8,246.8,246.8,0.0,0.0,253.6,253.6,253.6,0.0,0.0
2016-03-20,221.0,221.0,221.0,0.0,0.0,234.5,234.5,234.5,0.0,0.0,218.0,218.0,218.0,0.0,0.0,233.7,233.7,233.7,0.0,0.0
2016-03-27,222.5,222.5,222.5,0.0,0.0,227.3,227.3,227.3,0.0,0.0,220.3,220.3,220.3,0.0,0.0,224.8,224.8,224.8,0.0,0.0
2016-04-03,238.8,238.8,238.8,0.0,0.0,243.0,243.0,243.0,0.0,0.0,235.7,235.7,235.7,0.0,0.0,239.4,239.4,239.4,0.0,0.0
