Date,iShares MSCI Japan_etf_Open_average,iShares MSCI Japan_etf_Open_max,iShares MSCI Japan_etf_Open_min,iShares MSCI Japan_etf_Open_volatility,iShares MSCI Japan_etf_Open_change,iShares MSCI Japan_etf_High_average,iShares MSCI Japan_etf_High_max,iShares MSCI Japan_etf_High_min,iShares MSCI Japan_etf_High_volatility,iShares MSCI Japan_etf_High_change,iShares MSCI Japan_etf_Low_average,iShares MSCI Japan_etf_Low_max,iShares MSCI Japan_etf_Low_min,iShares MSCI Japan_etf_Low_volatility,iShares MSCI Japan_etf_Low_change,iShares MSCI Japan_etf_Close_average,iShares MSCI Japan_etf_Close_max,iShares MSCI Japan_etf_Close_min,iShares MSCI Japan_etf_Close_volatility,iShares MSCI Japan_etf_Close_change
2016-01-03,46.68,46.68,46.68,0.0,0.0,46.72,46.72,46.72,0.0,0.0,45.68,45.68,45.68,0.0,0.0,45.76,45.76,45.76,0.0,0.0
2016-01-10,44.68,44.68,44.68,0.0,0.0,45.0,45.0,45.0,0.0,0.0,44.4,44.4,44.4,0.0,0.0,44.7,44.7,44.7,0.0,0.0
2016-01-17,44.4,44.4,44.4,0.0,0.0,45.2,45.2,45.2,0.0,0.0,44.32,44.32,44.32,0.0,0.0,45.16,45.16,45.16,0.0,0.0
2016-01-24,45.2,45.2,45.2,0.0,0.0,46.0,46.0,46.0,0.0,0.0,45.14,45.14,45.14,0.0,0.0,46.0,46.0,46.0,0.0,0.0
2016-01-31,44.32,44.32,44.32,0.0,0.0,44.36,44.36,44.36,0.0,0.0,43.6,43.6,43.6,0.0,0.0,43.8,43.8,43.8,0.0,0.0
2016-02-07,40.96,40.96,40.96,0.0,0.0,41.76,41.76,41.76,0.0,0.0,40.72,40.72,40.72,0.0,0.0,41.64,41.64,41.64,0.0,0.0
2016-02-14,43.2,43.2,43.2,0.0,0.0,43.4,43.4,43.4,0.0,0.0,43.08,43.08,43.08,0.0,0.0,43.32,43.32,43.32,0.0,0.0
2016-02-21,44.6,44.6,44.6,0.0,0.0,44.72,44.72,44.72,0.0,0.0,44.16,44.16,44.16,0.0,0.0,44.24,44.24,44.24,0.0,0.0
2016-02-28,46.2,46.2,46.2,0.0,0.0,46.28,46.28,46.28,0.0,0.0,45.92,45.92,45.92,0.0,0.0,46.08,46.08,46.08,0.0,0.0
2016-03-06,45.8,45.8,45.8,0.0,0.0,46.16,46.16,46.16,0.0,0.0,45.78,45.78,45.78,0.0,0.0,46.12,46.12,46.12,0.0,0.0
2016-03-13,45.68,45.68,45.68,0.0,0.0,45.92,45.92,45.92,0.0,0.0,45.52,45.52,45.52,0.0,0.0,45.8,45.8,45.8,0.0,0.0
2016-03-20,45.16,45.16,45.16,0.0,0.0,45.44,45.44,45.44,0.0,0.0,45.12,45.12,45.12,0.0,0.0,45.4,45.4,45.4,0.0,0.0
2016-03-27,44.32,44.32,44.32,0.0,0.0,44.72,44.72,44.72,0.0,0.0,44.16,44.16,44.16,0.0,0.0,44.52,44.52,44.52,0.0,0.0
2016-04-03,45.4,45.4,45.4,0.0,0.0,45.56,45.56,45.56,0.0,0.0,45.24,45.24,45.24,0.0,0.0,45.32,45.32,45.32,0.0,0.0
2016-04-10,47.36,47.36,47.36,0.0,0.0,47.36,47.36,47.36,0.0,0.0,47.08,47.08,47.08,0.0,0.0,47.12,47.12,47.12,0.0,0.0
2016-04-17,48.8,48.8,48.8,0.0,0.0,49.0,49.0,49.0,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.84,48.84,48.84,0.0,0.0
2016-04-24,45.96,45.96,45.96,0.0,0.0,46.08,46.08,46.08,0.0,0.0,45.52,45.52,45.52,0.0,0.0,45.68,45.68,45.68,0.0,0.0
2016-05-01,45.92,45.92,45.92,0.0,0.0,46.32,46.32,46.32,0.0,0.0,45.88,45.88,45.88,0.0,0.0,46.16,46.16,46.16,0.0,0.0
2016-05-08,46.16,46.16,46.16,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.04,46.04,46.04,0.0,0.0,46.12,46.12,46.12,0.0,0.0
2016-05-15,46.4,46.4,46.4,0.0,0.0,46.56,46.56,46.56,0.0,0.0,46.28,46.28,46.28,0.0,0.0,46.48,46.48,46.48,0.0,0.0
2016-05-22,46.72,46.72,46.72,0.0,0.0,46.88,46.88,46.88,0.0,0.0,46.72,46.72,46.72,0.0,0.0,46.78,46.78,46.78,0.0,0.0
2016-05-29,46.84,46.84,46.84,0.0,0.0,46.92,46.92,46.92,0.0,0.0,46.56,46.56,46.56,0.0,0.0,46.92,46.92,46.92,0.0,0.0
