Date,EWBCStock_Open_average,EWBCStock_Open_max,EWBCStock_Open_min,EWBCStock_Open_volatility,EWBCStock_Open_change,EWBCStock_High_average,EWBCStock_High_max,EWBCStock_High_min,EWBCStock_High_volatility,EWBCStock_High_change,EWBCStock_Low_average,EWBCStock_Low_max,EWBCStock_Low_min,EWBCStock_Low_volatility,EWBCStock_Low_change,EWBCStock_Close_average,EWBCStock_Close_max,EWBCStock_Close_min,EWBCStock_Close_volatility,EWBCStock_Close_change,EWBCStock_Volume_average,EWBCStock_Volume_max,EWBCStock_Volume_min,EWBCStock_Volume_volatility,EWBCStock_Volume_change
2016-01-03,39.788000000000004,41.07,38.7,2.3699999999999974,-2.3699999999999974,40.124,41.07,38.7,2.3699999999999974,-2.3699999999999974,39.12,40.22,37.43,2.789999999999999,-2.789999999999999,39.34,40.57,37.52,3.049999999999997,-3.049999999999997,1019379,1978136,522228,1455908,-79099
2016-01-10,36.894,37.65,35.23,2.4200000000000017,-2.4200000000000017,37.16,38.0,35.74,2.259999999999998,-2.219999999999999,35.848,36.91,34.94,1.9699999999999989,-1.9699999999999989,36.43,37.49,35.58,1.9100000000000037,-1.5600000000000023,1361573,1866962,1060428,806534,214783
2016-01-17,34.8775,36.19,34.35,1.8399999999999963,-1.7999999999999972,35.1425,36.19,34.68,1.509999999999998,-1.509999999999998,34.019999999999996,34.78,33.54,1.240000000000002,-0.730000000000004,34.435,34.98,33.72,1.259999999999998,-0.529999999999994,1343753,1626203,872289,753914,753914
2016-01-24,33.336,34.32,31.87,2.4499999999999993,-2.4499999999999993,34.0,34.77,32.53,2.240000000000002,-1.8699999999999974,32.466,33.65,31.33,2.3200000000000003,-1.5600000000000023,33.014,34.0,31.87,2.129999999999999,-0.5300000000000011,2506270,4105447,1381350,2724097,2101305
2016-01-31,31.966,32.37,31.21,1.1599999999999966,-0.21999999999999886,32.348,32.95,31.92,1.0300000000000011,-0.6600000000000037,31.154,32.1,30.25,1.8500000000000014,-1.2600000000000016,31.742,32.76,30.94,1.8199999999999967,-1.8199999999999967,1752142,2060092,1096268,963824,-867469
2016-02-07,29.0,30.06,28.17,1.889999999999997,-1.889999999999997,29.436,30.09,28.31,1.7800000000000011,-1.1799999999999997,28.388,29.08,27.25,1.8299999999999983,-1.2799999999999976,28.844,29.73,27.52,2.210000000000001,-0.8399999999999999,2383125,2826485,1622557,1203928,-252204
2016-02-14,29.6025,30.37,28.8,1.5700000000000003,-0.5599999999999987,30.044999999999998,30.66,29.31,1.3500000000000014,-1.0,29.0925,29.71,28.74,0.9700000000000024,-0.3200000000000003,29.53,30.06,29.06,1.0,-0.889999999999997,1348793,1557064,993597,563467,-563467
2016-02-21,29.676666666666666,30.55,28.53,2.0199999999999996,1.129999999999999,30.251666666666665,31.01,29.45,1.5600000000000023,0.46999999999999886,29.371666666666666,30.55,28.27,2.280000000000001,1.129999999999999,29.896666666666665,30.56,29.06,1.5,0.6899999999999977,1345892,1891197,929581,961616,584881
2016-02-28,31.054,31.87,30.08,1.7900000000000027,1.3900000000000006,31.612,32.41,30.73,1.6799999999999962,1.6799999999999962,30.830000000000002,31.8,29.96,1.8399999999999999,1.8399999999999999,31.32,32.14,29.97,2.1700000000000017,2.1700000000000017,1467648,1874829,1009923,864906,-686246
2016-03-06,31.724,32.03,31.44,0.5899999999999999,-0.26000000000000156,32.104,32.65,31.58,1.0700000000000003,0.18999999999999773,31.288,31.81,30.8,1.009999999999998,-0.16000000000000014,31.722,32.61,31.17,1.4399999999999977,0.5399999999999991,1150812,1564785,848641,716144,-519586
