Date,BCBPStock_Open_average,BCBPStock_Open_max,BCBPStock_Open_min,BCBPStock_Open_volatility,BCBPStock_Open_change,BCBPStock_High_average,BCBPStock_High_max,BCBPStock_High_min,BCBPStock_High_volatility,BCBPStock_High_change,BCBPStock_Low_average,BCBPStock_Low_max,BCBPStock_Low_min,BCBPStock_Low_volatility,BCBPStock_Low_change,BCBPStock_Close_average,BCBPStock_Close_max,BCBPStock_Close_min,BCBPStock_Close_volatility,BCBPStock_Close_change,BCBPStock_Volume_average,BCBPStock_Volume_max,BCBPStock_Volume_min,BCBPStock_Volume_volatility,BCBPStock_Volume_change
2016-01-03,10.474,10.58,10.3,0.27999999999999936,0.22999999999999865,10.642,10.75,10.51,0.2400000000000002,0.15000000000000036,10.398,10.5,10.2,0.3000000000000007,0.3000000000000007,10.55,10.66,10.47,0.1899999999999995,0.1899999999999995,16759,22612,12057,10555,-5294
2016-01-10,10.57,10.64,10.4,0.2400000000000002,-0.2400000000000002,10.644,10.76,10.46,0.29999999999999893,-0.29999999999999893,10.382,10.52,10.21,0.3099999999999987,-0.3099999999999987,10.442,10.59,10.25,0.33999999999999986,-0.3200000000000003,12985,26596,3307,23289,-2804
2016-01-17,10.235,10.25,10.21,0.03999999999999915,0.0,10.3,10.46,10.24,0.22000000000000064,0.21000000000000085,10.135,10.21,10.0,0.21000000000000085,0.010000000000001563,10.28,10.45,10.19,0.2599999999999998,0.20999999999999908,12559,28030,1929,26101,-3416
2016-01-24,10.338000000000001,10.39,10.3,0.08999999999999986,-0.06999999999999851,10.454,10.48,10.41,0.07000000000000028,0.040000000000000924,10.286000000000001,10.38,10.21,0.16999999999999993,0.08999999999999986,10.356,10.47,10.21,0.2599999999999998,0.2599999999999998,4703,7349,1757,5592,1341
2016-01-31,10.27,10.36,10.14,0.21999999999999886,-0.1899999999999995,10.33,10.45,10.22,0.22999999999999865,-0.22999999999999865,10.196,10.3,10.05,0.25,-0.20999999999999908,10.241999999999999,10.36,10.08,0.27999999999999936,-0.27999999999999936,5226,6790,2318,4472,3603
2016-02-07,9.978,10.08,9.84,0.2400000000000002,-0.2400000000000002,10.04,10.12,9.9,0.21999999999999886,-0.17999999999999972,9.88,9.94,9.81,0.129999999999999,-0.08000000000000007,9.916,9.98,9.83,0.15000000000000036,-0.15000000000000036,12146,21904,5089,16815,-11373
2016-02-14,10.11,10.2,10.0,0.1999999999999993,0.1999999999999993,10.1775,10.3,10.06,0.2400000000000002,0.2400000000000002,10.0,10.16,9.83,0.33000000000000007,0.33000000000000007,10.14,10.28,10.04,0.2400000000000002,0.22999999999999865,11548,14187,8571,5616,-476
2016-02-21,9.975999999999999,10.17,9.81,0.35999999999999943,-0.22000000000000064,10.036,10.28,9.96,0.3199999999999985,-0.3199999999999985,9.812,9.93,9.75,0.17999999999999972,-0.11999999999999922,9.852,9.95,9.8,0.14999999999999858,-0.08000000000000007,19337,36101,7558,28543,-28543
2016-02-28,9.916,9.96,9.83,0.13000000000000078,0.08000000000000007,10.016,10.07,9.97,0.09999999999999964,0.05999999999999872,9.864,9.91,9.81,0.09999999999999964,0.09999999999999964,9.934,10.07,9.83,0.2400000000000002,0.08999999999999986,10532,24593,3800,20793,-17320
2016-03-06,9.962,10.0,9.94,0.0600000000000005,0.02999999999999936,9.992,10.0,9.98,0.019999999999999574,0.0,9.886000000000001,9.9,9.85,0.05000000000000071,-0.009999999999999787,9.92,9.94,9.85,0.08999999999999986,0.0,15074,22140,7837,14303,4391
