Date,PowerShares DWA NASDAQ Momentum PortfolioEtf_Open_average,PowerShares DWA NASDAQ Momentum PortfolioEtf_Open_max,PowerShares DWA NASDAQ Momentum PortfolioEtf_Open_min,PowerShares DWA NASDAQ Momentum PortfolioEtf_Open_volatility,PowerShares DWA NASDAQ Momentum PortfolioEtf_Open_change,PowerShares DWA NASDAQ Momentum PortfolioEtf_High_average,PowerShares DWA NASDAQ Momentum PortfolioEtf_High_max,PowerShares DWA NASDAQ Momentum PortfolioEtf_High_min,PowerShares DWA NASDAQ Momentum PortfolioEtf_High_volatility,PowerShares DWA NASDAQ Momentum PortfolioEtf_High_change,PowerShares DWA NASDAQ Momentum PortfolioEtf_Low_average,PowerShares DWA NASDAQ Momentum PortfolioEtf_Low_max,PowerShares DWA NASDAQ Momentum PortfolioEtf_Low_min,PowerShares DWA NASDAQ Momentum PortfolioEtf_Low_volatility,PowerShares DWA NASDAQ Momentum PortfolioEtf_Low_change,PowerShares DWA NASDAQ Momentum PortfolioEtf_Close_average,PowerShares DWA NASDAQ Momentum PortfolioEtf_Close_max,PowerShares DWA NASDAQ Momentum PortfolioEtf_Close_min,PowerShares DWA NASDAQ Momentum PortfolioEtf_Close_volatility,PowerShares DWA NASDAQ Momentum PortfolioEtf_Close_change
2016-01-03,69.69,69.69,69.69,0.0,0.0,69.69,69.69,69.69,0.0,0.0,68.45,68.45,68.45,0.0,0.0,68.45,68.45,68.45,0.0,0.0
2016-01-10,65.83,65.83,65.83,0.0,0.0,65.95,65.95,65.95,0.0,0.0,65.62,65.62,65.62,0.0,0.0,65.86,65.86,65.86,0.0,0.0
2016-01-17,66.21,66.21,66.21,0.0,0.0,66.84,66.84,66.84,0.0,0.0,66.21,66.21,66.21,0.0,0.0,66.84,66.84,66.84,0.0,0.0
2016-01-24,66.0,66.0,66.0,0.0,0.0,66.6,66.6,66.6,0.0,0.0,66.0,66.0,66.0,0.0,0.0,66.6,66.6,66.6,0.0,0.0
2016-01-31,64.6,64.6,64.6,0.0,0.0,64.6,64.6,64.6,0.0,0.0,63.01,63.01,63.01,0.0,0.0,63.01,63.01,63.01,0.0,0.0
2016-02-07,61.74,61.74,61.74,0.0,0.0,62.14,62.14,62.14,0.0,0.0,61.55,61.55,61.55,0.0,0.0,62.1,62.1,62.1,0.0,0.0
2016-02-14,64.87,64.87,64.87,0.0,0.0,64.87,64.87,64.87,0.0,0.0,64.87,64.87,64.87,0.0,0.0,64.87,64.87,64.87,0.0,0.0
2016-02-21,66.31,66.31,66.31,0.0,0.0,66.44,66.44,66.44,0.0,0.0,66.31,66.31,66.31,0.0,0.0,66.44,66.44,66.44,0.0,0.0
2016-02-28,68.65,68.65,68.65,0.0,0.0,68.65,68.65,68.65,0.0,0.0,68.65,68.65,68.65,0.0,0.0,68.65,68.65,68.65,0.0,0.0
2016-03-06,68.0,68.0,68.0,0.0,0.0,68.6,68.6,68.6,0.0,0.0,68.0,68.0,68.0,0.0,0.0,68.6,68.6,68.6,0.0,0.0
