Date,iShares China Large-Cap_etf_Open_average,iShares China Large-Cap_etf_Open_max,iShares China Large-Cap_etf_Open_min,iShares China Large-Cap_etf_Open_volatility,iShares China Large-Cap_etf_Open_change,iShares China Large-Cap_etf_High_average,iShares China Large-Cap_etf_High_max,iShares China Large-Cap_etf_High_min,iShares China Large-Cap_etf_High_volatility,iShares China Large-Cap_etf_High_change,iShares China Large-Cap_etf_Low_average,iShares China Large-Cap_etf_Low_max,iShares China Large-Cap_etf_Low_min,iShares China Large-Cap_etf_Low_volatility,iShares China Large-Cap_etf_Low_change,iShares China Large-Cap_etf_Close_average,iShares China Large-Cap_etf_Close_max,iShares China Large-Cap_etf_Close_min,iShares China Large-Cap_etf_Close_volatility,iShares China Large-Cap_etf_Close_change
2016-01-03,32.26,32.26,32.26,0.0,0.0,32.3,32.3,32.3,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.62,31.62,31.62,0.0,0.0
2016-01-10,29.64,29.64,29.64,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2016-01-17,30.58,30.58,30.58,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.73,30.73,30.73,0.0,0.0
2016-01-24,30.87,30.87,30.87,0.0,0.0,31.23,31.23,31.23,0.0,0.0,30.78,30.78,30.78,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2016-01-31,30.23,30.23,30.23,0.0,0.0,30.24,30.24,30.24,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2016-02-07,28.61,28.61,28.61,0.0,0.0,29.1,29.1,29.1,0.0,0.0,28.46,28.46,28.46,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2016-02-14,30.47,30.47,30.47,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2016-02-21,30.75,30.75,30.75,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.42,30.42,30.42,0.0,0.0
2016-02-28,32.39,32.39,32.39,0.0,0.0,33.1,33.1,33.1,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.99,32.99,32.99,0.0,0.0
2016-03-06,32.45,32.45,32.45,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.86,32.86,32.86,0.0,0.0
2016-03-13,33.69,33.69,33.69,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.68,33.68,33.68,0.0,0.0
2016-03-20,32.48,32.48,32.48,0.0,0.0,32.74,32.74,32.74,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.74,32.74,32.74,0.0,0.0
2016-03-27,33.02,33.02,33.02,0.0,0.0,33.71,33.71,33.71,0.0,0.0,32.84,32.84,32.84,0.0,0.0,33.58,33.58,33.58,0.0,0.0
