Date,ProShares Ultra Real Estate_etf_Open_average,ProShares Ultra Real Estate_etf_Open_max,ProShares Ultra Real Estate_etf_Open_min,ProShares Ultra Real Estate_etf_Open_volatility,ProShares Ultra Real Estate_etf_Open_change,ProShares Ultra Real Estate_etf_High_average,ProShares Ultra Real Estate_etf_High_max,ProShares Ultra Real Estate_etf_High_min,ProShares Ultra Real Estate_etf_High_volatility,ProShares Ultra Real Estate_etf_High_change,ProShares Ultra Real Estate_etf_Low_average,ProShares Ultra Real Estate_etf_Low_max,ProShares Ultra Real Estate_etf_Low_min,ProShares Ultra Real Estate_etf_Low_volatility,ProShares Ultra Real Estate_etf_Low_change,ProShares Ultra Real Estate_etf_Close_average,ProShares Ultra Real Estate_etf_Close_max,ProShares Ultra Real Estate_etf_Close_min,ProShares Ultra Real Estate_etf_Close_volatility,ProShares Ultra Real Estate_etf_Close_change
2016-01-03,50.52,50.52,50.52,0.0,0.0,50.96,50.96,50.96,0.0,0.0,48.87,48.87,48.87,0.0,0.0,48.99,48.99,48.99,0.0,0.0
2016-01-10,46.02,46.02,46.02,0.0,0.0,46.29,46.29,46.29,0.0,0.0,45.17,45.17,45.17,0.0,0.0,46.01,46.01,46.01,0.0,0.0
2016-01-17,45.33,45.33,45.33,0.0,0.0,47.24,47.24,47.24,0.0,0.0,45.19,45.19,45.19,0.0,0.0,46.88,46.88,46.88,0.0,0.0
2016-01-24,46.27,46.27,46.27,0.0,0.0,47.79,47.79,47.79,0.0,0.0,45.77,45.77,45.77,0.0,0.0,47.74,47.74,47.74,0.0,0.0
2016-01-31,47.06,47.06,47.06,0.0,0.0,47.06,47.06,47.06,0.0,0.0,45.2,45.2,45.2,0.0,0.0,45.26,45.26,45.26,0.0,0.0
2016-02-07,40.73,40.73,40.73,0.0,0.0,41.61,41.61,41.61,0.0,0.0,40.73,40.73,40.73,0.0,0.0,41.45,41.45,41.45,0.0,0.0
2016-02-14,44.23,44.23,44.23,0.0,0.0,45.27,45.27,45.27,0.0,0.0,43.94,43.94,43.94,0.0,0.0,44.84,44.84,44.84,0.0,0.0
2016-02-21,47.22,47.22,47.22,0.0,0.0,47.76,47.76,47.76,0.0,0.0,47.01,47.01,47.01,0.0,0.0,47.03,47.03,47.03,0.0,0.0
2016-02-28,50.48,50.48,50.48,0.0,0.0,51.04,51.04,51.04,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.84,50.84,50.84,0.0,0.0
2016-03-06,50.92,50.92,50.92,0.0,0.0,52.55,52.55,52.55,0.0,0.0,50.92,50.92,50.92,0.0,0.0,52.47,52.47,52.47,0.0,0.0
