Date,iShares MSCI Emerging Markets Small-CapEtf_Open_average,iShares MSCI Emerging Markets Small-CapEtf_Open_max,iShares MSCI Emerging Markets Small-CapEtf_Open_min,iShares MSCI Emerging Markets Small-CapEtf_Open_volatility,iShares MSCI Emerging Markets Small-CapEtf_Open_change,iShares MSCI Emerging Markets Small-CapEtf_High_average,iShares MSCI Emerging Markets Small-CapEtf_High_max,iShares MSCI Emerging Markets Small-CapEtf_High_min,iShares MSCI Emerging Markets Small-CapEtf_High_volatility,iShares MSCI Emerging Markets Small-CapEtf_High_change,iShares MSCI Emerging Markets Small-CapEtf_Low_average,iShares MSCI Emerging Markets Small-CapEtf_Low_max,iShares MSCI Emerging Markets Small-CapEtf_Low_min,iShares MSCI Emerging Markets Small-CapEtf_Low_volatility,iShares MSCI Emerging Markets Small-CapEtf_Low_change,iShares MSCI Emerging Markets Small-CapEtf_Close_average,iShares MSCI Emerging Markets Small-CapEtf_Close_max,iShares MSCI Emerging Markets Small-CapEtf_Close_min,iShares MSCI Emerging Markets Small-CapEtf_Close_volatility,iShares MSCI Emerging Markets Small-CapEtf_Close_change
2016-01-03,38.92,38.92,38.92,0.0,0.0,39.16,39.16,39.16,0.0,0.0,38.33,38.33,38.33,0.0,0.0,38.33,38.33,38.33,0.0,0.0
2016-01-10,36.57,36.57,36.57,0.0,0.0,36.72,36.72,36.72,0.0,0.0,36.12,36.12,36.12,0.0,0.0,36.4,36.4,36.4,0.0,0.0
2016-01-17,37.22,37.22,37.22,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.22,37.22,37.22,0.0,0.0,37.47,37.47,37.47,0.0,0.0
2016-01-24,38.01,38.01,38.01,0.0,0.0,38.29,38.29,38.29,0.0,0.0,37.73,37.73,37.73,0.0,0.0,38.1,38.1,38.1,0.0,0.0
2016-01-31,37.46,37.46,37.46,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.34,37.34,37.34,0.0,0.0,37.39,37.39,37.39,0.0,0.0
2016-02-07,36.12,36.12,36.12,0.0,0.0,36.34,36.34,36.34,0.0,0.0,35.74,35.74,35.74,0.0,0.0,36.34,36.34,36.34,0.0,0.0
2016-02-14,37.27,37.27,37.27,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.19,37.19,37.19,0.0,0.0,37.43,37.43,37.43,0.0,0.0
2016-02-21,37.66,37.66,37.66,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.15,37.15,37.15,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2016-02-28,39.57,39.57,39.57,0.0,0.0,40.37,40.37,40.37,0.0,0.0,39.43,39.43,39.43,0.0,0.0,40.11,40.11,40.11,0.0,0.0
2016-03-06,40.07,40.07,40.07,0.0,0.0,40.56,40.56,40.56,0.0,0.0,40.07,40.07,40.07,0.0,0.0,40.53,40.53,40.53,0.0,0.0
2016-03-13,41.56,41.56,41.56,0.0,0.0,41.56,41.56,41.56,0.0,0.0,41.07,41.07,41.07,0.0,0.0,41.11,41.11,41.11,0.0,0.0
2016-03-20,40.32,40.32,40.32,0.0,0.0,40.57,40.57,40.57,0.0,0.0,39.5,39.5,39.5,0.0,0.0,40.54,40.54,40.54,0.0,0.0
2016-03-27,40.75,40.75,40.75,0.0,0.0,41.52,41.52,41.52,0.0,0.0,40.72,40.72,40.72,0.0,0.0,41.14,41.14,41.14,0.0,0.0
2016-04-03,40.92,40.92,40.92,0.0,0.0,41.19,41.19,41.19,0.0,0.0,40.76,40.76,40.76,0.0,0.0,40.97,40.97,40.97,0.0,0.0
2016-04-10,41.9,41.9,41.9,0.0,0.0,41.97,41.97,41.97,0.0,0.0,41.73,41.73,41.73,0.0,0.0,41.78,41.78,41.78,0.0,0.0
2016-04-17,41.78,41.78,41.78,0.0,0.0,42.07,42.07,42.07,0.0,0.0,41.62,41.62,41.62,0.0,0.0,41.62,41.62,41.62,0.0,0.0
2016-04-24,41.94,41.94,41.94,0.0,0.0,41.94,41.94,41.94,0.0,0.0,41.42,41.42,41.42,0.0,0.0,41.48,41.48,41.48,0.0,0.0
2016-05-01,40.01,40.01,40.01,0.0,0.0,40.57,40.57,40.57,0.0,0.0,40.01,40.01,40.01,0.0,0.0,40.33,40.33,40.33,0.0,0.0
2016-05-08,40.27,40.27,40.27,0.0,0.0,40.27,40.27,40.27,0.0,0.0,39.78,39.78,39.78,0.0,0.0,39.9,39.9,39.9,0.0,0.0
2016-05-15,39.63,39.63,39.63,0.0,0.0,39.91,39.91,39.91,0.0,0.0,39.51,39.51,39.51,0.0,0.0,39.83,39.83,39.83,0.0,0.0
2016-05-22,40.32,40.32,40.32,0.0,0.0,40.56,40.56,40.56,0.0,0.0,40.16,40.16,40.16,0.0,0.0,40.31,40.31,40.31,0.0,0.0
