Date,iShares MSCI Ireland_etf_Open_average,iShares MSCI Ireland_etf_Open_max,iShares MSCI Ireland_etf_Open_min,iShares MSCI Ireland_etf_Open_volatility,iShares MSCI Ireland_etf_Open_change,iShares MSCI Ireland_etf_High_average,iShares MSCI Ireland_etf_High_max,iShares MSCI Ireland_etf_High_min,iShares MSCI Ireland_etf_High_volatility,iShares MSCI Ireland_etf_High_change,iShares MSCI Ireland_etf_Low_average,iShares MSCI Ireland_etf_Low_max,iShares MSCI Ireland_etf_Low_min,iShares MSCI Ireland_etf_Low_volatility,iShares MSCI Ireland_etf_Low_change,iShares MSCI Ireland_etf_Close_average,iShares MSCI Ireland_etf_Close_max,iShares MSCI Ireland_etf_Close_min,iShares MSCI Ireland_etf_Close_volatility,iShares MSCI Ireland_etf_Close_change
2016-01-03,40.33,40.33,40.33,0.0,0.0,40.4,40.4,40.4,0.0,0.0,39.73,39.73,39.73,0.0,0.0,39.85,39.85,39.85,0.0,0.0
2016-01-10,38.59,38.59,38.59,0.0,0.0,38.71,38.71,38.71,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.26,38.26,38.26,0.0,0.0
2016-01-17,37.75,37.75,37.75,0.0,0.0,38.5,38.5,38.5,0.0,0.0,37.75,37.75,37.75,0.0,0.0,38.37,38.37,38.37,0.0,0.0
2016-01-24,37.97,37.97,37.97,0.0,0.0,38.91,38.91,38.91,0.0,0.0,37.85,37.85,37.85,0.0,0.0,38.78,38.78,38.78,0.0,0.0
2016-01-31,38.69,38.69,38.69,0.0,0.0,38.69,38.69,38.69,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.77,37.77,37.77,0.0,0.0
2016-02-07,36.11,36.11,36.11,0.0,0.0,36.32,36.32,36.32,0.0,0.0,35.82,35.82,35.82,0.0,0.0,36.26,36.26,36.26,0.0,0.0
2016-02-14,36.78,36.78,36.78,0.0,0.0,37.53,37.53,37.53,0.0,0.0,36.65,36.65,36.65,0.0,0.0,37.53,37.53,37.53,0.0,0.0
2016-02-21,37.38,37.38,37.38,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.34,37.34,37.34,0.0,0.0
2016-02-28,38.25,38.25,38.25,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.25,38.25,38.25,0.0,0.0,38.38,38.38,38.38,0.0,0.0
2016-03-06,38.89,38.89,38.89,0.0,0.0,39.3,39.3,39.3,0.0,0.0,38.8,38.8,38.8,0.0,0.0,39.21,39.21,39.21,0.0,0.0
2016-03-13,39.43,39.43,39.43,0.0,0.0,39.72,39.72,39.72,0.0,0.0,39.34,39.34,39.34,0.0,0.0,39.51,39.51,39.51,0.0,0.0
2016-03-20,39.11,39.11,39.11,0.0,0.0,39.35,39.35,39.35,0.0,0.0,39.11,39.11,39.11,0.0,0.0,39.29,39.29,39.29,0.0,0.0
2016-03-27,39.83,39.83,39.83,0.0,0.0,40.59,40.59,40.59,0.0,0.0,39.83,39.83,39.83,0.0,0.0,40.54,40.54,40.54,0.0,0.0
