Date,ATECStock_Open_average,ATECStock_Open_max,ATECStock_Open_min,ATECStock_Open_volatility,ATECStock_Open_change,ATECStock_High_average,ATECStock_High_max,ATECStock_High_min,ATECStock_High_volatility,ATECStock_High_change,ATECStock_Low_average,ATECStock_Low_max,ATECStock_Low_min,ATECStock_Low_volatility,ATECStock_Low_change,ATECStock_Close_average,ATECStock_Close_max,ATECStock_Close_min,ATECStock_Close_volatility,ATECStock_Close_change,ATECStock_Volume_average,ATECStock_Volume_max,ATECStock_Volume_min,ATECStock_Volume_volatility,ATECStock_Volume_change
2016-01-03,3.696,3.96,3.36,0.6000000000000001,0.6000000000000001,4.02,4.2,3.78,0.4200000000000004,0.3600000000000003,3.456,3.72,3.24,0.48,0.11999999999999966,3.694,3.84,3.6,0.23999999999999977,0.0900000000000003,26619,37721,13755,23966,18212
2016-01-10,3.436,3.79,3.12,0.6699999999999999,-0.31000000000000005,3.632,3.87,3.55,0.3200000000000003,-0.27,3.168,3.36,2.88,0.48,0.48,3.362,3.55,3.11,0.43999999999999995,0.3200000000000003,12338,23710,3760,19950,-19950
2016-01-17,3.48,3.48,3.48,0.0,0.0,3.63,3.72,3.6,0.1200000000000001,-0.1200000000000001,3.3899999999999997,3.48,3.3,0.18000000000000016,-0.06000000000000005,3.55,3.6,3.5,0.10000000000000009,-0.06999999999999984,7951,13617,3302,10315,10315
2016-01-24,4.6419999999999995,5.28,3.48,1.8000000000000003,1.1999999999999997,5.71,6.94,4.67,2.2700000000000005,0.8899999999999997,4.402,4.98,3.48,1.5000000000000004,1.1999999999999997,4.932,5.4,4.44,0.96,0.6599999999999993,47308,128928,9104,119824,-52213
2016-01-31,4.962,5.35,4.8,0.5499999999999998,-0.5499999999999998,5.232,5.64,5.04,0.5999999999999996,-0.5999999999999996,4.702,4.92,4.49,0.4299999999999997,-0.17999999999999972,4.86,5.04,4.68,0.3600000000000003,-0.2400000000000002,5550,9881,2141,7740,-5313
2016-02-07,3.402,4.8,2.4,2.4,-2.21,3.5100000000000002,5.04,2.64,2.4,-2.39,2.652,4.56,1.8,2.76,-2.28,2.9899999999999998,4.56,2.31,2.2499999999999996,-2.0999999999999996,77342,274491,4917,269574,19286
2016-02-14,2.4325,2.52,2.29,0.22999999999999998,-0.1200000000000001,2.52,2.58,2.46,0.1200000000000001,-0.06000000000000005,2.3,2.34,2.28,0.06000000000000005,0.06000000000000005,2.405,2.46,2.34,0.1200000000000001,-0.1200000000000001,27135,43819,11603,32216,17224
2016-02-21,2.4,2.52,2.28,0.2400000000000002,-0.1200000000000001,2.442,2.52,2.4,0.1200000000000001,-0.06000000000000005,2.324,2.37,2.28,0.0900000000000003,0.010000000000000231,2.376,2.46,2.28,0.18000000000000016,0.1200000000000001,12869,17735,7897,9838,-3111
2016-02-28,2.542,3.12,2.28,0.8400000000000003,0.7200000000000002,2.81,3.6,2.4,1.2000000000000002,1.2000000000000002,2.352,2.52,2.16,0.3599999999999999,0.2400000000000002,2.68,3.3,2.27,1.0299999999999998,1.02,23511,40964,11655,29309,8489
2016-03-06,3.326,3.6,2.98,0.6200000000000001,-0.4500000000000002,3.504,3.6,3.36,0.2400000000000002,-0.1200000000000001,3.024,3.36,2.52,0.8399999999999999,-0.8399999999999999,3.286,3.48,3.0,0.48,-0.009999999999999787,8931,13061,4846,8215,3112
2016-03-13,3.24,3.48,3.0,0.48,-0.48,3.418,3.6,3.36,0.2400000000000002,-0.2400000000000002,2.94,3.24,2.7,0.54,-0.54,3.12,3.48,2.76,0.7200000000000002,-0.7200000000000002,11013,13750,6421,7329,-2142
