Date,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_Open_average,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_Open_max,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_Open_min,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_Open_volatility,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_Open_change,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_High_average,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_High_max,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_High_min,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_High_volatility,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_High_change,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_Low_average,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_Low_max,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_Low_min,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_Low_volatility,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_Low_change,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_Close_average,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_Close_max,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_Close_min,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_Close_volatility,UBS AG ETRACS Monthly Reset 2X ISE Exclusively Hom_etf_Close_change
2016-01-03,17.37,17.37,17.37,0.0,0.0,17.57,17.57,17.57,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.2,16.2,16.2,0.0,0.0
2016-01-10,14.55,14.55,14.55,0.0,0.0,14.95,14.95,14.95,0.0,0.0,13.89,13.89,13.89,0.0,0.0,14.85,14.85,14.85,0.0,0.0
2016-01-17,14.83,14.83,14.83,0.0,0.0,16.17,16.17,16.17,0.0,0.0,14.77,14.77,14.77,0.0,0.0,15.43,15.43,15.43,0.0,0.0
2016-01-24,15.13,15.13,15.13,0.0,0.0,15.71,15.71,15.71,0.0,0.0,14.96,14.96,14.96,0.0,0.0,15.71,15.71,15.71,0.0,0.0
2016-01-31,14.06,14.06,14.06,0.0,0.0,14.08,14.08,14.08,0.0,0.0,13.59,13.59,13.59,0.0,0.0,13.59,13.59,13.59,0.0,0.0
2016-02-07,12.27,12.27,12.27,0.0,0.0,12.96,12.96,12.96,0.0,0.0,12.27,12.27,12.27,0.0,0.0,12.94,12.94,12.94,0.0,0.0
2016-02-14,13.5,13.5,13.5,0.0,0.0,13.94,13.94,13.94,0.0,0.0,13.34,13.34,13.34,0.0,0.0,13.52,13.52,13.52,0.0,0.0
2016-02-21,15.97,15.97,15.97,0.0,0.0,16.2,16.2,16.2,0.0,0.0,15.67,15.67,15.67,0.0,0.0,15.76,15.76,15.76,0.0,0.0
2016-02-28,18.04,18.04,18.04,0.0,0.0,18.04,18.04,18.04,0.0,0.0,17.26,17.26,17.26,0.0,0.0,17.46,17.46,17.46,0.0,0.0
2016-03-06,17.85,17.85,17.85,0.0,0.0,18.2,18.2,18.2,0.0,0.0,17.84,17.84,17.84,0.0,0.0,18.2,18.2,18.2,0.0,0.0
2016-03-13,19.44,19.44,19.44,0.0,0.0,19.44,19.44,19.44,0.0,0.0,19.19,19.19,19.19,0.0,0.0,19.19,19.19,19.19,0.0,0.0
2016-03-20,18.74,18.74,18.74,0.0,0.0,18.93,18.93,18.93,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.93,18.93,18.93,0.0,0.0
2016-03-27,19.03,19.03,19.03,0.0,0.0,19.03,19.03,19.03,0.0,0.0,19.03,19.03,19.03,0.0,0.0,19.03,19.03,19.03,0.0,0.0
2016-04-03,19.45,19.45,19.45,0.0,0.0,19.45,19.45,19.45,0.0,0.0,19.45,19.45,19.45,0.0,0.0,19.45,19.45,19.45,0.0,0.0
2016-04-10,20.62,20.62,20.62,0.0,0.0,20.62,20.62,20.62,0.0,0.0,20.62,20.62,20.62,0.0,0.0,20.62,20.62,20.62,0.0,0.0
2016-04-17,21.06,21.06,21.06,0.0,0.0,21.06,21.06,21.06,0.0,0.0,21.06,21.06,21.06,0.0,0.0,21.06,21.06,21.06,0.0,0.0
2016-04-24,18.67,18.67,18.67,0.0,0.0,18.67,18.67,18.67,0.0,0.0,18.35,18.35,18.35,0.0,0.0,18.66,18.66,18.66,0.0,0.0
2016-05-01,17.59,17.59,17.59,0.0,0.0,17.9,17.9,17.9,0.0,0.0,17.49,17.49,17.49,0.0,0.0,17.9,17.9,17.9,0.0,0.0
2016-05-08,18.5,18.5,18.5,0.0,0.0,18.58,18.58,18.58,0.0,0.0,18.46,18.46,18.46,0.0,0.0,18.46,18.46,18.46,0.0,0.0
2016-05-15,18.37,18.37,18.37,0.0,0.0,18.37,18.37,18.37,0.0,0.0,18.37,18.37,18.37,0.0,0.0,18.37,18.37,18.37,0.0,0.0
2016-05-22,19.7,19.7,19.7,0.0,0.0,20.29,20.29,20.29,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.89,19.89,19.89,0.0,0.0
2016-05-29,20.04,20.04,20.04,0.0,0.0,20.04,20.04,20.04,0.0,0.0,20.03,20.03,20.03,0.0,0.0,20.03,20.03,20.03,0.0,0.0
2016-06-05,21.32,21.32,21.32,0.0,0.0,21.32,21.32,21.32,0.0,0.0,21.32,21.32,21.32,0.0,0.0,21.32,21.32,21.32,0.0,0.0
2016-06-12,20.56,20.56,20.56,0.0,0.0,20.56,20.56,20.56,0.0,0.0,20.41,20.41,20.41,0.0,0.0,20.41,20.41,20.41,0.0,0.0
2016-06-19,18.79,18.79,18.79,0.0,0.0,19.78,19.78,19.78,0.0,0.0,18.79,18.79,18.79,0.0,0.0,19.75,19.75,19.75,0.0,0.0
