Date,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Open_average,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Open_max,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Open_min,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Open_volatility,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Open_change,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_High_average,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_High_max,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_High_min,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_High_volatility,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_High_change,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Low_average,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Low_max,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Low_min,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Low_volatility,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Low_change,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Close_average,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Close_max,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Close_min,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Close_volatility,WisdomTree Barclays Interest Rate Hedge US Aggrega_etf_Close_change
2016-01-03,48.03,48.03,48.03,0.0,0.0,48.03,48.03,48.03,0.0,0.0,47.91,47.91,47.91,0.0,0.0,47.91,47.91,47.91,0.0,0.0
2016-01-10,47.61,47.61,47.61,0.0,0.0,47.65,47.65,47.65,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.45,47.45,47.45,0.0,0.0
2016-01-17,47.6,47.6,47.6,0.0,0.0,47.65,47.65,47.65,0.0,0.0,47.51,47.51,47.51,0.0,0.0,47.64,47.64,47.64,0.0,0.0
2016-01-24,47.44,47.44,47.44,0.0,0.0,47.44,47.44,47.44,0.0,0.0,47.24,47.24,47.24,0.0,0.0,47.24,47.24,47.24,0.0,0.0
2016-01-31,47.2,47.2,47.2,0.0,0.0,47.26,47.26,47.26,0.0,0.0,47.03,47.03,47.03,0.0,0.0,47.26,47.26,47.26,0.0,0.0
2016-02-07,46.93,46.93,46.93,0.0,0.0,47.07,47.07,47.07,0.0,0.0,46.93,46.93,46.93,0.0,0.0,46.99,46.99,46.99,0.0,0.0
2016-02-14,47.18,47.18,47.18,0.0,0.0,47.28,47.28,47.28,0.0,0.0,46.95,46.95,46.95,0.0,0.0,47.02,47.02,47.02,0.0,0.0
2016-02-21,47.15,47.15,47.15,0.0,0.0,47.15,47.15,47.15,0.0,0.0,46.91,46.91,46.91,0.0,0.0,47.1,47.1,47.1,0.0,0.0
2016-02-28,47.4,47.4,47.4,0.0,0.0,47.5,47.5,47.5,0.0,0.0,47.31,47.31,47.31,0.0,0.0,47.5,47.5,47.5,0.0,0.0
2016-03-06,47.45,47.45,47.45,0.0,0.0,47.66,47.66,47.66,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.61,47.61,47.61,0.0,0.0
2016-03-13,47.86,47.86,47.86,0.0,0.0,48.14,48.14,48.14,0.0,0.0,47.53,47.53,47.53,0.0,0.0,47.53,47.53,47.53,0.0,0.0
2016-03-20,47.81,47.81,47.81,0.0,0.0,47.81,47.81,47.81,0.0,0.0,47.81,47.81,47.81,0.0,0.0,47.81,47.81,47.81,0.0,0.0
2016-03-27,47.43,47.43,47.43,0.0,0.0,48.12,48.12,48.12,0.0,0.0,47.43,47.43,47.43,0.0,0.0,47.73,47.73,47.73,0.0,0.0
2016-04-03,47.1,47.1,47.1,0.0,0.0,47.52,47.52,47.52,0.0,0.0,47.1,47.1,47.1,0.0,0.0,47.52,47.52,47.52,0.0,0.0
2016-04-10,47.57,47.57,47.57,0.0,0.0,47.82,47.82,47.82,0.0,0.0,47.57,47.57,47.57,0.0,0.0,47.65,47.65,47.65,0.0,0.0
2016-04-17,48.14,48.14,48.14,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.14,48.14,48.14,0.0,0.0
2016-04-24,47.96,47.96,47.96,0.0,0.0,47.96,47.96,47.96,0.0,0.0,47.96,47.96,47.96,0.0,0.0,47.96,47.96,47.96,0.0,0.0
2016-05-01,47.93,47.93,47.93,0.0,0.0,47.93,47.93,47.93,0.0,0.0,47.93,47.93,47.93,0.0,0.0,47.93,47.93,47.93,0.0,0.0
