Date,Guggenheim Invest S&P 500 Equal Weight_etf_Open_average,Guggenheim Invest S&P 500 Equal Weight_etf_Open_max,Guggenheim Invest S&P 500 Equal Weight_etf_Open_min,Guggenheim Invest S&P 500 Equal Weight_etf_Open_volatility,Guggenheim Invest S&P 500 Equal Weight_etf_Open_change,Guggenheim Invest S&P 500 Equal Weight_etf_High_average,Guggenheim Invest S&P 500 Equal Weight_etf_High_max,Guggenheim Invest S&P 500 Equal Weight_etf_High_min,Guggenheim Invest S&P 500 Equal Weight_etf_High_volatility,Guggenheim Invest S&P 500 Equal Weight_etf_High_change,Guggenheim Invest S&P 500 Equal Weight_etf_Low_average,Guggenheim Invest S&P 500 Equal Weight_etf_Low_max,Guggenheim Invest S&P 500 Equal Weight_etf_Low_min,Guggenheim Invest S&P 500 Equal Weight_etf_Low_volatility,Guggenheim Invest S&P 500 Equal Weight_etf_Low_change,Guggenheim Invest S&P 500 Equal Weight_etf_Close_average,Guggenheim Invest S&P 500 Equal Weight_etf_Close_max,Guggenheim Invest S&P 500 Equal Weight_etf_Close_min,Guggenheim Invest S&P 500 Equal Weight_etf_Close_volatility,Guggenheim Invest S&P 500 Equal Weight_etf_Close_change
2016-01-03,73.24,73.24,73.24,0.0,0.0,73.47,73.47,73.47,0.0,0.0,71.92,71.92,71.92,0.0,0.0,72.0,72.0,72.0,0.0,0.0
2016-01-10,69.4,69.4,69.4,0.0,0.0,70.11,70.11,70.11,0.0,0.0,68.89,68.89,68.89,0.0,0.0,69.9,69.9,69.9,0.0,0.0
2016-01-17,70.59,70.59,70.59,0.0,0.0,71.24,71.24,71.24,0.0,0.0,70.33,70.33,70.33,0.0,0.0,70.95,70.95,70.95,0.0,0.0
2016-01-24,70.77,70.77,70.77,0.0,0.0,72.38,72.38,72.38,0.0,0.0,70.73,70.73,70.73,0.0,0.0,72.38,72.38,72.38,0.0,0.0
2016-01-31,71.71,71.71,71.71,0.0,0.0,71.73,71.73,71.73,0.0,0.0,70.51,70.51,70.51,0.0,0.0,70.73,70.73,70.73,0.0,0.0
2016-02-07,68.71,68.71,68.71,0.0,0.0,69.58,69.58,69.58,0.0,0.0,68.37,68.37,68.37,0.0,0.0,69.57,69.57,69.57,0.0,0.0
2016-02-14,71.7,71.7,71.7,0.0,0.0,71.93,71.93,71.93,0.0,0.0,71.26,71.26,71.26,0.0,0.0,71.9,71.9,71.9,0.0,0.0
2016-02-21,73.91,73.91,73.91,0.0,0.0,74.09,74.09,74.09,0.0,0.0,73.51,73.51,73.51,0.0,0.0,73.66,73.66,73.66,0.0,0.0
2016-02-28,76.09,76.09,76.09,0.0,0.0,76.84,76.84,76.84,0.0,0.0,75.8,75.8,75.8,0.0,0.0,76.41,76.41,76.41,0.0,0.0
2016-03-06,76.68,76.68,76.68,0.0,0.0,77.51,77.51,77.51,0.0,0.0,76.64,76.64,76.64,0.0,0.0,77.46,77.46,77.46,0.0,0.0
2016-03-13,78.16,78.16,78.16,0.0,0.0,78.53,78.53,78.53,0.0,0.0,78.1,78.1,78.1,0.0,0.0,78.32,78.32,78.32,0.0,0.0
2016-03-20,76.99,76.99,76.99,0.0,0.0,77.39,77.39,77.39,0.0,0.0,76.69,76.69,76.69,0.0,0.0,77.39,77.39,77.39,0.0,0.0
2016-03-27,78.08,78.08,78.08,0.0,0.0,78.91,78.91,78.91,0.0,0.0,77.7,77.7,77.7,0.0,0.0,78.84,78.84,78.84,0.0,0.0
2016-04-03,77.84,77.84,77.84,0.0,0.0,78.14,78.14,78.14,0.0,0.0,77.43,77.43,77.43,0.0,0.0,77.63,77.63,77.63,0.0,0.0
2016-04-10,79.16,79.16,79.16,0.0,0.0,79.26,79.26,79.26,0.0,0.0,78.93,78.93,78.93,0.0,0.0,79.19,79.19,79.19,0.0,0.0
2016-04-17,79.88,79.88,79.88,0.0,0.0,80.34,80.34,80.34,0.0,0.0,79.8,79.8,79.8,0.0,0.0,80.22,80.22,80.22,0.0,0.0
2016-04-24,79.78,79.78,79.78,0.0,0.0,79.83,79.83,79.83,0.0,0.0,78.84,78.84,78.84,0.0,0.0,79.51,79.51,79.51,0.0,0.0
2016-05-01,78.23,78.23,78.23,0.0,0.0,78.87,78.87,78.87,0.0,0.0,78.12,78.12,78.12,0.0,0.0,78.8,78.8,78.8,0.0,0.0
2016-05-08,78.71,78.71,78.71,0.0,0.0,79.01,79.01,79.01,0.0,0.0,78.01,78.01,78.01,0.0,0.0,78.16,78.16,78.16,0.0,0.0
2016-05-15,78.28,78.28,78.28,0.0,0.0,78.72,78.72,78.72,0.0,0.0,78.17,78.17,78.17,0.0,0.0,78.58,78.58,78.58,0.0,0.0
2016-05-22,80.16,80.16,80.16,0.0,0.0,80.56,80.56,80.56,0.0,0.0,80.16,80.16,80.16,0.0,0.0,80.56,80.56,80.56,0.0,0.0
2016-05-29,80.86,80.86,80.86,0.0,0.0,80.98,80.98,80.98,0.0,0.0,80.24,80.24,80.24,0.0,0.0,80.83,80.83,80.83,0.0,0.0
2016-06-05,81.12,81.12,81.12,0.0,0.0,81.12,81.12,81.12,0.0,0.0,80.34,80.34,80.34,0.0,0.0,80.61,80.61,80.61,0.0,0.0
2016-06-12,79.51,79.51,79.51,0.0,0.0,79.86,79.86,79.86,0.0,0.0,79.3,79.3,79.3,0.0,0.0,79.69,79.69,79.69,0.0,0.0
2016-06-19,78.72,78.72,78.72,0.0,0.0,79.69,79.69,79.69,0.0,0.0,78.01,78.01,78.01,0.0,0.0,78.18,78.18,78.18,0.0,0.0
2016-06-26,80.34,80.34,80.34,0.0,0.0,80.87,80.87,80.87,0.0,0.0,80.09,80.09,80.09,0.0,0.0,80.6,80.6,80.6,0.0,0.0
2016-07-03,80.72,80.72,80.72,0.0,0.0,81.71,81.71,81.71,0.0,0.0,80.72,80.72,80.72,0.0,0.0,81.6,81.6,81.6,0.0,0.0
