Date,iShares Emerging Markets Corporate BondEtf_Open_average,iShares Emerging Markets Corporate BondEtf_Open_max,iShares Emerging Markets Corporate BondEtf_Open_min,iShares Emerging Markets Corporate BondEtf_Open_volatility,iShares Emerging Markets Corporate BondEtf_Open_change,iShares Emerging Markets Corporate BondEtf_High_average,iShares Emerging Markets Corporate BondEtf_High_max,iShares Emerging Markets Corporate BondEtf_High_min,iShares Emerging Markets Corporate BondEtf_High_volatility,iShares Emerging Markets Corporate BondEtf_High_change,iShares Emerging Markets Corporate BondEtf_Low_average,iShares Emerging Markets Corporate BondEtf_Low_max,iShares Emerging Markets Corporate BondEtf_Low_min,iShares Emerging Markets Corporate BondEtf_Low_volatility,iShares Emerging Markets Corporate BondEtf_Low_change,iShares Emerging Markets Corporate BondEtf_Close_average,iShares Emerging Markets Corporate BondEtf_Close_max,iShares Emerging Markets Corporate BondEtf_Close_min,iShares Emerging Markets Corporate BondEtf_Close_volatility,iShares Emerging Markets Corporate BondEtf_Close_change
2016-01-03,46.16,46.16,46.16,0.0,0.0,46.74,46.74,46.74,0.0,0.0,46.16,46.16,46.16,0.0,0.0,46.16,46.16,46.16,0.0,0.0
2016-01-10,45.41,45.41,45.41,0.0,0.0,45.55,45.55,45.55,0.0,0.0,45.31,45.31,45.31,0.0,0.0,45.35,45.35,45.35,0.0,0.0
2016-01-17,45.58,45.58,45.58,0.0,0.0,45.62,45.62,45.62,0.0,0.0,45.49,45.49,45.49,0.0,0.0,45.49,45.49,45.49,0.0,0.0
2016-01-24,46.09,46.09,46.09,0.0,0.0,46.09,46.09,46.09,0.0,0.0,45.9,45.9,45.9,0.0,0.0,45.9,45.9,45.9,0.0,0.0
2016-01-31,45.88,45.88,45.88,0.0,0.0,45.92,45.92,45.92,0.0,0.0,45.83,45.83,45.83,0.0,0.0,45.92,45.92,45.92,0.0,0.0
2016-02-07,45.83,45.83,45.83,0.0,0.0,45.87,45.87,45.87,0.0,0.0,45.66,45.66,45.66,0.0,0.0,45.75,45.75,45.75,0.0,0.0
2016-02-14,45.98,45.98,45.98,0.0,0.0,46.05,46.05,46.05,0.0,0.0,45.93,45.93,45.93,0.0,0.0,45.93,45.93,45.93,0.0,0.0
2016-02-21,46.45,46.45,46.45,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.16,46.16,46.16,0.0,0.0,46.19,46.19,46.19,0.0,0.0
2016-02-28,47.29,47.29,47.29,0.0,0.0,47.39,47.39,47.39,0.0,0.0,47.13,47.13,47.13,0.0,0.0,47.35,47.35,47.35,0.0,0.0
2016-03-06,47.69,47.69,47.69,0.0,0.0,47.84,47.84,47.84,0.0,0.0,47.69,47.69,47.69,0.0,0.0,47.77,47.77,47.77,0.0,0.0
