Date,Sprott Physical SilverEtf_Open_average,Sprott Physical SilverEtf_Open_max,Sprott Physical SilverEtf_Open_min,Sprott Physical SilverEtf_Open_volatility,Sprott Physical SilverEtf_Open_change,Sprott Physical SilverEtf_High_average,Sprott Physical SilverEtf_High_max,Sprott Physical SilverEtf_High_min,Sprott Physical SilverEtf_High_volatility,Sprott Physical SilverEtf_High_change,Sprott Physical SilverEtf_Low_average,Sprott Physical SilverEtf_Low_max,Sprott Physical SilverEtf_Low_min,Sprott Physical SilverEtf_Low_volatility,Sprott Physical SilverEtf_Low_change,Sprott Physical SilverEtf_Close_average,Sprott Physical SilverEtf_Close_max,Sprott Physical SilverEtf_Close_min,Sprott Physical SilverEtf_Close_volatility,Sprott Physical SilverEtf_Close_change
2016-01-03,5.38,5.38,5.38,0.0,0.0,5.4,5.4,5.4,0.0,0.0,5.33,5.33,5.33,0.0,0.0,5.35,5.35,5.35,0.0,0.0
2016-01-10,5.37,5.37,5.37,0.0,0.0,5.39,5.39,5.39,0.0,0.0,5.31,5.31,5.31,0.0,0.0,5.33,5.33,5.33,0.0,0.0
2016-01-17,5.43,5.43,5.43,0.0,0.0,5.47,5.47,5.47,0.0,0.0,5.34,5.34,5.34,0.0,0.0,5.36,5.36,5.36,0.0,0.0
2016-01-24,5.45,5.45,5.45,0.0,0.0,5.5,5.5,5.5,0.0,0.0,5.44,5.44,5.44,0.0,0.0,5.47,5.47,5.47,0.0,0.0
2016-01-31,5.63,5.63,5.63,0.0,0.0,5.8,5.8,5.8,0.0,0.0,5.63,5.63,5.63,0.0,0.0,5.8,5.8,5.8,0.0,0.0
2016-02-07,6.15,6.15,6.15,0.0,0.0,6.18,6.18,6.18,0.0,0.0,6.12,6.12,6.12,0.0,0.0,6.17,6.17,6.17,0.0,0.0
2016-02-14,6.04,6.04,6.04,0.0,0.0,6.07,6.07,6.07,0.0,0.0,6.02,6.02,6.02,0.0,0.0,6.04,6.04,6.04,0.0,0.0
2016-02-21,5.92,5.92,5.92,0.0,0.0,5.92,5.92,5.92,0.0,0.0,5.76,5.76,5.76,0.0,0.0,5.78,5.78,5.78,0.0,0.0
2016-02-28,6.09,6.09,6.09,0.0,0.0,6.26,6.26,6.26,0.0,0.0,6.09,6.09,6.09,0.0,0.0,6.16,6.16,6.16,0.0,0.0
2016-03-06,6.26,6.26,6.26,0.0,0.0,6.26,6.26,6.26,0.0,0.0,6.16,6.16,6.16,0.0,0.0,6.17,6.17,6.17,0.0,0.0
