Date,iShares MSCI Turkey_etf_Open_average,iShares MSCI Turkey_etf_Open_max,iShares MSCI Turkey_etf_Open_min,iShares MSCI Turkey_etf_Open_volatility,iShares MSCI Turkey_etf_Open_change,iShares MSCI Turkey_etf_High_average,iShares MSCI Turkey_etf_High_max,iShares MSCI Turkey_etf_High_min,iShares MSCI Turkey_etf_High_volatility,iShares MSCI Turkey_etf_High_change,iShares MSCI Turkey_etf_Low_average,iShares MSCI Turkey_etf_Low_max,iShares MSCI Turkey_etf_Low_min,iShares MSCI Turkey_etf_Low_volatility,iShares MSCI Turkey_etf_Low_change,iShares MSCI Turkey_etf_Close_average,iShares MSCI Turkey_etf_Close_max,iShares MSCI Turkey_etf_Close_min,iShares MSCI Turkey_etf_Close_volatility,iShares MSCI Turkey_etf_Close_change
2016-01-03,35.17,35.17,35.17,0.0,0.0,35.21,35.21,35.21,0.0,0.0,34.03,34.03,34.03,0.0,0.0,34.05,34.05,34.05,0.0,0.0
2016-01-10,34.43,34.43,34.43,0.0,0.0,34.69,34.69,34.69,0.0,0.0,33.95,33.95,33.95,0.0,0.0,34.33,34.33,34.33,0.0,0.0
2016-01-17,34.52,34.52,34.52,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.73,34.73,34.73,0.0,0.0
2016-01-24,36.63,36.63,36.63,0.0,0.0,37.23,37.23,37.23,0.0,0.0,36.51,36.51,36.51,0.0,0.0,37.19,37.19,37.19,0.0,0.0
2016-01-31,37.64,37.64,37.64,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.29,37.29,37.29,0.0,0.0,37.42,37.42,37.42,0.0,0.0
2016-02-07,36.05,36.05,36.05,0.0,0.0,36.12,36.12,36.12,0.0,0.0,35.74,35.74,35.74,0.0,0.0,36.08,36.08,36.08,0.0,0.0
2016-02-14,36.38,36.38,36.38,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.61,36.61,36.61,0.0,0.0
2016-02-21,37.69,37.69,37.69,0.0,0.0,37.78,37.78,37.78,0.0,0.0,36.56,36.56,36.56,0.0,0.0,36.71,36.71,36.71,0.0,0.0
2016-02-28,38.96,38.96,38.96,0.0,0.0,39.98,39.98,39.98,0.0,0.0,38.89,38.89,38.89,0.0,0.0,39.77,39.77,39.77,0.0,0.0
2016-03-06,40.89,40.89,40.89,0.0,0.0,41.52,41.52,41.52,0.0,0.0,40.71,40.71,40.71,0.0,0.0,41.42,41.42,41.42,0.0,0.0
2016-03-13,42.58,42.58,42.58,0.0,0.0,43.33,43.33,43.33,0.0,0.0,42.58,42.58,42.58,0.0,0.0,43.14,43.14,43.14,0.0,0.0
2016-03-20,41.65,41.65,41.65,0.0,0.0,42.34,42.34,42.34,0.0,0.0,41.46,41.46,41.46,0.0,0.0,42.26,42.26,42.26,0.0,0.0
2016-03-27,43.23,43.23,43.23,0.0,0.0,43.91,43.91,43.91,0.0,0.0,42.99,42.99,42.99,0.0,0.0,43.7,43.7,43.7,0.0,0.0
2016-04-03,43.32,43.32,43.32,0.0,0.0,43.49,43.49,43.49,0.0,0.0,43.05,43.05,43.05,0.0,0.0,43.16,43.16,43.16,0.0,0.0
2016-04-10,44.88,44.88,44.88,0.0,0.0,45.29,45.29,45.29,0.0,0.0,44.84,44.84,44.84,0.0,0.0,45.02,45.02,45.02,0.0,0.0
2016-04-17,45.44,45.44,45.44,0.0,0.0,45.71,45.71,45.71,0.0,0.0,45.09,45.09,45.09,0.0,0.0,45.14,45.14,45.14,0.0,0.0
2016-04-24,45.99,45.99,45.99,0.0,0.0,46.04,46.04,46.04,0.0,0.0,45.58,45.58,45.58,0.0,0.0,45.96,45.96,45.96,0.0,0.0
2016-05-01,40.13,40.13,40.13,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.01,40.01,40.01,0.0,0.0,40.31,40.31,40.31,0.0,0.0
2016-05-08,39.69,39.69,39.69,0.0,0.0,39.78,39.78,39.78,0.0,0.0,38.94,38.94,38.94,0.0,0.0,39.03,39.03,39.03,0.0,0.0
2016-05-15,38.8,38.8,38.8,0.0,0.0,38.85,38.85,38.85,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.5,38.5,38.5,0.0,0.0
2016-05-22,39.92,39.92,39.92,0.0,0.0,40.01,40.01,40.01,0.0,0.0,39.51,39.51,39.51,0.0,0.0,39.64,39.64,39.64,0.0,0.0
2016-05-29,40.63,40.63,40.63,0.0,0.0,40.94,40.94,40.94,0.0,0.0,40.34,40.34,40.34,0.0,0.0,40.89,40.89,40.89,0.0,0.0
2016-06-05,40.06,40.06,40.06,0.0,0.0,40.06,40.06,40.06,0.0,0.0,39.34,39.34,39.34,0.0,0.0,39.5,39.5,39.5,0.0,0.0
2016-06-12,39.08,39.08,39.08,0.0,0.0,39.15,39.15,39.15,0.0,0.0,38.76,38.76,38.76,0.0,0.0,39.14,39.14,39.14,0.0,0.0
2016-06-19,37.91,37.91,37.91,0.0,0.0,38.27,38.27,38.27,0.0,0.0,37.64,37.64,37.64,0.0,0.0,37.69,37.69,37.69,0.0,0.0
2016-06-26,39.99,39.99,39.99,0.0,0.0,40.14,40.14,40.14,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.76,39.76,39.76,0.0,0.0
2016-07-03,39.73,39.73,39.73,0.0,0.0,40.36,40.36,40.36,0.0,0.0,39.52,39.52,39.52,0.0,0.0,40.23,40.23,40.23,0.0,0.0
2016-07-10,42.46,42.46,42.46,0.0,0.0,42.61,42.61,42.61,0.0,0.0,40.93,40.93,40.93,0.0,0.0,41.6,41.6,41.6,0.0,0.0
2016-07-17,35.2,35.2,35.2,0.0,0.0,35.25,35.25,35.25,0.0,0.0,34.75,34.75,34.75,0.0,0.0,35.2,35.2,35.2,0.0,0.0
2016-07-24,37.4,37.4,37.4,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.16,37.16,37.16,0.0,0.0,37.85,37.85,37.85,0.0,0.0
2016-07-31,37.34,37.34,37.34,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.24,37.24,37.24,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2016-08-07,39.53,39.53,39.53,0.0,0.0,39.69,39.69,39.69,0.0,0.0,39.32,39.32,39.32,0.0,0.0,39.44,39.44,39.44,0.0,0.0
2016-08-14,39.34,39.34,39.34,0.0,0.0,39.76,39.76,39.76,0.0,0.0,39.25,39.25,39.25,0.0,0.0,39.69,39.69,39.69,0.0,0.0
2016-08-21,38.63,38.63,38.63,0.0,0.0,39.25,39.25,39.25,0.0,0.0,38.17,38.17,38.17,0.0,0.0,38.48,38.48,38.48,0.0,0.0
2016-08-28,38.59,38.59,38.59,0.0,0.0,38.88,38.88,38.88,0.0,0.0,38.51,38.51,38.51,0.0,0.0,38.85,38.85,38.85,0.0,0.0
