Date,iShares 1-3 Year International Treasury Bond_etf_Open_average,iShares 1-3 Year International Treasury Bond_etf_Open_max,iShares 1-3 Year International Treasury Bond_etf_Open_min,iShares 1-3 Year International Treasury Bond_etf_Open_volatility,iShares 1-3 Year International Treasury Bond_etf_Open_change,iShares 1-3 Year International Treasury Bond_etf_High_average,iShares 1-3 Year International Treasury Bond_etf_High_max,iShares 1-3 Year International Treasury Bond_etf_High_min,iShares 1-3 Year International Treasury Bond_etf_High_volatility,iShares 1-3 Year International Treasury Bond_etf_High_change,iShares 1-3 Year International Treasury Bond_etf_Low_average,iShares 1-3 Year International Treasury Bond_etf_Low_max,iShares 1-3 Year International Treasury Bond_etf_Low_min,iShares 1-3 Year International Treasury Bond_etf_Low_volatility,iShares 1-3 Year International Treasury Bond_etf_Low_change,iShares 1-3 Year International Treasury Bond_etf_Close_average,iShares 1-3 Year International Treasury Bond_etf_Close_max,iShares 1-3 Year International Treasury Bond_etf_Close_min,iShares 1-3 Year International Treasury Bond_etf_Close_volatility,iShares 1-3 Year International Treasury Bond_etf_Close_change
2016-01-03,78.1,78.1,78.1,0.0,0.0,78.23,78.23,78.23,0.0,0.0,77.98,77.98,77.98,0.0,0.0,78.2,78.2,78.2,0.0,0.0
2016-01-10,78.4,78.4,78.4,0.0,0.0,78.48,78.48,78.48,0.0,0.0,78.18,78.18,78.18,0.0,0.0,78.22,78.22,78.22,0.0,0.0
2016-01-17,77.64,77.64,77.64,0.0,0.0,77.75,77.75,77.75,0.0,0.0,77.46,77.46,77.46,0.0,0.0,77.55,77.55,77.55,0.0,0.0
2016-01-24,77.57,77.57,77.57,0.0,0.0,77.57,77.57,77.57,0.0,0.0,77.29,77.29,77.29,0.0,0.0,77.37,77.37,77.37,0.0,0.0
2016-01-31,79.53,79.53,79.53,0.0,0.0,79.61,79.61,79.61,0.0,0.0,79.43,79.43,79.43,0.0,0.0,79.53,79.53,79.53,0.0,0.0
2016-02-07,80.61,80.61,80.61,0.0,0.0,80.72,80.72,80.72,0.0,0.0,80.5,80.5,80.5,0.0,0.0,80.61,80.61,80.61,0.0,0.0
2016-02-14,80.02,80.02,80.02,0.0,0.0,80.26,80.26,80.26,0.0,0.0,80.02,80.02,80.02,0.0,0.0,80.11,80.11,80.11,0.0,0.0
2016-02-21,79.39,79.39,79.39,0.0,0.0,79.39,79.39,79.39,0.0,0.0,78.94,78.94,78.94,0.0,0.0,79.04,79.04,79.04,0.0,0.0
2016-02-28,79.81,79.81,79.81,0.0,0.0,79.81,79.81,79.81,0.0,0.0,79.55,79.55,79.55,0.0,0.0,79.64,79.64,79.64,0.0,0.0
2016-03-06,80.37,80.37,80.37,0.0,0.0,80.62,80.62,80.62,0.0,0.0,80.37,80.37,80.37,0.0,0.0,80.55,80.55,80.55,0.0,0.0
