Date,ProShares UltraShort 20+ Year Treasury_etf_Open_average,ProShares UltraShort 20+ Year Treasury_etf_Open_max,ProShares UltraShort 20+ Year Treasury_etf_Open_min,ProShares UltraShort 20+ Year Treasury_etf_Open_volatility,ProShares UltraShort 20+ Year Treasury_etf_Open_change,ProShares UltraShort 20+ Year Treasury_etf_High_average,ProShares UltraShort 20+ Year Treasury_etf_High_max,ProShares UltraShort 20+ Year Treasury_etf_High_min,ProShares UltraShort 20+ Year Treasury_etf_High_volatility,ProShares UltraShort 20+ Year Treasury_etf_High_change,ProShares UltraShort 20+ Year Treasury_etf_Low_average,ProShares UltraShort 20+ Year Treasury_etf_Low_max,ProShares UltraShort 20+ Year Treasury_etf_Low_min,ProShares UltraShort 20+ Year Treasury_etf_Low_volatility,ProShares UltraShort 20+ Year Treasury_etf_Low_change,ProShares UltraShort 20+ Year Treasury_etf_Close_average,ProShares UltraShort 20+ Year Treasury_etf_Close_max,ProShares UltraShort 20+ Year Treasury_etf_Close_min,ProShares UltraShort 20+ Year Treasury_etf_Close_volatility,ProShares UltraShort 20+ Year Treasury_etf_Close_change
2016-01-03,42.75,42.75,42.75,0.0,0.0,42.87,42.87,42.87,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.09,42.09,42.09,0.0,0.0
2016-01-10,40.6,40.6,40.6,0.0,0.0,40.87,40.87,40.87,0.0,0.0,40.28,40.28,40.28,0.0,0.0,40.39,40.39,40.39,0.0,0.0
2016-01-17,40.93,40.93,40.93,0.0,0.0,41.17,41.17,41.17,0.0,0.0,40.53,40.53,40.53,0.0,0.0,40.66,40.66,40.66,0.0,0.0
2016-01-24,39.32,39.32,39.32,0.0,0.0,39.63,39.63,39.63,0.0,0.0,39.03,39.03,39.03,0.0,0.0,39.42,39.42,39.42,0.0,0.0
2016-01-31,38.84,38.84,38.84,0.0,0.0,39.01,39.01,39.01,0.0,0.0,38.17,38.17,38.17,0.0,0.0,38.32,38.32,38.32,0.0,0.0
2016-02-07,36.02,36.02,36.02,0.0,0.0,36.94,36.94,36.94,0.0,0.0,35.76,35.76,35.76,0.0,0.0,36.61,36.61,36.61,0.0,0.0
2016-02-14,36.91,36.91,36.91,0.0,0.0,37.04,37.04,37.04,0.0,0.0,36.43,36.43,36.43,0.0,0.0,36.89,36.89,36.89,0.0,0.0
2016-02-21,37.25,37.25,37.25,0.0,0.0,37.4,37.4,37.4,0.0,0.0,36.98,36.98,36.98,0.0,0.0,37.16,37.16,37.16,0.0,0.0
2016-02-28,37.97,37.97,37.97,0.0,0.0,38.56,38.56,38.56,0.0,0.0,37.75,37.75,37.75,0.0,0.0,38.06,38.06,38.06,0.0,0.0
2016-03-06,37.9,37.9,37.9,0.0,0.0,38.85,38.85,38.85,0.0,0.0,37.87,37.87,37.87,0.0,0.0,38.78,38.78,38.78,0.0,0.0
