Date,ProShares UltraShort FTSE China 50_etf_Open_average,ProShares UltraShort FTSE China 50_etf_Open_max,ProShares UltraShort FTSE China 50_etf_Open_min,ProShares UltraShort FTSE China 50_etf_Open_volatility,ProShares UltraShort FTSE China 50_etf_Open_change,ProShares UltraShort FTSE China 50_etf_High_average,ProShares UltraShort FTSE China 50_etf_High_max,ProShares UltraShort FTSE China 50_etf_High_min,ProShares UltraShort FTSE China 50_etf_High_volatility,ProShares UltraShort FTSE China 50_etf_High_change,ProShares UltraShort FTSE China 50_etf_Low_average,ProShares UltraShort FTSE China 50_etf_Low_max,ProShares UltraShort FTSE China 50_etf_Low_min,ProShares UltraShort FTSE China 50_etf_Low_volatility,ProShares UltraShort FTSE China 50_etf_Low_change,ProShares UltraShort FTSE China 50_etf_Close_average,ProShares UltraShort FTSE China 50_etf_Close_max,ProShares UltraShort FTSE China 50_etf_Close_min,ProShares UltraShort FTSE China 50_etf_Close_volatility,ProShares UltraShort FTSE China 50_etf_Close_change
2016-01-03,199.32,199.32,199.32,0.0,0.0,207.61,207.61,207.61,0.0,0.0,198.64,198.64,198.64,0.0,0.0,207.36,207.36,207.36,0.0,0.0
2016-01-10,233.44,233.44,233.44,0.0,0.0,238.04,238.04,238.04,0.0,0.0,229.44,229.44,229.44,0.0,0.0,231.28,231.28,231.28,0.0,0.0
2016-01-17,217.4,217.4,217.4,0.0,0.0,220.8,220.8,220.8,0.0,0.0,215.52,215.52,215.52,0.0,0.0,215.72,215.72,215.72,0.0,0.0
2016-01-24,212.36,212.36,212.36,0.0,0.0,213.56,213.56,213.56,0.0,0.0,207.12,207.12,207.12,0.0,0.0,207.48,207.48,207.48,0.0,0.0
2016-01-31,220.2,220.2,220.2,0.0,0.0,229.2,229.2,229.2,0.0,0.0,220.0,220.0,220.0,0.0,0.0,227.0,227.0,227.0,0.0,0.0
2016-02-07,244.88,244.88,244.88,0.0,0.0,247.12,247.12,247.12,0.0,0.0,236.16,236.16,236.16,0.0,0.0,236.48,236.48,236.48,0.0,0.0
2016-02-14,213.8,213.8,213.8,0.0,0.0,216.04,216.04,216.04,0.0,0.0,211.8,211.8,211.8,0.0,0.0,213.8,213.8,213.8,0.0,0.0
2016-02-21,208.8,208.8,208.8,0.0,0.0,213.92,213.92,213.92,0.0,0.0,208.8,208.8,208.8,0.0,0.0,213.8,213.8,213.8,0.0,0.0
2016-02-28,186.8,186.8,186.8,0.0,0.0,188.28,188.28,188.28,0.0,0.0,178.76,178.76,178.76,0.0,0.0,180.28,180.28,180.28,0.0,0.0
2016-03-06,185.16,185.16,185.16,0.0,0.0,185.28,185.28,185.28,0.0,0.0,180.21,180.21,180.21,0.0,0.0,180.28,180.28,180.28,0.0,0.0
2016-03-13,171.16,171.16,171.16,0.0,0.0,171.84,171.84,171.84,0.0,0.0,169.28,169.28,169.28,0.0,0.0,171.6,171.6,171.6,0.0,0.0
2016-03-20,183.88,183.88,183.88,0.0,0.0,185.0,185.0,185.0,0.0,0.0,181.04,181.04,181.04,0.0,0.0,181.16,181.16,181.16,0.0,0.0
2016-03-27,177.84,177.84,177.84,0.0,0.0,178.97,178.97,178.97,0.0,0.0,170.76,170.76,170.76,0.0,0.0,171.56,171.56,171.56,0.0,0.0
2016-04-03,176.08,176.08,176.08,0.0,0.0,179.76,179.76,179.76,0.0,0.0,175.6,175.6,175.6,0.0,0.0,179.0,179.0,179.0,0.0,0.0
2016-04-10,159.12,159.12,159.12,0.0,0.0,161.16,161.16,161.16,0.0,0.0,158.76,158.76,158.76,0.0,0.0,160.68,160.68,160.68,0.0,0.0
2016-04-17,161.68,161.68,161.68,0.0,0.0,163.04,163.04,163.04,0.0,0.0,158.79,158.79,158.79,0.0,0.0,162.04,162.04,162.04,0.0,0.0
2016-04-24,168.16,168.16,168.16,0.0,0.0,171.6,171.6,171.6,0.0,0.0,167.27,167.27,167.27,0.0,0.0,169.48,169.48,169.48,0.0,0.0
2016-05-01,186.24,186.24,186.24,0.0,0.0,186.4,186.4,186.4,0.0,0.0,182.56,182.56,182.56,0.0,0.0,184.28,184.28,184.28,0.0,0.0
2016-05-08,190.56,190.56,190.56,0.0,0.0,196.2,196.2,196.2,0.0,0.0,189.4,189.4,189.4,0.0,0.0,194.32,194.32,194.32,0.0,0.0
2016-05-15,189.08,189.08,189.08,0.0,0.0,189.3,189.3,189.3,0.0,0.0,187.16,187.16,187.16,0.0,0.0,188.72,188.72,188.72,0.0,0.0
2016-05-22,173.6,173.6,173.6,0.0,0.0,176.72,176.72,176.72,0.0,0.0,173.12,173.12,173.12,0.0,0.0,174.68,174.68,174.68,0.0,0.0
