Date,Invesco Shipping ETFEtf_Open_average,Invesco Shipping ETFEtf_Open_max,Invesco Shipping ETFEtf_Open_min,Invesco Shipping ETFEtf_Open_volatility,Invesco Shipping ETFEtf_Open_change,Invesco Shipping ETFEtf_High_average,Invesco Shipping ETFEtf_High_max,Invesco Shipping ETFEtf_High_min,Invesco Shipping ETFEtf_High_volatility,Invesco Shipping ETFEtf_High_change,Invesco Shipping ETFEtf_Low_average,Invesco Shipping ETFEtf_Low_max,Invesco Shipping ETFEtf_Low_min,Invesco Shipping ETFEtf_Low_volatility,Invesco Shipping ETFEtf_Low_change,Invesco Shipping ETFEtf_Close_average,Invesco Shipping ETFEtf_Close_max,Invesco Shipping ETFEtf_Close_min,Invesco Shipping ETFEtf_Close_volatility,Invesco Shipping ETFEtf_Close_change
2016-01-03,11.47,11.47,11.47,0.0,0.0,11.47,11.47,11.47,0.0,0.0,11.23,11.23,11.23,0.0,0.0,11.25,11.25,11.25,0.0,0.0
2016-01-10,10.3,10.3,10.3,0.0,0.0,10.3,10.3,10.3,0.0,0.0,10.12,10.12,10.12,0.0,0.0,10.27,10.27,10.27,0.0,0.0
2016-01-17,10.54,10.54,10.54,0.0,0.0,10.93,10.93,10.93,0.0,0.0,10.54,10.54,10.54,0.0,0.0,10.88,10.88,10.88,0.0,0.0
2016-01-24,11.25,11.25,11.25,0.0,0.0,11.35,11.35,11.35,0.0,0.0,11.16,11.16,11.16,0.0,0.0,11.33,11.33,11.33,0.0,0.0
2016-01-31,11.01,11.01,11.01,0.0,0.0,11.11,11.11,11.11,0.0,0.0,10.94,10.94,10.94,0.0,0.0,10.95,10.95,10.95,0.0,0.0
2016-02-07,9.91,9.91,9.91,0.0,0.0,10.18,10.18,10.18,0.0,0.0,9.9,9.9,9.9,0.0,0.0,10.16,10.16,10.16,0.0,0.0
2016-02-14,10.73,10.73,10.73,0.0,0.0,10.73,10.73,10.73,0.0,0.0,10.49,10.49,10.49,0.0,0.0,10.63,10.63,10.63,0.0,0.0
2016-02-21,10.76,10.76,10.76,0.0,0.0,10.85,10.85,10.85,0.0,0.0,10.74,10.74,10.74,0.0,0.0,10.77,10.77,10.77,0.0,0.0
2016-02-28,11.76,11.76,11.76,0.0,0.0,12.0,12.0,12.0,0.0,0.0,11.71,11.71,11.71,0.0,0.0,11.87,11.87,11.87,0.0,0.0
2016-03-06,11.69,11.69,11.69,0.0,0.0,11.79,11.79,11.79,0.0,0.0,11.65,11.65,11.65,0.0,0.0,11.79,11.79,11.79,0.0,0.0
2016-03-13,12.35,12.35,12.35,0.0,0.0,12.39,12.39,12.39,0.0,0.0,12.13,12.13,12.13,0.0,0.0,12.23,12.23,12.23,0.0,0.0
2016-03-20,11.36,11.36,11.36,0.0,0.0,11.5,11.5,11.5,0.0,0.0,11.18,11.18,11.18,0.0,0.0,11.47,11.47,11.47,0.0,0.0
2016-03-27,11.42,11.42,11.42,0.0,0.0,11.42,11.42,11.42,0.0,0.0,11.29,11.29,11.29,0.0,0.0,11.35,11.35,11.35,0.0,0.0
2016-04-03,11.33,11.33,11.33,0.0,0.0,11.55,11.55,11.55,0.0,0.0,11.33,11.33,11.33,0.0,0.0,11.49,11.49,11.49,0.0,0.0
2016-04-10,12.34,12.34,12.34,0.0,0.0,12.37,12.37,12.37,0.0,0.0,12.29,12.29,12.29,0.0,0.0,12.31,12.31,12.31,0.0,0.0
2016-04-17,12.95,12.95,12.95,0.0,0.0,13.12,13.12,13.12,0.0,0.0,12.95,12.95,12.95,0.0,0.0,13.06,13.06,13.06,0.0,0.0
2016-04-24,12.42,12.42,12.42,0.0,0.0,12.53,12.53,12.53,0.0,0.0,12.27,12.27,12.27,0.0,0.0,12.36,12.36,12.36,0.0,0.0
2016-05-01,11.7,11.7,11.7,0.0,0.0,11.9,11.9,11.9,0.0,0.0,11.7,11.7,11.7,0.0,0.0,11.79,11.79,11.79,0.0,0.0
2016-05-08,11.64,11.64,11.64,0.0,0.0,11.64,11.64,11.64,0.0,0.0,11.41,11.41,11.41,0.0,0.0,11.42,11.42,11.42,0.0,0.0
2016-05-15,11.67,11.67,11.67,0.0,0.0,11.74,11.74,11.74,0.0,0.0,11.63,11.63,11.63,0.0,0.0,11.72,11.72,11.72,0.0,0.0
2016-05-22,11.7,11.7,11.7,0.0,0.0,11.81,11.81,11.81,0.0,0.0,11.67,11.67,11.67,0.0,0.0,11.81,11.81,11.81,0.0,0.0
2016-05-29,12.03,12.03,12.03,0.0,0.0,12.03,12.03,12.03,0.0,0.0,11.89,11.89,11.89,0.0,0.0,11.97,11.97,11.97,0.0,0.0
2016-06-05,11.98,11.98,11.98,0.0,0.0,11.98,11.98,11.98,0.0,0.0,11.66,11.66,11.66,0.0,0.0,11.72,11.72,11.72,0.0,0.0
2016-06-12,11.01,11.01,11.01,0.0,0.0,11.27,11.27,11.27,0.0,0.0,11.01,11.01,11.01,0.0,0.0,11.16,11.16,11.16,0.0,0.0
2016-06-19,10.99,10.99,10.99,0.0,0.0,11.12,11.12,11.12,0.0,0.0,10.9,10.9,10.9,0.0,0.0,11.0,11.0,11.0,0.0,0.0
2016-06-26,10.99,10.99,10.99,0.0,0.0,11.1,11.1,11.1,0.0,0.0,10.97,10.97,10.97,0.0,0.0,11.07,11.07,11.07,0.0,0.0
2016-07-03,10.57,10.57,10.57,0.0,0.0,10.81,10.81,10.81,0.0,0.0,10.57,10.57,10.57,0.0,0.0,10.79,10.79,10.79,0.0,0.0
2016-07-10,11.14,11.14,11.14,0.0,0.0,11.14,11.14,11.14,0.0,0.0,11.04,11.04,11.04,0.0,0.0,11.12,11.12,11.12,0.0,0.0
2016-07-17,11.21,11.21,11.21,0.0,0.0,11.21,11.21,11.21,0.0,0.0,11.12,11.12,11.12,0.0,0.0,11.18,11.18,11.18,0.0,0.0
2016-07-24,11.1,11.1,11.1,0.0,0.0,11.27,11.27,11.27,0.0,0.0,11.1,11.1,11.1,0.0,0.0,11.25,11.25,11.25,0.0,0.0
2016-07-31,11.0,11.0,11.0,0.0,0.0,11.16,11.16,11.16,0.0,0.0,10.99,10.99,10.99,0.0,0.0,11.14,11.14,11.14,0.0,0.0
2016-08-07,11.41,11.41,11.41,0.0,0.0,11.48,11.48,11.48,0.0,0.0,11.37,11.37,11.37,0.0,0.0,11.41,11.41,11.41,0.0,0.0
2016-08-14,11.64,11.64,11.64,0.0,0.0,11.64,11.64,11.64,0.0,0.0,11.48,11.48,11.48,0.0,0.0,11.52,11.52,11.52,0.0,0.0
2016-08-21,11.3,11.3,11.3,0.0,0.0,11.43,11.43,11.43,0.0,0.0,11.2,11.2,11.2,0.0,0.0,11.23,11.23,11.23,0.0,0.0
2016-08-28,11.43,11.43,11.43,0.0,0.0,11.55,11.55,11.55,0.0,0.0,11.43,11.43,11.43,0.0,0.0,11.54,11.54,11.54,0.0,0.0
2016-09-04,11.96,11.96,11.96,0.0,0.0,11.98,11.98,11.98,0.0,0.0,11.71,11.71,11.71,0.0,0.0,11.76,11.76,11.76,0.0,0.0
2016-09-11,11.3,11.3,11.3,0.0,0.0,11.31,11.31,11.31,0.0,0.0,11.27,11.27,11.27,0.0,0.0,11.3,11.3,11.3,0.0,0.0
