Date,iShares MSCI All Country Asia ex JapanEtf_Open_average,iShares MSCI All Country Asia ex JapanEtf_Open_max,iShares MSCI All Country Asia ex JapanEtf_Open_min,iShares MSCI All Country Asia ex JapanEtf_Open_volatility,iShares MSCI All Country Asia ex JapanEtf_Open_change,iShares MSCI All Country Asia ex JapanEtf_High_average,iShares MSCI All Country Asia ex JapanEtf_High_max,iShares MSCI All Country Asia ex JapanEtf_High_min,iShares MSCI All Country Asia ex JapanEtf_High_volatility,iShares MSCI All Country Asia ex JapanEtf_High_change,iShares MSCI All Country Asia ex JapanEtf_Low_average,iShares MSCI All Country Asia ex JapanEtf_Low_max,iShares MSCI All Country Asia ex JapanEtf_Low_min,iShares MSCI All Country Asia ex JapanEtf_Low_volatility,iShares MSCI All Country Asia ex JapanEtf_Low_change,iShares MSCI All Country Asia ex JapanEtf_Close_average,iShares MSCI All Country Asia ex JapanEtf_Close_max,iShares MSCI All Country Asia ex JapanEtf_Close_min,iShares MSCI All Country Asia ex JapanEtf_Close_volatility,iShares MSCI All Country Asia ex JapanEtf_Close_change
2016-01-03,49.97,49.97,49.97,0.0,0.0,49.97,49.97,49.97,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.11,49.11,49.11,0.0,0.0
2016-01-10,47.55,47.55,47.55,0.0,0.0,47.66,47.66,47.66,0.0,0.0,46.83,46.83,46.83,0.0,0.0,47.37,47.37,47.37,0.0,0.0
2016-01-17,48.56,48.56,48.56,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.27,48.27,48.27,0.0,0.0,48.61,48.61,48.61,0.0,0.0
2016-01-24,49.18,49.18,49.18,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.75,49.75,49.75,0.0,0.0
2016-01-31,49.09,49.09,49.09,0.0,0.0,49.23,49.23,49.23,0.0,0.0,48.46,48.46,48.46,0.0,0.0,48.65,48.65,48.65,0.0,0.0
2016-02-07,47.36,47.36,47.36,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.16,47.16,47.16,0.0,0.0,47.79,47.79,47.79,0.0,0.0
2016-02-14,49.11,49.11,49.11,0.0,0.0,49.39,49.39,49.39,0.0,0.0,48.96,48.96,48.96,0.0,0.0,49.15,49.15,49.15,0.0,0.0
2016-02-21,49.1,49.1,49.1,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2016-02-28,52.21,52.21,52.21,0.0,0.0,53.04,53.04,53.04,0.0,0.0,52.12,52.12,52.12,0.0,0.0,52.91,52.91,52.91,0.0,0.0
2016-03-06,52.62,52.62,52.62,0.0,0.0,53.11,53.11,53.11,0.0,0.0,52.51,52.51,52.51,0.0,0.0,53.08,53.08,53.08,0.0,0.0
2016-03-13,54.18,54.18,54.18,0.0,0.0,54.52,54.52,54.52,0.0,0.0,54.18,54.18,54.18,0.0,0.0,54.32,54.32,54.32,0.0,0.0
2016-03-20,53.13,53.13,53.13,0.0,0.0,53.46,53.46,53.46,0.0,0.0,53.01,53.01,53.01,0.0,0.0,53.46,53.46,53.46,0.0,0.0
2016-03-27,53.57,53.57,53.57,0.0,0.0,54.42,54.42,54.42,0.0,0.0,53.4,53.4,53.4,0.0,0.0,54.31,54.31,54.31,0.0,0.0
2016-04-03,53.6,53.6,53.6,0.0,0.0,53.73,53.73,53.73,0.0,0.0,53.22,53.22,53.22,0.0,0.0,53.35,53.35,53.35,0.0,0.0
2016-04-10,55.38,55.38,55.38,0.0,0.0,55.38,55.38,55.38,0.0,0.0,55.08,55.08,55.08,0.0,0.0,55.1,55.1,55.1,0.0,0.0
2016-04-17,55.03,55.03,55.03,0.0,0.0,55.37,55.37,55.37,0.0,0.0,54.84,54.84,54.84,0.0,0.0,54.95,54.95,54.95,0.0,0.0
