Date,Global X SuperDividend Alternatives_etf_Open_average,Global X SuperDividend Alternatives_etf_Open_max,Global X SuperDividend Alternatives_etf_Open_min,Global X SuperDividend Alternatives_etf_Open_volatility,Global X SuperDividend Alternatives_etf_Open_change,Global X SuperDividend Alternatives_etf_High_average,Global X SuperDividend Alternatives_etf_High_max,Global X SuperDividend Alternatives_etf_High_min,Global X SuperDividend Alternatives_etf_High_volatility,Global X SuperDividend Alternatives_etf_High_change,Global X SuperDividend Alternatives_etf_Low_average,Global X SuperDividend Alternatives_etf_Low_max,Global X SuperDividend Alternatives_etf_Low_min,Global X SuperDividend Alternatives_etf_Low_volatility,Global X SuperDividend Alternatives_etf_Low_change,Global X SuperDividend Alternatives_etf_Close_average,Global X SuperDividend Alternatives_etf_Close_max,Global X SuperDividend Alternatives_etf_Close_min,Global X SuperDividend Alternatives_etf_Close_volatility,Global X SuperDividend Alternatives_etf_Close_change
2016-01-03,13.52,13.52,13.52,0.0,0.0,13.52,13.52,13.52,0.0,0.0,13.52,13.52,13.52,0.0,0.0,13.52,13.52,13.52,0.0,0.0
2016-01-10,12.65,12.65,12.65,0.0,0.0,12.65,12.65,12.65,0.0,0.0,12.65,12.65,12.65,0.0,0.0,12.65,12.65,12.65,0.0,0.0
2016-01-17,12.86,12.86,12.86,0.0,0.0,12.86,12.86,12.86,0.0,0.0,12.86,12.86,12.86,0.0,0.0,12.86,12.86,12.86,0.0,0.0
2016-01-24,13.22,13.22,13.22,0.0,0.0,13.22,13.22,13.22,0.0,0.0,13.22,13.22,13.22,0.0,0.0,13.22,13.22,13.22,0.0,0.0
2016-01-31,13.25,13.25,13.25,0.0,0.0,13.25,13.25,13.25,0.0,0.0,13.25,13.25,13.25,0.0,0.0,13.25,13.25,13.25,0.0,0.0
2016-02-07,12.48,12.48,12.48,0.0,0.0,12.55,12.55,12.55,0.0,0.0,12.23,12.23,12.23,0.0,0.0,12.5,12.5,12.5,0.0,0.0
2016-02-14,13.24,13.24,13.24,0.0,0.0,13.24,13.24,13.24,0.0,0.0,12.88,12.88,12.88,0.0,0.0,12.99,12.99,12.99,0.0,0.0
2016-02-21,13.2,13.2,13.2,0.0,0.0,13.2,13.2,13.2,0.0,0.0,13.2,13.2,13.2,0.0,0.0,13.2,13.2,13.2,0.0,0.0
2016-02-28,13.89,13.89,13.89,0.0,0.0,13.89,13.89,13.89,0.0,0.0,13.89,13.89,13.89,0.0,0.0,13.89,13.89,13.89,0.0,0.0
2016-03-06,13.71,13.71,13.71,0.0,0.0,13.72,13.72,13.72,0.0,0.0,13.7,13.7,13.7,0.0,0.0,13.72,13.72,13.72,0.0,0.0
2016-03-13,14.23,14.23,14.23,0.0,0.0,14.23,14.23,14.23,0.0,0.0,14.13,14.13,14.13,0.0,0.0,14.13,14.13,14.13,0.0,0.0
2016-03-20,14.1,14.1,14.1,0.0,0.0,14.1,14.1,14.1,0.0,0.0,14.1,14.1,14.1,0.0,0.0,14.1,14.1,14.1,0.0,0.0
2016-03-27,14.19,14.19,14.19,0.0,0.0,14.28,14.28,14.28,0.0,0.0,14.19,14.19,14.19,0.0,0.0,14.28,14.28,14.28,0.0,0.0
2016-04-03,14.25,14.25,14.25,0.0,0.0,14.33,14.33,14.33,0.0,0.0,14.25,14.25,14.25,0.0,0.0,14.31,14.31,14.31,0.0,0.0
2016-04-10,14.48,14.48,14.48,0.0,0.0,14.52,14.52,14.52,0.0,0.0,14.48,14.48,14.48,0.0,0.0,14.51,14.51,14.51,0.0,0.0
2016-04-17,14.55,14.55,14.55,0.0,0.0,14.63,14.63,14.63,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.62,14.62,14.62,0.0,0.0
2016-04-24,14.71,14.71,14.71,0.0,0.0,14.75,14.75,14.75,0.0,0.0,14.61,14.61,14.61,0.0,0.0,14.69,14.69,14.69,0.0,0.0
2016-05-01,14.52,14.52,14.52,0.0,0.0,14.52,14.52,14.52,0.0,0.0,14.52,14.52,14.52,0.0,0.0,14.52,14.52,14.52,0.0,0.0
2016-05-08,14.53,14.53,14.53,0.0,0.0,14.6,14.6,14.6,0.0,0.0,14.53,14.53,14.53,0.0,0.0,14.6,14.6,14.6,0.0,0.0
2016-05-15,14.5,14.5,14.5,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.5,14.5,14.5,0.0,0.0
2016-05-22,14.57,14.57,14.57,0.0,0.0,14.57,14.57,14.57,0.0,0.0,14.57,14.57,14.57,0.0,0.0,14.57,14.57,14.57,0.0,0.0
2016-05-29,14.78,14.78,14.78,0.0,0.0,14.78,14.78,14.78,0.0,0.0,14.78,14.78,14.78,0.0,0.0,14.78,14.78,14.78,0.0,0.0
2016-06-05,14.83,14.83,14.83,0.0,0.0,14.83,14.83,14.83,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.8,14.8,14.8,0.0,0.0
2016-06-12,14.64,14.64,14.64,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.64,14.64,14.64,0.0,0.0,14.66,14.66,14.66,0.0,0.0
2016-06-19,14.83,14.83,14.83,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.72,14.72,14.72,0.0,0.0,14.83,14.83,14.83,0.0,0.0
