Date,First Trust Large Cap Value AlphaDEX_etf_Open_average,First Trust Large Cap Value AlphaDEX_etf_Open_max,First Trust Large Cap Value AlphaDEX_etf_Open_min,First Trust Large Cap Value AlphaDEX_etf_Open_volatility,First Trust Large Cap Value AlphaDEX_etf_Open_change,First Trust Large Cap Value AlphaDEX_etf_High_average,First Trust Large Cap Value AlphaDEX_etf_High_max,First Trust Large Cap Value AlphaDEX_etf_High_min,First Trust Large Cap Value AlphaDEX_etf_High_volatility,First Trust Large Cap Value AlphaDEX_etf_High_change,First Trust Large Cap Value AlphaDEX_etf_Low_average,First Trust Large Cap Value AlphaDEX_etf_Low_max,First Trust Large Cap Value AlphaDEX_etf_Low_min,First Trust Large Cap Value AlphaDEX_etf_Low_volatility,First Trust Large Cap Value AlphaDEX_etf_Low_change,First Trust Large Cap Value AlphaDEX_etf_Close_average,First Trust Large Cap Value AlphaDEX_etf_Close_max,First Trust Large Cap Value AlphaDEX_etf_Close_min,First Trust Large Cap Value AlphaDEX_etf_Close_volatility,First Trust Large Cap Value AlphaDEX_etf_Close_change
2016-01-03,36.8,36.8,36.8,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.03,36.03,36.03,0.0,0.0,36.11,36.11,36.11,0.0,0.0
2016-01-10,34.62,34.62,34.62,0.0,0.0,34.88,34.88,34.88,0.0,0.0,34.22,34.22,34.22,0.0,0.0,34.73,34.73,34.73,0.0,0.0
2016-01-17,35.04,35.04,35.04,0.0,0.0,35.39,35.39,35.39,0.0,0.0,34.8,34.8,34.8,0.0,0.0,35.13,35.13,35.13,0.0,0.0
2016-01-24,35.26,35.26,35.26,0.0,0.0,36.2,36.2,36.2,0.0,0.0,35.26,35.26,35.26,0.0,0.0,36.2,36.2,36.2,0.0,0.0
2016-01-31,36.16,36.16,36.16,0.0,0.0,36.33,36.33,36.33,0.0,0.0,35.87,35.87,35.87,0.0,0.0,35.98,35.98,35.98,0.0,0.0
2016-02-07,34.7,34.7,34.7,0.0,0.0,35.21,35.21,35.21,0.0,0.0,34.5,34.5,34.5,0.0,0.0,35.2,35.2,35.2,0.0,0.0
2016-02-14,36.64,36.64,36.64,0.0,0.0,36.64,36.64,36.64,0.0,0.0,36.27,36.27,36.27,0.0,0.0,36.59,36.59,36.59,0.0,0.0
2016-02-21,37.79,37.79,37.79,0.0,0.0,37.86,37.86,37.86,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.6,37.6,37.6,0.0,0.0
2016-02-28,39.33,39.33,39.33,0.0,0.0,39.82,39.82,39.82,0.0,0.0,39.18,39.18,39.18,0.0,0.0,39.56,39.56,39.56,0.0,0.0
2016-03-06,39.94,39.94,39.94,0.0,0.0,40.34,40.34,40.34,0.0,0.0,39.93,39.93,39.93,0.0,0.0,40.32,40.32,40.32,0.0,0.0
2016-03-13,41.04,41.04,41.04,0.0,0.0,41.29,41.29,41.29,0.0,0.0,40.91,40.91,40.91,0.0,0.0,41.07,41.07,41.07,0.0,0.0
2016-03-20,39.85,39.85,39.85,0.0,0.0,40.14,40.14,40.14,0.0,0.0,39.66,39.66,39.66,0.0,0.0,40.14,40.14,40.14,0.0,0.0
2016-03-27,40.41,40.41,40.41,0.0,0.0,40.61,40.61,40.61,0.0,0.0,40.09,40.09,40.09,0.0,0.0,40.58,40.58,40.58,0.0,0.0
2016-04-03,39.76,39.76,39.76,0.0,0.0,39.88,39.88,39.88,0.0,0.0,39.41,39.41,39.41,0.0,0.0,39.51,39.51,39.51,0.0,0.0
2016-04-10,40.66,40.66,40.66,0.0,0.0,40.66,40.66,40.66,0.0,0.0,40.49,40.49,40.49,0.0,0.0,40.58,40.58,40.58,0.0,0.0
2016-04-17,41.14,41.14,41.14,0.0,0.0,41.53,41.53,41.53,0.0,0.0,41.14,41.14,41.14,0.0,0.0,41.43,41.43,41.43,0.0,0.0
2016-04-24,41.02,41.02,41.02,0.0,0.0,41.04,41.04,41.04,0.0,0.0,40.31,40.31,40.31,0.0,0.0,40.59,40.59,40.59,0.0,0.0
2016-05-01,39.48,39.48,39.48,0.0,0.0,39.75,39.75,39.75,0.0,0.0,39.36,39.36,39.36,0.0,0.0,39.71,39.71,39.71,0.0,0.0
2016-05-08,39.5,39.5,39.5,0.0,0.0,39.63,39.63,39.63,0.0,0.0,39.06,39.06,39.06,0.0,0.0,39.12,39.12,39.12,0.0,0.0
2016-05-15,39.51,39.51,39.51,0.0,0.0,39.71,39.71,39.71,0.0,0.0,39.51,39.51,39.51,0.0,0.0,39.63,39.63,39.63,0.0,0.0
2016-05-22,40.42,40.42,40.42,0.0,0.0,40.71,40.71,40.71,0.0,0.0,40.42,40.42,40.42,0.0,0.0,40.71,40.71,40.71,0.0,0.0
2016-05-29,40.94,40.94,40.94,0.0,0.0,40.94,40.94,40.94,0.0,0.0,40.49,40.49,40.49,0.0,0.0,40.85,40.85,40.85,0.0,0.0
2016-06-05,40.76,40.76,40.76,0.0,0.0,40.76,40.76,40.76,0.0,0.0,40.39,40.39,40.39,0.0,0.0,40.52,40.52,40.52,0.0,0.0
2016-06-12,39.73,39.73,39.73,0.0,0.0,40.03,40.03,40.03,0.0,0.0,39.72,39.72,39.72,0.0,0.0,39.89,39.89,39.89,0.0,0.0
2016-06-19,39.32,39.32,39.32,0.0,0.0,39.8,39.8,39.8,0.0,0.0,38.86,38.86,38.86,0.0,0.0,38.89,38.89,38.89,0.0,0.0
2016-06-26,39.8,39.8,39.8,0.0,0.0,40.11,40.11,40.11,0.0,0.0,39.8,39.8,39.8,0.0,0.0,40.0,40.0,40.0,0.0,0.0
2016-07-03,39.83,39.83,39.83,0.0,0.0,40.3,40.3,40.3,0.0,0.0,39.83,39.83,39.83,0.0,0.0,40.25,40.25,40.25,0.0,0.0
2016-07-10,41.61,41.61,41.61,0.0,0.0,41.61,41.61,41.61,0.0,0.0,41.36,41.36,41.36,0.0,0.0,41.46,41.46,41.46,0.0,0.0
2016-07-17,41.64,41.64,41.64,0.0,0.0,41.83,41.83,41.83,0.0,0.0,41.51,41.51,41.51,0.0,0.0,41.79,41.79,41.79,0.0,0.0
2016-07-24,41.78,41.78,41.78,0.0,0.0,42.03,42.03,42.03,0.0,0.0,41.67,41.67,41.67,0.0,0.0,41.98,41.98,41.98,0.0,0.0
