Date,PowerShares KBW Bank Portfolio_etf_Open_average,PowerShares KBW Bank Portfolio_etf_Open_max,PowerShares KBW Bank Portfolio_etf_Open_min,PowerShares KBW Bank Portfolio_etf_Open_volatility,PowerShares KBW Bank Portfolio_etf_Open_change,PowerShares KBW Bank Portfolio_etf_High_average,PowerShares KBW Bank Portfolio_etf_High_max,PowerShares KBW Bank Portfolio_etf_High_min,PowerShares KBW Bank Portfolio_etf_High_volatility,PowerShares KBW Bank Portfolio_etf_High_change,PowerShares KBW Bank Portfolio_etf_Low_average,PowerShares KBW Bank Portfolio_etf_Low_max,PowerShares KBW Bank Portfolio_etf_Low_min,PowerShares KBW Bank Portfolio_etf_Low_volatility,PowerShares KBW Bank Portfolio_etf_Low_change,PowerShares KBW Bank Portfolio_etf_Close_average,PowerShares KBW Bank Portfolio_etf_Close_max,PowerShares KBW Bank Portfolio_etf_Close_min,PowerShares KBW Bank Portfolio_etf_Close_volatility,PowerShares KBW Bank Portfolio_etf_Close_change
2016-01-03,35.21,35.21,35.21,0.0,0.0,35.26,35.26,35.26,0.0,0.0,34.11,34.11,34.11,0.0,0.0,34.11,34.11,34.11,0.0,0.0
2016-01-10,32.69,32.69,32.69,0.0,0.0,32.93,32.93,32.93,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.7,32.7,32.7,0.0,0.0
2016-01-17,32.06,32.06,32.06,0.0,0.0,32.18,32.18,32.18,0.0,0.0,31.84,31.84,31.84,0.0,0.0,32.01,32.01,32.01,0.0,0.0
2016-01-24,32.27,32.27,32.27,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.81,32.81,32.81,0.0,0.0
2016-01-31,32.07,32.07,32.07,0.0,0.0,32.32,32.32,32.32,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.6,31.6,31.6,0.0,0.0
2016-02-07,29.82,29.82,29.82,0.0,0.0,30.72,30.72,30.72,0.0,0.0,29.77,29.77,29.77,0.0,0.0,30.7,30.7,30.7,0.0,0.0
2016-02-14,31.03,31.03,31.03,0.0,0.0,31.42,31.42,31.42,0.0,0.0,30.84,30.84,30.84,0.0,0.0,31.34,31.34,31.34,0.0,0.0
2016-02-21,31.57,31.57,31.57,0.0,0.0,32.13,32.13,32.13,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.82,31.82,31.82,0.0,0.0
2016-02-28,33.75,33.75,33.75,0.0,0.0,34.1,34.1,34.1,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.8,33.8,33.8,0.0,0.0
2016-03-06,33.22,33.22,33.22,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.73,33.73,33.73,0.0,0.0
2016-03-13,33.63,33.63,33.63,0.0,0.0,34.06,34.06,34.06,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.9,33.9,33.9,0.0,0.0
2016-03-20,33.17,33.17,33.17,0.0,0.0,33.34,33.34,33.34,0.0,0.0,32.85,32.85,32.85,0.0,0.0,33.34,33.34,33.34,0.0,0.0
2016-03-27,32.86,32.86,32.86,0.0,0.0,33.34,33.34,33.34,0.0,0.0,32.61,32.61,32.61,0.0,0.0,33.31,33.31,33.31,0.0,0.0
2016-04-03,32.29,32.29,32.29,0.0,0.0,32.62,32.62,32.62,0.0,0.0,32.06,32.06,32.06,0.0,0.0,32.1,32.1,32.1,0.0,0.0
2016-04-10,34.76,34.76,34.76,0.0,0.0,34.76,34.76,34.76,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.39,34.39,34.39,0.0,0.0
2016-04-17,35.76,35.76,35.76,0.0,0.0,36.25,36.25,36.25,0.0,0.0,35.76,35.76,35.76,0.0,0.0,36.16,36.16,36.16,0.0,0.0
2016-04-24,35.73,35.73,35.73,0.0,0.0,35.88,35.88,35.88,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.6,35.6,35.6,0.0,0.0
2016-05-01,34.09,34.09,34.09,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.07,34.07,34.07,0.0,0.0,34.5,34.5,34.5,0.0,0.0
2016-05-08,34.6,34.6,34.6,0.0,0.0,34.86,34.86,34.86,0.0,0.0,33.99,33.99,33.99,0.0,0.0,34.08,34.08,34.08,0.0,0.0
2016-05-15,35.74,35.74,35.74,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.4,35.4,35.4,0.0,0.0,35.52,35.52,35.52,0.0,0.0
2016-05-22,36.4,36.4,36.4,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.7,36.7,36.7,0.0,0.0
2016-05-29,36.09,36.09,36.09,0.0,0.0,36.14,36.14,36.14,0.0,0.0,35.43,35.43,35.43,0.0,0.0,36.05,36.05,36.05,0.0,0.0
2016-06-05,35.37,35.37,35.37,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.12,35.12,35.12,0.0,0.0,35.23,35.23,35.23,0.0,0.0
2016-06-12,33.83,33.83,33.83,0.0,0.0,34.11,34.11,34.11,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.93,33.93,33.93,0.0,0.0
