Date,SPDR S&P Regional BankingEtf_Open_average,SPDR S&P Regional BankingEtf_Open_max,SPDR S&P Regional BankingEtf_Open_min,SPDR S&P Regional BankingEtf_Open_volatility,SPDR S&P Regional BankingEtf_Open_change,SPDR S&P Regional BankingEtf_High_average,SPDR S&P Regional BankingEtf_High_max,SPDR S&P Regional BankingEtf_High_min,SPDR S&P Regional BankingEtf_High_volatility,SPDR S&P Regional BankingEtf_High_change,SPDR S&P Regional BankingEtf_Low_average,SPDR S&P Regional BankingEtf_Low_max,SPDR S&P Regional BankingEtf_Low_min,SPDR S&P Regional BankingEtf_Low_volatility,SPDR S&P Regional BankingEtf_Low_change,SPDR S&P Regional BankingEtf_Close_average,SPDR S&P Regional BankingEtf_Close_max,SPDR S&P Regional BankingEtf_Close_min,SPDR S&P Regional BankingEtf_Close_volatility,SPDR S&P Regional BankingEtf_Close_change
2016-01-03,39.42,39.42,39.42,0.0,0.0,39.59,39.59,39.59,0.0,0.0,38.28,38.28,38.28,0.0,0.0,38.33,38.33,38.33,0.0,0.0
2016-01-10,36.15,36.15,36.15,0.0,0.0,36.71,36.71,36.71,0.0,0.0,35.81,35.81,35.81,0.0,0.0,36.66,36.66,36.66,0.0,0.0
2016-01-17,35.78,35.78,35.78,0.0,0.0,36.0,36.0,36.0,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.73,35.73,35.73,0.0,0.0
2016-01-24,36.08,36.08,36.08,0.0,0.0,36.66,36.66,36.66,0.0,0.0,35.9,35.9,35.9,0.0,0.0,36.66,36.66,36.66,0.0,0.0
2016-01-31,35.98,35.98,35.98,0.0,0.0,36.28,36.28,36.28,0.0,0.0,35.22,35.22,35.22,0.0,0.0,35.3,35.3,35.3,0.0,0.0
2016-02-07,33.56,33.56,33.56,0.0,0.0,34.59,34.59,34.59,0.0,0.0,33.5,33.5,33.5,0.0,0.0,34.48,34.48,34.48,0.0,0.0
2016-02-14,34.72,34.72,34.72,0.0,0.0,35.21,35.21,35.21,0.0,0.0,34.6,34.6,34.6,0.0,0.0,35.14,35.14,35.14,0.0,0.0
2016-02-21,35.47,35.47,35.47,0.0,0.0,36.24,36.24,36.24,0.0,0.0,34.97,34.97,34.97,0.0,0.0,35.89,35.89,35.89,0.0,0.0
2016-02-28,38.25,38.25,38.25,0.0,0.0,38.64,38.64,38.64,0.0,0.0,38.0,38.0,38.0,0.0,0.0,38.37,38.37,38.37,0.0,0.0
2016-03-06,37.83,37.83,37.83,0.0,0.0,38.56,38.56,38.56,0.0,0.0,37.77,37.77,37.77,0.0,0.0,38.5,38.5,38.5,0.0,0.0
2016-03-13,38.19,38.19,38.19,0.0,0.0,38.82,38.82,38.82,0.0,0.0,38.0,38.0,38.0,0.0,0.0,38.5,38.5,38.5,0.0,0.0
2016-03-20,37.56,37.56,37.56,0.0,0.0,37.78,37.78,37.78,0.0,0.0,37.17,37.17,37.17,0.0,0.0,37.76,37.76,37.76,0.0,0.0
2016-03-27,37.41,37.41,37.41,0.0,0.0,37.78,37.78,37.78,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.75,37.75,37.75,0.0,0.0
2016-04-03,36.63,36.63,36.63,0.0,0.0,37.17,37.17,37.17,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.54,36.54,36.54,0.0,0.0
2016-04-10,39.38,39.38,39.38,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.02,39.02,39.02,0.0,0.0,39.2,39.2,39.2,0.0,0.0
2016-04-17,40.31,40.31,40.31,0.0,0.0,40.93,40.93,40.93,0.0,0.0,40.31,40.31,40.31,0.0,0.0,40.81,40.81,40.81,0.0,0.0
2016-04-24,40.23,40.23,40.23,0.0,0.0,40.68,40.68,40.68,0.0,0.0,40.07,40.07,40.07,0.0,0.0,40.35,40.35,40.35,0.0,0.0
2016-05-01,38.43,38.43,38.43,0.0,0.0,38.89,38.89,38.89,0.0,0.0,38.35,38.35,38.35,0.0,0.0,38.86,38.86,38.86,0.0,0.0
2016-05-08,39.1,39.1,39.1,0.0,0.0,39.53,39.53,39.53,0.0,0.0,38.23,38.23,38.23,0.0,0.0,38.36,38.36,38.36,0.0,0.0
2016-05-15,40.14,40.14,40.14,0.0,0.0,40.59,40.59,40.59,0.0,0.0,40.03,40.03,40.03,0.0,0.0,40.25,40.25,40.25,0.0,0.0
2016-05-22,41.36,41.36,41.36,0.0,0.0,41.73,41.73,41.73,0.0,0.0,41.25,41.25,41.25,0.0,0.0,41.71,41.71,41.71,0.0,0.0
2016-05-29,41.1,41.1,41.1,0.0,0.0,41.26,41.26,41.26,0.0,0.0,40.18,40.18,40.18,0.0,0.0,41.19,41.19,41.19,0.0,0.0
2016-06-05,40.5,40.5,40.5,0.0,0.0,40.79,40.79,40.79,0.0,0.0,40.3,40.3,40.3,0.0,0.0,40.53,40.53,40.53,0.0,0.0
2016-06-12,38.92,38.92,38.92,0.0,0.0,39.15,39.15,39.15,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.79,38.79,38.79,0.0,0.0
2016-06-19,38.31,38.31,38.31,0.0,0.0,38.75,38.75,38.75,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.63,37.63,37.63,0.0,0.0
2016-06-26,38.01,38.01,38.01,0.0,0.0,38.37,38.37,38.37,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.99,37.99,37.99,0.0,0.0
2016-07-03,38.2,38.2,38.2,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.24,38.24,38.24,0.0,0.0
2016-07-10,40.67,40.67,40.67,0.0,0.0,40.67,40.67,40.67,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.35,40.35,40.35,0.0,0.0
2016-07-17,39.78,39.78,39.78,0.0,0.0,40.2,40.2,40.2,0.0,0.0,39.49,39.49,39.49,0.0,0.0,40.09,40.09,40.09,0.0,0.0
2016-07-24,40.07,40.07,40.07,0.0,0.0,40.5,40.5,40.5,0.0,0.0,39.99,39.99,39.99,0.0,0.0,40.1,40.1,40.1,0.0,0.0
2016-07-31,40.9,40.9,40.9,0.0,0.0,41.34,41.34,41.34,0.0,0.0,40.36,40.36,40.36,0.0,0.0,41.31,41.31,41.31,0.0,0.0
2016-08-07,40.35,40.35,40.35,0.0,0.0,40.69,40.69,40.69,0.0,0.0,40.29,40.29,40.29,0.0,0.0,40.67,40.67,40.67,0.0,0.0
2016-08-14,41.4,41.4,41.4,0.0,0.0,41.6,41.6,41.6,0.0,0.0,41.27,41.27,41.27,0.0,0.0,41.55,41.55,41.55,0.0,0.0
2016-08-21,42.0,42.0,42.0,0.0,0.0,42.34,42.34,42.34,0.0,0.0,41.8,41.8,41.8,0.0,0.0,42.11,42.11,42.11,0.0,0.0
2016-08-28,42.98,42.98,42.98,0.0,0.0,43.09,43.09,43.09,0.0,0.0,42.49,42.49,42.49,0.0,0.0,43.09,43.09,43.09,0.0,0.0
2016-09-04,42.91,42.91,42.91,0.0,0.0,42.98,42.98,42.98,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.46,42.46,42.46,0.0,0.0
2016-09-11,41.64,41.64,41.64,0.0,0.0,41.79,41.79,41.79,0.0,0.0,41.37,41.37,41.37,0.0,0.0,41.6,41.6,41.6,0.0,0.0
2016-09-18,41.93,41.93,41.93,0.0,0.0,42.54,42.54,42.54,0.0,0.0,41.93,41.93,41.93,0.0,0.0,42.23,42.23,42.23,0.0,0.0
2016-09-25,41.8,41.8,41.8,0.0,0.0,42.41,42.41,42.41,0.0,0.0,41.57,41.57,41.57,0.0,0.0,42.27,42.27,42.27,0.0,0.0
2016-10-02,43.09,43.09,43.09,0.0,0.0,43.42,43.42,43.42,0.0,0.0,42.77,42.77,42.77,0.0,0.0,43.24,43.24,43.24,0.0,0.0
2016-10-09,42.35,42.35,42.35,0.0,0.0,42.5,42.5,42.5,0.0,0.0,41.86,41.86,41.86,0.0,0.0,42.0,42.0,42.0,0.0,0.0
2016-10-16,42.77,42.77,42.77,0.0,0.0,43.23,43.23,43.23,0.0,0.0,42.65,42.65,42.65,0.0,0.0,43.19,43.19,43.19,0.0,0.0
2016-10-23,44.2,44.2,44.2,0.0,0.0,44.2,44.2,44.2,0.0,0.0,43.35,43.35,43.35,0.0,0.0,43.49,43.49,43.49,0.0,0.0
2016-10-30,43.04,43.04,43.04,0.0,0.0,43.52,43.52,43.52,0.0,0.0,42.61,42.61,42.61,0.0,0.0,42.99,42.99,42.99,0.0,0.0
2016-11-06,48.16,48.16,48.16,0.0,0.0,49.56,49.56,49.56,0.0,0.0,48.1,48.1,48.1,0.0,0.0,49.49,49.49,49.49,0.0,0.0
2016-11-13,51.21,51.21,51.21,0.0,0.0,51.63,51.63,51.63,0.0,0.0,50.96,50.96,50.96,0.0,0.0,51.5,51.5,51.5,0.0,0.0
2016-11-20,52.44,52.44,52.44,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.09,52.09,52.09,0.0,0.0,52.3,52.3,52.3,0.0,0.0
2016-11-27,53.31,53.31,53.31,0.0,0.0,53.32,53.32,53.32,0.0,0.0,52.75,52.75,52.75,0.0,0.0,53.03,53.03,53.03,0.0,0.0
2016-12-04,56.02,56.02,56.02,0.0,0.0,56.05,56.05,56.05,0.0,0.0,55.39,55.39,55.39,0.0,0.0,56.03,56.03,56.03,0.0,0.0
2016-12-11,55.67,55.67,55.67,0.0,0.0,55.81,55.81,55.81,0.0,0.0,54.62,54.62,54.62,0.0,0.0,54.74,54.74,54.74,0.0,0.0
2016-12-18,55.96,55.96,55.96,0.0,0.0,56.14,56.14,56.14,0.0,0.0,55.87,55.87,55.87,0.0,0.0,56.11,56.11,56.11,0.0,0.0
