Date,SPDR S&P Insurance_etf_Open_average,SPDR S&P Insurance_etf_Open_max,SPDR S&P Insurance_etf_Open_min,SPDR S&P Insurance_etf_Open_volatility,SPDR S&P Insurance_etf_Open_change,SPDR S&P Insurance_etf_High_average,SPDR S&P Insurance_etf_High_max,SPDR S&P Insurance_etf_High_min,SPDR S&P Insurance_etf_High_volatility,SPDR S&P Insurance_etf_High_change,SPDR S&P Insurance_etf_Low_average,SPDR S&P Insurance_etf_Low_max,SPDR S&P Insurance_etf_Low_min,SPDR S&P Insurance_etf_Low_volatility,SPDR S&P Insurance_etf_Low_change,SPDR S&P Insurance_etf_Close_average,SPDR S&P Insurance_etf_Close_max,SPDR S&P Insurance_etf_Close_min,SPDR S&P Insurance_etf_Close_volatility,SPDR S&P Insurance_etf_Close_change
2016-01-03,22.17,22.17,22.17,0.0,0.0,22.17,22.17,22.17,0.0,0.0,21.76,21.76,21.76,0.0,0.0,21.79,21.79,21.79,0.0,0.0
2016-01-10,21.25,21.25,21.25,0.0,0.0,21.4,21.4,21.4,0.0,0.0,21.09,21.09,21.09,0.0,0.0,21.33,21.33,21.33,0.0,0.0
2016-01-17,21.21,21.21,21.21,0.0,0.0,21.36,21.36,21.36,0.0,0.0,21.17,21.17,21.17,0.0,0.0,21.32,21.32,21.32,0.0,0.0
2016-01-24,21.44,21.44,21.44,0.0,0.0,21.87,21.87,21.87,0.0,0.0,21.44,21.44,21.44,0.0,0.0,21.87,21.87,21.87,0.0,0.0
2016-01-31,21.36,21.36,21.36,0.0,0.0,21.49,21.49,21.49,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.31,21.31,21.31,0.0,0.0
2016-02-07,20.74,20.74,20.74,0.0,0.0,21.12,21.12,21.12,0.0,0.0,20.74,20.74,20.74,0.0,0.0,21.08,21.08,21.08,0.0,0.0
2016-02-14,21.54,21.54,21.54,0.0,0.0,21.65,21.65,21.65,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.64,21.64,21.64,0.0,0.0
2016-02-21,21.95,21.95,21.95,0.0,0.0,22.03,22.03,22.03,0.0,0.0,21.87,21.87,21.87,0.0,0.0,21.9,21.9,21.9,0.0,0.0
2016-02-28,22.54,22.54,22.54,0.0,0.0,22.58,22.58,22.58,0.0,0.0,22.37,22.37,22.37,0.0,0.0,22.52,22.52,22.52,0.0,0.0
2016-03-06,22.53,22.53,22.53,0.0,0.0,22.89,22.89,22.89,0.0,0.0,22.53,22.53,22.53,0.0,0.0,22.88,22.88,22.88,0.0,0.0
2016-03-13,23.12,23.12,23.12,0.0,0.0,23.23,23.23,23.23,0.0,0.0,23.03,23.03,23.03,0.0,0.0,23.16,23.16,23.16,0.0,0.0
2016-03-20,22.83,22.83,22.83,0.0,0.0,22.83,22.83,22.83,0.0,0.0,22.57,22.57,22.57,0.0,0.0,22.71,22.71,22.71,0.0,0.0
2016-03-27,22.98,22.98,22.98,0.0,0.0,23.31,23.31,23.31,0.0,0.0,22.91,22.91,22.91,0.0,0.0,23.31,23.31,23.31,0.0,0.0
2016-04-03,22.54,22.54,22.54,0.0,0.0,22.63,22.63,22.63,0.0,0.0,22.4,22.4,22.4,0.0,0.0,22.46,22.46,22.46,0.0,0.0
2016-04-10,23.18,23.18,23.18,0.0,0.0,23.24,23.24,23.24,0.0,0.0,23.15,23.15,23.15,0.0,0.0,23.18,23.18,23.18,0.0,0.0
2016-04-17,23.22,23.22,23.22,0.0,0.0,23.44,23.44,23.44,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.42,23.42,23.42,0.0,0.0
2016-04-24,23.16,23.16,23.16,0.0,0.0,23.32,23.32,23.32,0.0,0.0,23.1,23.1,23.1,0.0,0.0,23.27,23.27,23.27,0.0,0.0
2016-05-01,23.3,23.3,23.3,0.0,0.0,23.44,23.44,23.44,0.0,0.0,23.28,23.28,23.28,0.0,0.0,23.42,23.42,23.42,0.0,0.0
2016-05-08,23.71,23.71,23.71,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.6,23.6,23.6,0.0,0.0
2016-05-15,23.77,23.77,23.77,0.0,0.0,24.03,24.03,24.03,0.0,0.0,23.76,23.76,23.76,0.0,0.0,23.92,23.92,23.92,0.0,0.0
2016-05-22,24.13,24.13,24.13,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.32,24.32,24.32,0.0,0.0
2016-05-29,24.22,24.22,24.22,0.0,0.0,24.22,24.22,24.22,0.0,0.0,23.94,23.94,23.94,0.0,0.0,24.12,24.12,24.12,0.0,0.0
2016-06-05,23.99,23.99,23.99,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.8,23.8,23.8,0.0,0.0,23.89,23.89,23.89,0.0,0.0
2016-06-12,23.3,23.3,23.3,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.18,23.18,23.18,0.0,0.0,23.3,23.3,23.3,0.0,0.0
2016-06-19,23.1,23.1,23.1,0.0,0.0,23.32,23.32,23.32,0.0,0.0,22.84,22.84,22.84,0.0,0.0,22.86,22.86,22.86,0.0,0.0
2016-06-26,23.7,23.7,23.7,0.0,0.0,23.77,23.77,23.77,0.0,0.0,23.57,23.57,23.57,0.0,0.0,23.64,23.64,23.64,0.0,0.0
2016-07-03,23.49,23.49,23.49,0.0,0.0,23.66,23.66,23.66,0.0,0.0,23.49,23.49,23.49,0.0,0.0,23.63,23.63,23.63,0.0,0.0
2016-07-10,24.07,24.07,24.07,0.0,0.0,24.08,24.08,24.08,0.0,0.0,23.9,23.9,23.9,0.0,0.0,23.94,23.94,23.94,0.0,0.0
2016-07-17,23.93,23.93,23.93,0.0,0.0,24.11,24.11,24.11,0.0,0.0,23.93,23.93,23.93,0.0,0.0,24.1,24.1,24.1,0.0,0.0
2016-07-24,24.01,24.01,24.01,0.0,0.0,24.03,24.03,24.03,0.0,0.0,23.88,23.88,23.88,0.0,0.0,23.96,23.96,23.96,0.0,0.0
2016-07-31,24.07,24.07,24.07,0.0,0.0,24.23,24.23,24.23,0.0,0.0,23.96,23.96,23.96,0.0,0.0,24.23,24.23,24.23,0.0,0.0
2016-08-07,24.16,24.16,24.16,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.08,24.08,24.08,0.0,0.0,24.12,24.12,24.12,0.0,0.0
2016-08-14,24.23,24.23,24.23,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.29,24.29,24.29,0.0,0.0
2016-08-21,24.66,24.66,24.66,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.54,24.54,24.54,0.0,0.0
2016-08-28,24.92,24.92,24.92,0.0,0.0,25.06,25.06,25.06,0.0,0.0,24.91,24.91,24.91,0.0,0.0,25.05,25.05,25.05,0.0,0.0
2016-09-04,24.87,24.87,24.87,0.0,0.0,25.04,25.04,25.04,0.0,0.0,24.61,24.61,24.61,0.0,0.0,24.62,24.62,24.62,0.0,0.0
2016-09-11,24.52,24.52,24.52,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.34,24.34,24.34,0.0,0.0
2016-09-18,24.9,24.9,24.9,0.0,0.0,24.91,24.91,24.91,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.65,24.65,24.65,0.0,0.0
2016-09-25,24.61,24.61,24.61,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.7,24.7,24.7,0.0,0.0
2016-10-02,24.98,24.98,24.98,0.0,0.0,25.17,25.17,25.17,0.0,0.0,24.98,24.98,24.98,0.0,0.0,25.11,25.11,25.11,0.0,0.0
2016-10-09,25.34,25.34,25.34,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.27,25.27,25.27,0.0,0.0
2016-10-16,24.76,24.76,24.76,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.77,24.77,24.77,0.0,0.0
2016-10-23,24.7,24.7,24.7,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.63,24.63,24.63,0.0,0.0
2016-10-30,24.64,24.64,24.64,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.49,24.49,24.49,0.0,0.0
2016-11-06,26.05,26.05,26.05,0.0,0.0,26.33,26.33,26.33,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.32,26.32,26.32,0.0,0.0
2016-11-13,26.79,26.79,26.79,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.72,26.72,26.72,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2016-11-20,27.11,27.11,27.11,0.0,0.0,27.12,27.12,27.12,0.0,0.0,27.05,27.05,27.05,0.0,0.0,27.12,27.12,27.12,0.0,0.0
2016-11-27,27.01,27.01,27.01,0.0,0.0,27.09,27.09,27.09,0.0,0.0,26.85,26.85,26.85,0.0,0.0,26.9,26.9,26.9,0.0,0.0
2016-12-04,27.76,27.76,27.76,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.64,27.64,27.64,0.0,0.0,27.78,27.78,27.78,0.0,0.0
