Date,First Trust NASDAQ CEA Cybersecurity_etf_Open_average,First Trust NASDAQ CEA Cybersecurity_etf_Open_max,First Trust NASDAQ CEA Cybersecurity_etf_Open_min,First Trust NASDAQ CEA Cybersecurity_etf_Open_volatility,First Trust NASDAQ CEA Cybersecurity_etf_Open_change,First Trust NASDAQ CEA Cybersecurity_etf_High_average,First Trust NASDAQ CEA Cybersecurity_etf_High_max,First Trust NASDAQ CEA Cybersecurity_etf_High_min,First Trust NASDAQ CEA Cybersecurity_etf_High_volatility,First Trust NASDAQ CEA Cybersecurity_etf_High_change,First Trust NASDAQ CEA Cybersecurity_etf_Low_average,First Trust NASDAQ CEA Cybersecurity_etf_Low_max,First Trust NASDAQ CEA Cybersecurity_etf_Low_min,First Trust NASDAQ CEA Cybersecurity_etf_Low_volatility,First Trust NASDAQ CEA Cybersecurity_etf_Low_change,First Trust NASDAQ CEA Cybersecurity_etf_Close_average,First Trust NASDAQ CEA Cybersecurity_etf_Close_max,First Trust NASDAQ CEA Cybersecurity_etf_Close_min,First Trust NASDAQ CEA Cybersecurity_etf_Close_volatility,First Trust NASDAQ CEA Cybersecurity_etf_Close_change
2016-01-03,16.73,16.73,16.73,0.0,0.0,16.75,16.75,16.75,0.0,0.0,16.39,16.39,16.39,0.0,0.0,16.4,16.4,16.4,0.0,0.0
2016-01-10,15.96,15.96,15.96,0.0,0.0,16.04,16.04,16.04,0.0,0.0,15.63,15.63,15.63,0.0,0.0,15.98,15.98,15.98,0.0,0.0
2016-01-17,15.98,15.98,15.98,0.0,0.0,16.11,16.11,16.11,0.0,0.0,15.89,15.89,15.89,0.0,0.0,16.09,16.09,16.09,0.0,0.0
2016-01-24,15.38,15.38,15.38,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.73,15.73,15.73,0.0,0.0
2016-01-31,15.25,15.25,15.25,0.0,0.0,15.26,15.26,15.26,0.0,0.0,14.78,14.78,14.78,0.0,0.0,14.79,14.79,14.79,0.0,0.0
2016-02-07,14.13,14.13,14.13,0.0,0.0,14.26,14.26,14.26,0.0,0.0,13.97,13.97,13.97,0.0,0.0,14.23,14.23,14.23,0.0,0.0
2016-02-14,14.75,14.75,14.75,0.0,0.0,15.05,15.05,15.05,0.0,0.0,14.75,14.75,14.75,0.0,0.0,15.04,15.04,15.04,0.0,0.0
2016-02-21,15.74,15.74,15.74,0.0,0.0,15.86,15.86,15.86,0.0,0.0,15.64,15.64,15.64,0.0,0.0,15.76,15.76,15.76,0.0,0.0
2016-02-28,16.38,16.38,16.38,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.37,16.37,16.37,0.0,0.0,16.45,16.45,16.45,0.0,0.0
2016-03-06,16.5,16.5,16.5,0.0,0.0,16.67,16.67,16.67,0.0,0.0,16.46,16.46,16.46,0.0,0.0,16.67,16.67,16.67,0.0,0.0
2016-03-13,16.79,16.79,16.79,0.0,0.0,16.97,16.97,16.97,0.0,0.0,16.79,16.79,16.79,0.0,0.0,16.88,16.88,16.88,0.0,0.0
