Date,Global X Uranium_etf_Open_average,Global X Uranium_etf_Open_max,Global X Uranium_etf_Open_min,Global X Uranium_etf_Open_volatility,Global X Uranium_etf_Open_change,Global X Uranium_etf_High_average,Global X Uranium_etf_High_max,Global X Uranium_etf_High_min,Global X Uranium_etf_High_volatility,Global X Uranium_etf_High_change,Global X Uranium_etf_Low_average,Global X Uranium_etf_Low_max,Global X Uranium_etf_Low_min,Global X Uranium_etf_Low_volatility,Global X Uranium_etf_Low_change,Global X Uranium_etf_Close_average,Global X Uranium_etf_Close_max,Global X Uranium_etf_Close_min,Global X Uranium_etf_Close_volatility,Global X Uranium_etf_Close_change
2016-01-03,13.1,13.1,13.1,0.0,0.0,13.64,13.64,13.64,0.0,0.0,12.96,12.96,12.96,0.0,0.0,13.15,13.15,13.15,0.0,0.0
2016-01-10,12.04,12.04,12.04,0.0,0.0,12.12,12.12,12.12,0.0,0.0,11.77,11.77,11.77,0.0,0.0,11.89,11.89,11.89,0.0,0.0
2016-01-17,12.21,12.21,12.21,0.0,0.0,12.42,12.42,12.42,0.0,0.0,12.0,12.0,12.0,0.0,0.0,12.27,12.27,12.27,0.0,0.0
2016-01-24,12.65,12.65,12.65,0.0,0.0,12.8,12.8,12.8,0.0,0.0,12.62,12.62,12.62,0.0,0.0,12.76,12.76,12.76,0.0,0.0
2016-01-31,12.82,12.82,12.82,0.0,0.0,12.85,12.85,12.85,0.0,0.0,12.54,12.54,12.54,0.0,0.0,12.77,12.77,12.77,0.0,0.0
2016-02-07,11.8,11.8,11.8,0.0,0.0,12.05,12.05,12.05,0.0,0.0,11.74,11.74,11.74,0.0,0.0,12.03,12.03,12.03,0.0,0.0
2016-02-14,12.55,12.55,12.55,0.0,0.0,12.62,12.62,12.62,0.0,0.0,12.49,12.49,12.49,0.0,0.0,12.6,12.6,12.6,0.0,0.0
2016-02-21,12.61,12.61,12.61,0.0,0.0,12.68,12.68,12.68,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.5,12.5,12.5,0.0,0.0
2016-02-28,13.37,13.37,13.37,0.0,0.0,13.5,13.5,13.5,0.0,0.0,13.3,13.3,13.3,0.0,0.0,13.36,13.36,13.36,0.0,0.0
2016-03-06,13.4,13.4,13.4,0.0,0.0,13.58,13.58,13.58,0.0,0.0,13.4,13.4,13.4,0.0,0.0,13.51,13.51,13.51,0.0,0.0
2016-03-13,14.39,14.39,14.39,0.0,0.0,14.63,14.63,14.63,0.0,0.0,14.21,14.21,14.21,0.0,0.0,14.44,14.44,14.44,0.0,0.0
2016-03-20,13.87,13.87,13.87,0.0,0.0,13.97,13.97,13.97,0.0,0.0,13.61,13.61,13.61,0.0,0.0,13.87,13.87,13.87,0.0,0.0
2016-03-27,14.4,14.4,14.4,0.0,0.0,14.72,14.72,14.72,0.0,0.0,14.27,14.27,14.27,0.0,0.0,14.67,14.67,14.67,0.0,0.0
2016-04-03,14.41,14.41,14.41,0.0,0.0,14.55,14.55,14.55,0.0,0.0,14.38,14.38,14.38,0.0,0.0,14.49,14.49,14.49,0.0,0.0
