Date,UBS AG FI Enhanced Large Cap Growth_etf_Open_average,UBS AG FI Enhanced Large Cap Growth_etf_Open_max,UBS AG FI Enhanced Large Cap Growth_etf_Open_min,UBS AG FI Enhanced Large Cap Growth_etf_Open_volatility,UBS AG FI Enhanced Large Cap Growth_etf_Open_change,UBS AG FI Enhanced Large Cap Growth_etf_High_average,UBS AG FI Enhanced Large Cap Growth_etf_High_max,UBS AG FI Enhanced Large Cap Growth_etf_High_min,UBS AG FI Enhanced Large Cap Growth_etf_High_volatility,UBS AG FI Enhanced Large Cap Growth_etf_High_change,UBS AG FI Enhanced Large Cap Growth_etf_Low_average,UBS AG FI Enhanced Large Cap Growth_etf_Low_max,UBS AG FI Enhanced Large Cap Growth_etf_Low_min,UBS AG FI Enhanced Large Cap Growth_etf_Low_volatility,UBS AG FI Enhanced Large Cap Growth_etf_Low_change,UBS AG FI Enhanced Large Cap Growth_etf_Close_average,UBS AG FI Enhanced Large Cap Growth_etf_Close_max,UBS AG FI Enhanced Large Cap Growth_etf_Close_min,UBS AG FI Enhanced Large Cap Growth_etf_Close_volatility,UBS AG FI Enhanced Large Cap Growth_etf_Close_change
2016-01-03,112.04,112.04,112.04,0.0,0.0,113.03,113.03,113.03,0.0,0.0,109.51,109.51,109.51,0.0,0.0,109.51,109.51,109.51,0.0,0.0
2016-01-10,101.7,101.7,101.7,0.0,0.0,103.38,103.38,103.38,0.0,0.0,99.82,99.82,99.82,0.0,0.0,102.85,102.85,102.85,0.0,0.0
2016-01-17,105.41,105.41,105.41,0.0,0.0,107.45,107.45,107.45,0.0,0.0,105.41,105.41,105.41,0.0,0.0,107.45,107.45,107.45,0.0,0.0
2016-01-24,104.98,104.98,104.98,0.0,0.0,109.23,109.23,109.23,0.0,0.0,104.78,104.78,104.78,0.0,0.0,108.84,108.84,108.84,0.0,0.0
2016-01-31,104.9,104.9,104.9,0.0,0.0,104.9,104.9,104.9,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.39,100.39,100.39,0.0,0.0
2016-02-07,97.6,97.6,97.6,0.0,0.0,99.14,99.14,99.14,0.0,0.0,96.9,96.9,96.9,0.0,0.0,98.9,98.9,98.9,0.0,0.0
2016-02-14,106.28,106.28,106.28,0.0,0.0,106.61,106.61,106.61,0.0,0.0,105.78,105.78,105.78,0.0,0.0,106.49,106.49,106.49,0.0,0.0
2016-02-21,111.93,111.93,111.93,0.0,0.0,112.0,112.0,112.0,0.0,0.0,110.48,110.48,110.48,0.0,0.0,111.0,111.0,111.0,0.0,0.0
2016-02-28,115.58,115.58,115.58,0.0,0.0,117.3,117.3,117.3,0.0,0.0,114.96,114.96,114.96,0.0,0.0,116.22,116.22,116.22,0.0,0.0
2016-03-06,117.0,117.0,117.0,0.0,0.0,118.29,118.29,118.29,0.0,0.0,116.35,116.35,116.35,0.0,0.0,118.29,118.29,118.29,0.0,0.0
