Date,AN_stock_Open_average,AN_stock_Open_max,AN_stock_Open_min,AN_stock_Open_volatility,AN_stock_Open_change,AN_stock_High_average,AN_stock_High_max,AN_stock_High_min,AN_stock_High_volatility,AN_stock_High_change,AN_stock_Low_average,AN_stock_Low_max,AN_stock_Low_min,AN_stock_Low_volatility,AN_stock_Low_change,AN_stock_Close_average,AN_stock_Close_max,AN_stock_Close_min,AN_stock_Close_volatility,AN_stock_Close_change,AN_stock_Volume_average,AN_stock_Volume_max,AN_stock_Volume_min,AN_stock_Volume_volatility,AN_stock_Volume_change
2016-01-03,53.288,59.0,49.31,9.689999999999998,-9.689999999999998,54.308,59.22,49.98,9.240000000000002,-9.240000000000002,52.028,58.16,47.91,10.25,-9.459999999999994,52.818,58.69,48.82,9.869999999999997,-9.869999999999997,3196303,7227792,867812,6359980,2481990
2016-01-10,48.192,49.15,46.96,2.1899999999999977,-1.5700000000000003,48.552,49.51,47.59,1.9199999999999946,-1.9199999999999946,46.67,47.69,45.51,2.1799999999999997,-2.1799999999999997,47.516,48.53,46.55,1.980000000000004,-1.980000000000004,1474076,1947580,1118377,829203,-645047
2016-01-17,45.7275,46.75,43.78,2.969999999999999,-0.38000000000000256,46.98,47.49,46.58,0.9100000000000037,-0.8300000000000054,44.5475,45.52,43.53,1.990000000000002,1.9699999999999989,45.5075,46.01,44.55,1.4600000000000009,1.1099999999999994,1733602,2949853,855697,2094156,-1058240
2016-01-24,44.128,45.49,41.68,3.8100000000000023,-3.8100000000000023,44.708,45.82,42.99,2.8299999999999983,-2.460000000000001,43.022,44.8,40.45,4.349999999999994,-3.1999999999999957,43.902,45.49,41.53,3.960000000000001,-1.9299999999999997,1866571,2959360,1095239,1864121,1198809
2016-01-31,44.428,46.22,42.91,3.3100000000000023,3.3100000000000023,45.83,46.94,44.68,2.259999999999998,1.009999999999998,43.686,45.48,42.51,2.969999999999999,2.969999999999999,45.044,46.4,43.46,2.9399999999999977,0.6099999999999994,3330919,3441479,3190793,250686,-104239
2016-02-07,45.833999999999996,47.15,44.33,2.8200000000000003,1.8599999999999994,47.458,48.42,46.83,1.5900000000000034,1.5900000000000034,45.36,46.35,44.03,2.3200000000000003,1.8400000000000034,46.564,48.16,44.71,3.4499999999999957,3.4499999999999957,2415925,3913478,1555296,2358182,-1958644
2016-02-14,49.3175,49.62,48.59,1.029999999999994,1.029999999999994,50.2275,50.88,49.62,1.2600000000000051,-0.2700000000000031,48.582499999999996,49.33,47.39,1.9399999999999977,-1.009999999999998,49.195,49.95,47.94,2.010000000000005,-1.2899999999999991,1795625,2229764,1527484,702280,-250565
2016-02-21,50.436,52.11,48.75,3.3599999999999994,3.3599999999999994,51.8,52.5,50.11,2.3900000000000006,2.3900000000000006,49.976,51.15,48.75,2.3999999999999986,2.3999999999999986,51.028,51.94,49.83,2.1099999999999994,1.8299999999999983,1648911,2046556,1266226,780330,-604132
2016-02-28,52.418,53.23,51.52,1.7099999999999937,1.3599999999999994,53.21,53.8,52.43,1.3699999999999974,1.3200000000000003,51.646,52.48,51.13,1.3499999999999943,1.0599999999999952,52.25,52.98,51.47,1.509999999999998,1.25,1691392,2490203,1209873,1280330,78528
2016-03-06,50.897999999999996,52.4,49.98,2.4200000000000017,-1.9200000000000017,51.358,53.05,50.3,2.75,-1.8599999999999994,50.088,52.4,49.06,3.3399999999999963,-2.280000000000001,50.716,52.85,49.52,3.3299999999999983,-1.740000000000002,1217066,2260198,857745,1402453,-11767
