Date,PowerShares Nasdaq Internet_etf_Open_average,PowerShares Nasdaq Internet_etf_Open_max,PowerShares Nasdaq Internet_etf_Open_min,PowerShares Nasdaq Internet_etf_Open_volatility,PowerShares Nasdaq Internet_etf_Open_change,PowerShares Nasdaq Internet_etf_High_average,PowerShares Nasdaq Internet_etf_High_max,PowerShares Nasdaq Internet_etf_High_min,PowerShares Nasdaq Internet_etf_High_volatility,PowerShares Nasdaq Internet_etf_High_change,PowerShares Nasdaq Internet_etf_Low_average,PowerShares Nasdaq Internet_etf_Low_max,PowerShares Nasdaq Internet_etf_Low_min,PowerShares Nasdaq Internet_etf_Low_volatility,PowerShares Nasdaq Internet_etf_Low_change,PowerShares Nasdaq Internet_etf_Close_average,PowerShares Nasdaq Internet_etf_Close_max,PowerShares Nasdaq Internet_etf_Close_min,PowerShares Nasdaq Internet_etf_Close_volatility,PowerShares Nasdaq Internet_etf_Close_change
2016-01-03,74.96,74.96,74.96,0.0,0.0,75.39,75.39,75.39,0.0,0.0,73.35,73.35,73.35,0.0,0.0,73.35,73.35,73.35,0.0,0.0
2016-01-10,70.19,70.19,70.19,0.0,0.0,70.75,70.75,70.75,0.0,0.0,69.0,69.0,69.0,0.0,0.0,70.11,70.11,70.11,0.0,0.0
2016-01-17,71.49,71.49,71.49,0.0,0.0,72.07,72.07,72.07,0.0,0.0,71.11,71.11,71.11,0.0,0.0,71.65,71.65,71.65,0.0,0.0
2016-01-24,69.98,69.98,69.98,0.0,0.0,71.11,71.11,71.11,0.0,0.0,69.92,69.92,69.92,0.0,0.0,71.02,71.02,71.02,0.0,0.0
2016-01-31,68.69,68.69,68.69,0.0,0.0,68.69,68.69,68.69,0.0,0.0,65.23,65.23,65.23,0.0,0.0,65.37,65.37,65.37,0.0,0.0
2016-02-07,65.33,65.33,65.33,0.0,0.0,66.04,66.04,66.04,0.0,0.0,65.33,65.33,65.33,0.0,0.0,65.87,65.87,65.87,0.0,0.0
2016-02-14,69.73,69.73,69.73,0.0,0.0,70.89,70.89,70.89,0.0,0.0,69.55,69.55,69.55,0.0,0.0,70.77,70.77,70.77,0.0,0.0
2016-02-21,71.98,71.98,71.98,0.0,0.0,71.98,71.98,71.98,0.0,0.0,71.98,71.98,71.98,0.0,0.0,71.98,71.98,71.98,0.0,0.0
2016-02-28,73.97,73.97,73.97,0.0,0.0,74.69,74.69,74.69,0.0,0.0,73.58,73.58,73.58,0.0,0.0,74.21,74.21,74.21,0.0,0.0
2016-03-06,72.94,72.94,72.94,0.0,0.0,74.25,74.25,74.25,0.0,0.0,72.94,72.94,72.94,0.0,0.0,74.24,74.24,74.24,0.0,0.0
2016-03-13,75.1,75.1,75.1,0.0,0.0,75.19,75.19,75.19,0.0,0.0,74.6,74.6,74.6,0.0,0.0,74.86,74.86,74.86,0.0,0.0
2016-03-20,73.5,73.5,73.5,0.0,0.0,74.42,74.42,74.42,0.0,0.0,73.5,73.5,73.5,0.0,0.0,74.42,74.42,74.42,0.0,0.0
2016-03-27,75.11,75.11,75.11,0.0,0.0,76.13,76.13,76.13,0.0,0.0,75.11,75.11,75.11,0.0,0.0,76.09,76.09,76.09,0.0,0.0
2016-04-03,75.74,75.74,75.74,0.0,0.0,75.74,75.74,75.74,0.0,0.0,74.63,74.63,74.63,0.0,0.0,74.92,74.92,74.92,0.0,0.0
2016-04-10,77.39,77.39,77.39,0.0,0.0,77.55,77.55,77.55,0.0,0.0,77.21,77.21,77.21,0.0,0.0,77.46,77.46,77.46,0.0,0.0
2016-04-17,76.85,76.85,76.85,0.0,0.0,77.17,77.17,77.17,0.0,0.0,75.93,75.93,75.93,0.0,0.0,76.55,76.55,76.55,0.0,0.0
2016-04-24,76.63,76.63,76.63,0.0,0.0,76.83,76.83,76.83,0.0,0.0,75.95,75.95,75.95,0.0,0.0,76.44,76.44,76.44,0.0,0.0
2016-05-01,74.52,74.52,74.52,0.0,0.0,75.38,75.38,75.38,0.0,0.0,74.31,74.31,74.31,0.0,0.0,75.35,75.35,75.35,0.0,0.0
2016-05-08,75.03,75.03,75.03,0.0,0.0,75.38,75.38,75.38,0.0,0.0,74.82,74.82,74.82,0.0,0.0,74.97,74.97,74.97,0.0,0.0
2016-05-15,75.01,75.01,75.01,0.0,0.0,75.73,75.73,75.73,0.0,0.0,74.99,74.99,74.99,0.0,0.0,75.49,75.49,75.49,0.0,0.0
2016-05-22,77.72,77.72,77.72,0.0,0.0,78.72,78.72,78.72,0.0,0.0,77.72,77.72,77.72,0.0,0.0,78.72,78.72,78.72,0.0,0.0
2016-05-29,78.56,78.56,78.56,0.0,0.0,78.56,78.56,78.56,0.0,0.0,77.89,77.89,77.89,0.0,0.0,78.26,78.26,78.26,0.0,0.0
2016-06-05,77.31,77.31,77.31,0.0,0.0,77.33,77.33,77.33,0.0,0.0,76.36,76.36,76.36,0.0,0.0,76.56,76.56,76.56,0.0,0.0
2016-06-12,76.56,76.56,76.56,0.0,0.0,76.56,76.56,76.56,0.0,0.0,75.48,75.48,75.48,0.0,0.0,75.62,75.62,75.62,0.0,0.0
2016-06-19,75.0,75.0,75.0,0.0,0.0,76.06,76.06,76.06,0.0,0.0,74.34,74.34,74.34,0.0,0.0,74.78,74.78,74.78,0.0,0.0
2016-06-26,76.86,76.86,76.86,0.0,0.0,77.56,77.56,77.56,0.0,0.0,76.8,76.8,76.8,0.0,0.0,77.16,77.16,77.16,0.0,0.0
2016-07-03,77.45,77.45,77.45,0.0,0.0,78.33,78.33,78.33,0.0,0.0,77.45,77.45,77.45,0.0,0.0,78.05,78.05,78.05,0.0,0.0
2016-07-10,79.71,79.71,79.71,0.0,0.0,79.72,79.72,79.72,0.0,0.0,79.19,79.19,79.19,0.0,0.0,79.35,79.35,79.35,0.0,0.0
2016-07-17,80.07,80.07,80.07,0.0,0.0,80.51,80.51,80.51,0.0,0.0,79.97,79.97,79.97,0.0,0.0,80.44,80.44,80.44,0.0,0.0
2016-07-24,81.23,81.23,81.23,0.0,0.0,81.39,81.39,81.39,0.0,0.0,80.65,80.65,80.65,0.0,0.0,81.06,81.06,81.06,0.0,0.0
2016-07-31,82.13,82.13,82.13,0.0,0.0,82.9,82.9,82.9,0.0,0.0,82.08,82.08,82.08,0.0,0.0,82.6,82.6,82.6,0.0,0.0
2016-08-07,83.78,83.78,83.78,0.0,0.0,84.23,84.23,84.23,0.0,0.0,83.64,83.64,83.64,0.0,0.0,84.18,84.18,84.18,0.0,0.0
2016-08-14,83.86,83.86,83.86,0.0,0.0,84.2,84.2,84.2,0.0,0.0,83.86,83.86,83.86,0.0,0.0,84.09,84.09,84.09,0.0,0.0
2016-08-21,84.0,84.0,84.0,0.0,0.0,84.7,84.7,84.7,0.0,0.0,83.88,83.88,83.88,0.0,0.0,84.36,84.36,84.36,0.0,0.0
2016-08-28,85.87,85.87,85.87,0.0,0.0,86.19,86.19,86.19,0.0,0.0,85.65,85.65,85.65,0.0,0.0,85.74,85.74,85.74,0.0,0.0
2016-09-04,85.9,85.9,85.9,0.0,0.0,85.94,85.94,85.94,0.0,0.0,84.6,84.6,84.6,0.0,0.0,84.66,84.66,84.66,0.0,0.0
2016-09-11,85.65,85.65,85.65,0.0,0.0,85.7,85.7,85.7,0.0,0.0,85.36,85.36,85.36,0.0,0.0,85.42,85.42,85.42,0.0,0.0
