Date,ETFS Physical Precious Metal Basket SharesEtf_Open_average,ETFS Physical Precious Metal Basket SharesEtf_Open_max,ETFS Physical Precious Metal Basket SharesEtf_Open_min,ETFS Physical Precious Metal Basket SharesEtf_Open_volatility,ETFS Physical Precious Metal Basket SharesEtf_Open_change,ETFS Physical Precious Metal Basket SharesEtf_High_average,ETFS Physical Precious Metal Basket SharesEtf_High_max,ETFS Physical Precious Metal Basket SharesEtf_High_min,ETFS Physical Precious Metal Basket SharesEtf_High_volatility,ETFS Physical Precious Metal Basket SharesEtf_High_change,ETFS Physical Precious Metal Basket SharesEtf_Low_average,ETFS Physical Precious Metal Basket SharesEtf_Low_max,ETFS Physical Precious Metal Basket SharesEtf_Low_min,ETFS Physical Precious Metal Basket SharesEtf_Low_volatility,ETFS Physical Precious Metal Basket SharesEtf_Low_change,ETFS Physical Precious Metal Basket SharesEtf_Close_average,ETFS Physical Precious Metal Basket SharesEtf_Close_max,ETFS Physical Precious Metal Basket SharesEtf_Close_min,ETFS Physical Precious Metal Basket SharesEtf_Close_volatility,ETFS Physical Precious Metal Basket SharesEtf_Close_change
2016-01-03,53.45,53.45,53.45,0.0,0.0,53.45,53.45,53.45,0.0,0.0,53.02,53.02,53.02,0.0,0.0,53.22,53.22,53.22,0.0,0.0
2016-01-10,53.06,53.06,53.06,0.0,0.0,53.06,53.06,53.06,0.0,0.0,52.46,52.46,52.46,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2016-01-17,53.14,53.14,53.14,0.0,0.0,53.45,53.45,53.45,0.0,0.0,52.88,52.88,52.88,0.0,0.0,52.93,52.93,52.93,0.0,0.0
2016-01-24,53.82,53.82,53.82,0.0,0.0,53.99,53.99,53.99,0.0,0.0,53.71,53.71,53.71,0.0,0.0,53.93,53.93,53.93,0.0,0.0
2016-01-31,55.49,55.49,55.49,0.0,0.0,56.6,56.6,56.6,0.0,0.0,55.41,55.41,55.41,0.0,0.0,56.6,56.6,56.6,0.0,0.0
2016-02-07,59.38,59.38,59.38,0.0,0.0,59.6,59.6,59.6,0.0,0.0,59.23,59.23,59.23,0.0,0.0,59.49,59.49,59.49,0.0,0.0
2016-02-14,58.59,58.59,58.59,0.0,0.0,58.8,58.8,58.8,0.0,0.0,58.49,58.49,58.49,0.0,0.0,58.62,58.62,58.62,0.0,0.0
2016-02-21,58.12,58.12,58.12,0.0,0.0,58.17,58.17,58.17,0.0,0.0,57.37,57.37,57.37,0.0,0.0,57.6,57.6,57.6,0.0,0.0
2016-02-28,60.08,60.08,60.08,0.0,0.0,60.74,60.74,60.74,0.0,0.0,60.0,60.0,60.0,0.0,0.0,60.21,60.21,60.21,0.0,0.0
2016-03-06,60.61,60.61,60.61,0.0,0.0,60.65,60.65,60.65,0.0,0.0,59.91,59.91,59.91,0.0,0.0,59.91,59.91,59.91,0.0,0.0
