Date,Direxion Daily S&P 500 Bull 3X Shares_etf_Open_average,Direxion Daily S&P 500 Bull 3X Shares_etf_Open_max,Direxion Daily S&P 500 Bull 3X Shares_etf_Open_min,Direxion Daily S&P 500 Bull 3X Shares_etf_Open_volatility,Direxion Daily S&P 500 Bull 3X Shares_etf_Open_change,Direxion Daily S&P 500 Bull 3X Shares_etf_High_average,Direxion Daily S&P 500 Bull 3X Shares_etf_High_max,Direxion Daily S&P 500 Bull 3X Shares_etf_High_min,Direxion Daily S&P 500 Bull 3X Shares_etf_High_volatility,Direxion Daily S&P 500 Bull 3X Shares_etf_High_change,Direxion Daily S&P 500 Bull 3X Shares_etf_Low_average,Direxion Daily S&P 500 Bull 3X Shares_etf_Low_max,Direxion Daily S&P 500 Bull 3X Shares_etf_Low_min,Direxion Daily S&P 500 Bull 3X Shares_etf_Low_volatility,Direxion Daily S&P 500 Bull 3X Shares_etf_Low_change,Direxion Daily S&P 500 Bull 3X Shares_etf_Close_average,Direxion Daily S&P 500 Bull 3X Shares_etf_Close_max,Direxion Daily S&P 500 Bull 3X Shares_etf_Close_min,Direxion Daily S&P 500 Bull 3X Shares_etf_Close_volatility,Direxion Daily S&P 500 Bull 3X Shares_etf_Close_change
2016-01-03,18.08,18.08,18.08,0.0,0.0,18.27,18.27,18.27,0.0,0.0,17.11,17.11,17.11,0.0,0.0,17.2,17.2,17.2,0.0,0.0
2016-01-10,15.75,15.75,15.75,0.0,0.0,16.29,16.29,16.29,0.0,0.0,15.43,15.43,15.43,0.0,0.0,16.03,16.03,16.03,0.0,0.0
2016-01-17,16.52,16.52,16.52,0.0,0.0,16.76,16.76,16.76,0.0,0.0,16.29,16.29,16.29,0.0,0.0,16.68,16.68,16.68,0.0,0.0
2016-01-24,16.52,16.52,16.52,0.0,0.0,17.49,17.49,17.49,0.0,0.0,16.49,16.49,16.49,0.0,0.0,17.47,17.47,17.47,0.0,0.0
2016-01-31,16.75,16.75,16.75,0.0,0.0,16.75,16.75,16.75,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.92,15.92,15.92,0.0,0.0
2016-02-07,15.16,15.16,15.16,0.0,0.0,15.56,15.56,15.56,0.0,0.0,14.91,14.91,14.91,0.0,0.0,15.55,15.55,15.55,0.0,0.0
2016-02-14,16.68,16.68,16.68,0.0,0.0,16.94,16.94,16.94,0.0,0.0,16.48,16.48,16.48,0.0,0.0,16.91,16.91,16.91,0.0,0.0
2016-02-21,18.12,18.12,18.12,0.0,0.0,18.13,18.13,18.13,0.0,0.0,17.64,17.64,17.64,0.0,0.0,17.7,17.7,17.7,0.0,0.0
2016-02-28,19.02,19.02,19.02,0.0,0.0,19.4,19.4,19.4,0.0,0.0,18.74,18.74,18.74,0.0,0.0,19.14,19.14,19.14,0.0,0.0
2016-03-06,19.36,19.36,19.36,0.0,0.0,19.8,19.8,19.8,0.0,0.0,19.33,19.33,19.33,0.0,0.0,19.78,19.78,19.78,0.0,0.0
2016-03-13,20.55,20.55,20.55,0.0,0.0,20.69,20.69,20.69,0.0,0.0,20.4,20.4,20.4,0.0,0.0,20.56,20.56,20.56,0.0,0.0
2016-03-20,19.85,19.85,19.85,0.0,0.0,20.2,20.2,20.2,0.0,0.0,19.77,19.77,19.77,0.0,0.0,20.2,20.2,20.2,0.0,0.0
2016-03-27,20.5,20.5,20.5,0.0,0.0,21.39,21.39,21.39,0.0,0.0,20.43,20.43,20.43,0.0,0.0,21.3,21.3,21.3,0.0,0.0
2016-04-03,20.8,20.8,20.8,0.0,0.0,20.95,20.95,20.95,0.0,0.0,20.36,20.36,20.36,0.0,0.0,20.56,20.56,20.56,0.0,0.0
2016-04-10,21.6,21.6,21.6,0.0,0.0,21.64,21.64,21.64,0.0,0.0,21.41,21.41,21.41,0.0,0.0,21.53,21.53,21.53,0.0,0.0
2016-04-17,21.76,21.76,21.76,0.0,0.0,21.98,21.98,21.98,0.0,0.0,21.56,21.56,21.56,0.0,0.0,21.9,21.9,21.9,0.0,0.0
2016-04-24,21.17,21.17,21.17,0.0,0.0,21.3,21.3,21.3,0.0,0.0,20.66,20.66,20.66,0.0,0.0,21.06,21.06,21.06,0.0,0.0
2016-05-01,20.36,20.36,20.36,0.0,0.0,20.86,20.86,20.86,0.0,0.0,20.3,20.3,20.3,0.0,0.0,20.85,20.85,20.85,0.0,0.0
2016-05-08,20.96,20.96,20.96,0.0,0.0,21.16,21.16,21.16,0.0,0.0,20.42,20.42,20.42,0.0,0.0,20.52,20.52,20.52,0.0,0.0
2016-05-15,20.57,20.57,20.57,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.54,20.54,20.54,0.0,0.0,20.7,20.7,20.7,0.0,0.0
2016-05-22,21.95,21.95,21.95,0.0,0.0,22.16,22.16,22.16,0.0,0.0,21.93,21.93,21.93,0.0,0.0,22.15,22.15,22.15,0.0,0.0
2016-05-29,22.17,22.17,22.17,0.0,0.0,22.3,22.3,22.3,0.0,0.0,21.72,21.72,21.72,0.0,0.0,22.18,22.18,22.18,0.0,0.0
2016-06-05,22.2,22.2,22.2,0.0,0.0,22.34,22.34,22.34,0.0,0.0,21.88,21.88,21.88,0.0,0.0,22.1,22.1,22.1,0.0,0.0
2016-06-12,21.5,21.5,21.5,0.0,0.0,21.5,21.5,21.5,0.0,0.0,21.07,21.07,21.07,0.0,0.0,21.3,21.3,21.3,0.0,0.0
2016-06-19,20.29,20.29,20.29,0.0,0.0,21.37,21.37,21.37,0.0,0.0,20.03,20.03,20.03,0.0,0.0,20.18,20.18,20.18,0.0,0.0
2016-06-26,21.98,21.98,21.98,0.0,0.0,22.34,22.34,22.34,0.0,0.0,21.98,21.98,21.98,0.0,0.0,22.11,22.11,22.11,0.0,0.0
2016-07-03,22.5,22.5,22.5,0.0,0.0,23.09,23.09,23.09,0.0,0.0,22.41,22.41,22.41,0.0,0.0,23.01,23.01,23.01,0.0,0.0
2016-07-10,24.37,24.37,24.37,0.0,0.0,24.37,24.37,24.37,0.0,0.0,23.86,23.86,23.86,0.0,0.0,24.02,24.02,24.02,0.0,0.0
2016-07-17,24.25,24.25,24.25,0.0,0.0,24.51,24.51,24.51,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.48,24.48,24.48,0.0,0.0
2016-07-24,24.23,24.23,24.23,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2016-07-31,24.46,24.46,24.46,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.78,24.78,24.78,0.0,0.0
2016-08-07,24.81,24.81,24.81,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.86,24.86,24.86,0.0,0.0
