Date,Vanguard Short-Term Corporate BondEtf_Open_average,Vanguard Short-Term Corporate BondEtf_Open_max,Vanguard Short-Term Corporate BondEtf_Open_min,Vanguard Short-Term Corporate BondEtf_Open_volatility,Vanguard Short-Term Corporate BondEtf_Open_change,Vanguard Short-Term Corporate BondEtf_High_average,Vanguard Short-Term Corporate BondEtf_High_max,Vanguard Short-Term Corporate BondEtf_High_min,Vanguard Short-Term Corporate BondEtf_High_volatility,Vanguard Short-Term Corporate BondEtf_High_change,Vanguard Short-Term Corporate BondEtf_Low_average,Vanguard Short-Term Corporate BondEtf_Low_max,Vanguard Short-Term Corporate BondEtf_Low_min,Vanguard Short-Term Corporate BondEtf_Low_volatility,Vanguard Short-Term Corporate BondEtf_Low_change,Vanguard Short-Term Corporate BondEtf_Close_average,Vanguard Short-Term Corporate BondEtf_Close_max,Vanguard Short-Term Corporate BondEtf_Close_min,Vanguard Short-Term Corporate BondEtf_Close_volatility,Vanguard Short-Term Corporate BondEtf_Close_change
2016-01-03,79.02,79.02,79.02,0.0,0.0,79.1,79.1,79.1,0.0,0.0,78.98,78.98,78.98,0.0,0.0,79.0,79.0,79.0,0.0,0.0
2016-01-10,79.2,79.2,79.2,0.0,0.0,79.2,79.2,79.2,0.0,0.0,79.03,79.03,79.03,0.0,0.0,79.08,79.08,79.08,0.0,0.0
2016-01-17,79.0,79.0,79.0,0.0,0.0,79.09,79.09,79.09,0.0,0.0,78.96,78.96,78.96,0.0,0.0,79.04,79.04,79.04,0.0,0.0
2016-01-24,79.15,79.15,79.15,0.0,0.0,79.21,79.21,79.21,0.0,0.0,79.08,79.08,79.08,0.0,0.0,79.15,79.15,79.15,0.0,0.0
2016-01-31,79.03,79.03,79.03,0.0,0.0,79.05,79.05,79.05,0.0,0.0,78.93,78.93,78.93,0.0,0.0,79.03,79.03,79.03,0.0,0.0
2016-02-07,78.92,78.92,78.92,0.0,0.0,79.0,79.0,79.0,0.0,0.0,78.83,78.83,78.83,0.0,0.0,78.84,78.84,78.84,0.0,0.0
2016-02-14,78.95,78.95,78.95,0.0,0.0,79.0,79.0,79.0,0.0,0.0,78.9,78.9,78.9,0.0,0.0,78.94,78.94,78.94,0.0,0.0
2016-02-21,79.26,79.26,79.26,0.0,0.0,79.26,79.26,79.26,0.0,0.0,79.26,79.26,79.26,0.0,0.0,79.26,79.26,79.26,0.0,0.0
2016-02-28,78.91,78.91,78.91,0.0,0.0,79.08,79.08,79.08,0.0,0.0,78.86,78.86,78.86,0.0,0.0,78.97,78.97,78.97,0.0,0.0
2016-03-06,79.16,79.16,79.16,0.0,0.0,79.19,79.19,79.19,0.0,0.0,79.09,79.09,79.09,0.0,0.0,79.14,79.14,79.14,0.0,0.0
2016-03-13,79.65,79.65,79.65,0.0,0.0,79.71,79.71,79.71,0.0,0.0,79.58,79.58,79.58,0.0,0.0,79.61,79.61,79.61,0.0,0.0
2016-03-20,79.7,79.7,79.7,0.0,0.0,79.74,79.74,79.74,0.0,0.0,79.63,79.63,79.63,0.0,0.0,79.67,79.67,79.67,0.0,0.0
2016-03-27,79.75,79.75,79.75,0.0,0.0,79.96,79.96,79.96,0.0,0.0,79.72,79.72,79.72,0.0,0.0,79.96,79.96,79.96,0.0,0.0
2016-04-03,80.06,80.06,80.06,0.0,0.0,80.14,80.14,80.14,0.0,0.0,80.0,80.0,80.0,0.0,0.0,80.1,80.1,80.1,0.0,0.0
2016-04-10,80.12,80.12,80.12,0.0,0.0,80.2,80.2,80.2,0.0,0.0,80.07,80.07,80.07,0.0,0.0,80.2,80.2,80.2,0.0,0.0
2016-04-17,80.22,80.22,80.22,0.0,0.0,80.26,80.26,80.26,0.0,0.0,80.16,80.16,80.16,0.0,0.0,80.16,80.16,80.16,0.0,0.0
2016-04-24,80.12,80.12,80.12,0.0,0.0,80.21,80.21,80.21,0.0,0.0,80.12,80.12,80.12,0.0,0.0,80.19,80.19,80.19,0.0,0.0
2016-05-01,80.24,80.24,80.24,0.0,0.0,80.29,80.29,80.29,0.0,0.0,80.16,80.16,80.16,0.0,0.0,80.21,80.21,80.21,0.0,0.0
2016-05-08,80.23,80.23,80.23,0.0,0.0,80.23,80.23,80.23,0.0,0.0,80.15,80.15,80.15,0.0,0.0,80.18,80.18,80.18,0.0,0.0
2016-05-15,80.01,80.01,80.01,0.0,0.0,80.07,80.07,80.07,0.0,0.0,79.91,79.91,79.91,0.0,0.0,79.98,79.98,79.98,0.0,0.0
2016-05-22,80.07,80.07,80.07,0.0,0.0,80.07,80.07,80.07,0.0,0.0,79.82,79.82,79.82,0.0,0.0,79.92,79.92,79.92,0.0,0.0
2016-05-29,80.04,80.04,80.04,0.0,0.0,80.25,80.25,80.25,0.0,0.0,80.04,80.04,80.04,0.0,0.0,80.25,80.25,80.25,0.0,0.0
2016-06-05,80.34,80.34,80.34,0.0,0.0,80.39,80.39,80.39,0.0,0.0,80.28,80.28,80.28,0.0,0.0,80.38,80.38,80.38,0.0,0.0
2016-06-12,80.52,80.52,80.52,0.0,0.0,80.53,80.53,80.53,0.0,0.0,80.36,80.36,80.36,0.0,0.0,80.42,80.42,80.42,0.0,0.0
2016-06-19,80.39,80.39,80.39,0.0,0.0,80.66,80.66,80.66,0.0,0.0,80.39,80.39,80.39,0.0,0.0,80.63,80.63,80.63,0.0,0.0
