Date,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Open_average,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Open_max,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Open_min,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Open_volatility,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Open_change,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_High_average,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_High_max,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_High_min,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_High_volatility,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_High_change,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Low_average,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Low_max,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Low_min,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Low_volatility,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Low_change,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Close_average,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Close_max,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Close_min,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Close_volatility,PowerShares KBW Premium Yield Equity REIT PortfoliEtf_Close_change
2016-01-03,29.99,29.99,29.99,0.0,0.0,29.99,29.99,29.99,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.29,29.29,29.29,0.0,0.0
2016-01-10,28.01,28.01,28.01,0.0,0.0,28.01,28.01,28.01,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.89,27.89,27.89,0.0,0.0
2016-01-17,27.63,27.63,27.63,0.0,0.0,28.34,28.34,28.34,0.0,0.0,27.63,27.63,27.63,0.0,0.0,28.23,28.23,28.23,0.0,0.0
2016-01-24,28.29,28.29,28.29,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.75,28.75,28.75,0.0,0.0
2016-01-31,28.74,28.74,28.74,0.0,0.0,28.89,28.89,28.89,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.68,28.68,28.68,0.0,0.0
2016-02-07,26.78,26.78,26.78,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.82,26.82,26.82,0.0,0.0
2016-02-14,28.24,28.24,28.24,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.11,28.11,28.11,0.0,0.0,28.31,28.31,28.31,0.0,0.0
2016-02-21,29.24,29.24,29.24,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.21,29.21,29.21,0.0,0.0
2016-02-28,30.89,30.89,30.89,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.66,30.66,30.66,0.0,0.0
2016-03-06,30.56,30.56,30.56,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.56,30.56,30.56,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2016-03-13,31.67,31.67,31.67,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.45,31.45,31.45,0.0,0.0
2016-03-20,30.85,30.85,30.85,0.0,0.0,31.16,31.16,31.16,0.0,0.0,30.53,30.53,30.53,0.0,0.0,31.11,31.11,31.11,0.0,0.0
2016-03-27,32.31,32.31,32.31,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.47,32.47,32.47,0.0,0.0
