Date,iShares MSCI Germany Small-CapEtf_Open_average,iShares MSCI Germany Small-CapEtf_Open_max,iShares MSCI Germany Small-CapEtf_Open_min,iShares MSCI Germany Small-CapEtf_Open_volatility,iShares MSCI Germany Small-CapEtf_Open_change,iShares MSCI Germany Small-CapEtf_High_average,iShares MSCI Germany Small-CapEtf_High_max,iShares MSCI Germany Small-CapEtf_High_min,iShares MSCI Germany Small-CapEtf_High_volatility,iShares MSCI Germany Small-CapEtf_High_change,iShares MSCI Germany Small-CapEtf_Low_average,iShares MSCI Germany Small-CapEtf_Low_max,iShares MSCI Germany Small-CapEtf_Low_min,iShares MSCI Germany Small-CapEtf_Low_volatility,iShares MSCI Germany Small-CapEtf_Low_change,iShares MSCI Germany Small-CapEtf_Close_average,iShares MSCI Germany Small-CapEtf_Close_max,iShares MSCI Germany Small-CapEtf_Close_min,iShares MSCI Germany Small-CapEtf_Close_volatility,iShares MSCI Germany Small-CapEtf_Close_change
2016-01-03,39.34,39.34,39.34,0.0,0.0,39.37,39.37,39.37,0.0,0.0,38.89,38.89,38.89,0.0,0.0,38.89,38.89,38.89,0.0,0.0
2016-01-10,37.3,37.3,37.3,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.06,37.06,37.06,0.0,0.0,37.29,37.29,37.29,0.0,0.0
2016-01-17,37.71,37.71,37.71,0.0,0.0,37.91,37.91,37.91,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.89,37.89,37.89,0.0,0.0
2016-01-24,38.29,38.29,38.29,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.25,38.25,38.25,0.0,0.0,38.46,38.46,38.46,0.0,0.0
2016-01-31,37.67,37.67,37.67,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.67,37.67,37.67,0.0,0.0
2016-02-07,36.46,36.46,36.46,0.0,0.0,36.77,36.77,36.77,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.77,36.77,36.77,0.0,0.0
2016-02-14,38.34,38.34,38.34,0.0,0.0,38.45,38.45,38.45,0.0,0.0,38.34,38.34,38.34,0.0,0.0,38.45,38.45,38.45,0.0,0.0
2016-02-21,38.04,38.04,38.04,0.0,0.0,38.09,38.09,38.09,0.0,0.0,37.94,37.94,37.94,0.0,0.0,37.94,37.94,37.94,0.0,0.0
2016-02-28,39.69,39.69,39.69,0.0,0.0,39.86,39.86,39.86,0.0,0.0,39.69,39.69,39.69,0.0,0.0,39.86,39.86,39.86,0.0,0.0
2016-03-06,39.43,39.43,39.43,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.43,39.43,39.43,0.0,0.0,39.98,39.98,39.98,0.0,0.0
2016-03-13,40.81,40.81,40.81,0.0,0.0,40.92,40.92,40.92,0.0,0.0,40.8,40.8,40.8,0.0,0.0,40.9,40.9,40.9,0.0,0.0
2016-03-20,40.45,40.45,40.45,0.0,0.0,40.49,40.49,40.49,0.0,0.0,40.45,40.45,40.45,0.0,0.0,40.48,40.48,40.48,0.0,0.0
2016-03-27,42.07,42.07,42.07,0.0,0.0,42.08,42.08,42.08,0.0,0.0,42.07,42.07,42.07,0.0,0.0,42.08,42.08,42.08,0.0,0.0
2016-04-03,41.5,41.5,41.5,0.0,0.0,41.82,41.82,41.82,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.72,41.72,41.72,0.0,0.0
2016-04-10,41.68,41.68,41.68,0.0,0.0,41.68,41.68,41.68,0.0,0.0,41.49,41.49,41.49,0.0,0.0,41.54,41.54,41.54,0.0,0.0
2016-04-17,41.57,41.57,41.57,0.0,0.0,41.57,41.57,41.57,0.0,0.0,41.27,41.27,41.27,0.0,0.0,41.39,41.39,41.39,0.0,0.0
2016-04-24,41.95,41.95,41.95,0.0,0.0,42.14,42.14,42.14,0.0,0.0,41.93,41.93,41.93,0.0,0.0,42.08,42.08,42.08,0.0,0.0
2016-05-01,41.77,41.77,41.77,0.0,0.0,41.77,41.77,41.77,0.0,0.0,41.63,41.63,41.63,0.0,0.0,41.63,41.63,41.63,0.0,0.0
2016-05-08,41.71,41.71,41.71,0.0,0.0,41.77,41.77,41.77,0.0,0.0,41.71,41.71,41.71,0.0,0.0,41.71,41.71,41.71,0.0,0.0
2016-05-15,42.04,42.04,42.04,0.0,0.0,42.19,42.19,42.19,0.0,0.0,42.04,42.04,42.04,0.0,0.0,42.1,42.1,42.1,0.0,0.0
2016-05-22,43.02,43.02,43.02,0.0,0.0,43.02,43.02,43.02,0.0,0.0,42.86,42.86,42.86,0.0,0.0,43.02,43.02,43.02,0.0,0.0
2016-05-29,43.73,43.73,43.73,0.0,0.0,43.73,43.73,43.73,0.0,0.0,43.73,43.73,43.73,0.0,0.0,43.73,43.73,43.73,0.0,0.0
2016-06-05,42.51,42.51,42.51,0.0,0.0,42.57,42.57,42.57,0.0,0.0,42.14,42.14,42.14,0.0,0.0,42.2,42.2,42.2,0.0,0.0
2016-06-12,41.17,41.17,41.17,0.0,0.0,41.52,41.52,41.52,0.0,0.0,41.14,41.14,41.14,0.0,0.0,41.52,41.52,41.52,0.0,0.0
2016-06-19,40.3,40.3,40.3,0.0,0.0,40.33,40.33,40.33,0.0,0.0,39.95,39.95,39.95,0.0,0.0,40.0,40.0,40.0,0.0,0.0
2016-06-26,40.5,40.5,40.5,0.0,0.0,40.5,40.5,40.5,0.0,0.0,40.5,40.5,40.5,0.0,0.0,40.5,40.5,40.5,0.0,0.0
2016-07-03,39.6,39.6,39.6,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.6,39.6,39.6,0.0,0.0
