Date,ProShares UltraShort Gold_etf_Open_average,ProShares UltraShort Gold_etf_Open_max,ProShares UltraShort Gold_etf_Open_min,ProShares UltraShort Gold_etf_Open_volatility,ProShares UltraShort Gold_etf_Open_change,ProShares UltraShort Gold_etf_High_average,ProShares UltraShort Gold_etf_High_max,ProShares UltraShort Gold_etf_High_min,ProShares UltraShort Gold_etf_High_volatility,ProShares UltraShort Gold_etf_High_change,ProShares UltraShort Gold_etf_Low_average,ProShares UltraShort Gold_etf_Low_max,ProShares UltraShort Gold_etf_Low_min,ProShares UltraShort Gold_etf_Low_volatility,ProShares UltraShort Gold_etf_Low_change,ProShares UltraShort Gold_etf_Close_average,ProShares UltraShort Gold_etf_Close_max,ProShares UltraShort Gold_etf_Close_min,ProShares UltraShort Gold_etf_Close_volatility,ProShares UltraShort Gold_etf_Close_change
2016-01-03,106.85,106.85,106.85,0.0,0.0,107.8,107.8,107.8,0.0,0.0,106.3,106.3,106.3,0.0,0.0,106.33,106.33,106.33,0.0,0.0
2016-01-10,108.0,108.0,108.0,0.0,0.0,109.63,109.63,109.63,0.0,0.0,107.84,107.84,107.84,0.0,0.0,109.51,109.51,109.51,0.0,0.0
2016-01-17,107.46,107.46,107.46,0.0,0.0,107.96,107.96,107.96,0.0,0.0,106.56,106.56,106.56,0.0,0.0,107.23,107.23,107.23,0.0,0.0
2016-01-24,104.01,104.01,104.01,0.0,0.0,104.65,104.65,104.65,0.0,0.0,103.24,103.24,103.24,0.0,0.0,103.65,103.65,103.65,0.0,0.0
2016-01-31,97.91,97.91,97.91,0.0,0.0,98.09,98.09,98.09,0.0,0.0,93.19,93.19,93.19,0.0,0.0,93.29,93.29,93.29,0.0,0.0
2016-02-07,84.06,84.06,84.06,0.0,0.0,84.06,84.06,84.06,0.0,0.0,83.0,83.0,83.0,0.0,0.0,83.35,83.35,83.35,0.0,0.0
2016-02-14,84.84,84.84,84.84,0.0,0.0,85.16,85.16,85.16,0.0,0.0,83.78,83.78,83.78,0.0,0.0,84.34,84.34,84.34,0.0,0.0
2016-02-21,84.57,84.57,84.57,0.0,0.0,86.47,86.47,86.47,0.0,0.0,84.02,84.02,84.02,0.0,0.0,84.81,84.81,84.81,0.0,0.0
2016-02-28,79.38,79.38,79.38,0.0,0.0,79.87,79.87,79.87,0.0,0.0,77.55,77.55,77.55,0.0,0.0,79.65,79.65,79.65,0.0,0.0
2016-03-06,78.89,78.89,78.89,0.0,0.0,81.1,81.1,81.1,0.0,0.0,78.82,78.82,78.82,0.0,0.0,81.1,81.1,81.1,0.0,0.0
2016-03-13,80.33,80.33,80.33,0.0,0.0,80.67,80.67,80.67,0.0,0.0,79.46,79.46,79.46,0.0,0.0,80.37,80.37,80.37,0.0,0.0
2016-03-20,84.07,84.07,84.07,0.0,0.0,84.87,84.87,84.87,0.0,0.0,83.96,83.96,83.96,0.0,0.0,84.87,84.87,84.87,0.0,0.0
2016-03-27,85.0,85.0,85.0,0.0,0.0,85.73,85.73,85.73,0.0,0.0,83.76,83.76,83.76,0.0,0.0,83.78,83.78,83.78,0.0,0.0
2016-04-03,82.17,82.17,82.17,0.0,0.0,82.17,82.17,82.17,0.0,0.0,81.05,81.05,81.05,0.0,0.0,81.4,81.4,81.4,0.0,0.0
2016-04-10,82.94,82.94,82.94,0.0,0.0,83.18,83.18,83.18,0.0,0.0,81.78,81.78,81.78,0.0,0.0,82.14,82.14,82.14,0.0,0.0
2016-04-17,80.84,80.84,80.84,0.0,0.0,82.83,82.83,82.83,0.0,0.0,80.57,80.57,80.57,0.0,0.0,82.04,82.04,82.04,0.0,0.0
2016-04-24,76.0,76.0,76.0,0.0,0.0,76.01,76.01,76.01,0.0,0.0,74.18,74.18,74.18,0.0,0.0,74.34,74.34,74.34,0.0,0.0
2016-05-01,75.55,75.55,75.55,0.0,0.0,75.6,75.6,75.6,0.0,0.0,74.3,74.3,74.3,0.0,0.0,75.2,75.2,75.2,0.0,0.0
2016-05-08,77.28,77.28,77.28,0.0,0.0,77.8,77.8,77.8,0.0,0.0,76.58,76.58,76.58,0.0,0.0,76.7,76.7,76.7,0.0,0.0
2016-05-15,78.63,78.63,78.63,0.0,0.0,79.56,79.56,79.56,0.0,0.0,78.33,78.33,78.33,0.0,0.0,79.09,79.09,79.09,0.0,0.0
2016-05-22,83.68,83.68,83.68,0.0,0.0,85.15,85.15,85.15,0.0,0.0,83.59,83.59,83.59,0.0,0.0,84.75,84.75,84.75,0.0,0.0
2016-05-29,81.0,81.0,81.0,0.0,0.0,81.11,81.11,81.11,0.0,0.0,79.91,79.91,79.91,0.0,0.0,80.02,80.02,80.02,0.0,0.0
2016-06-05,76.13,76.13,76.13,0.0,0.0,76.85,76.85,76.85,0.0,0.0,75.86,75.86,75.86,0.0,0.0,76.16,76.16,76.16,0.0,0.0
2016-06-12,74.34,74.34,74.34,0.0,0.0,74.64,74.64,74.64,0.0,0.0,73.02,73.02,73.02,0.0,0.0,73.14,73.14,73.14,0.0,0.0
2016-06-19,69.35,69.35,69.35,0.0,0.0,71.6,71.6,71.6,0.0,0.0,69.23,69.23,69.23,0.0,0.0,70.44,70.44,70.44,0.0,0.0
2016-06-26,68.49,68.49,68.49,0.0,0.0,68.82,68.82,68.82,0.0,0.0,67.7,67.7,67.7,0.0,0.0,67.7,67.7,67.7,0.0,0.0
2016-07-03,66.29,66.29,66.29,0.0,0.0,67.09,67.09,67.09,0.0,0.0,65.57,65.57,65.57,0.0,0.0,65.64,65.64,65.64,0.0,0.0
2016-07-10,70.2,70.2,70.2,0.0,0.0,70.2,70.2,70.2,0.0,0.0,68.95,68.95,68.95,0.0,0.0,69.35,69.35,69.35,0.0,0.0
2016-07-17,69.89,69.89,69.89,0.0,0.0,70.3,70.3,70.3,0.0,0.0,69.73,69.73,69.73,0.0,0.0,69.8,69.8,69.8,0.0,0.0
2016-07-24,67.7,67.7,67.7,0.0,0.0,67.95,67.95,67.95,0.0,0.0,66.55,66.55,66.55,0.0,0.0,66.66,66.66,66.66,0.0,0.0
2016-07-31,67.43,67.43,67.43,0.0,0.0,68.5,68.5,68.5,0.0,0.0,67.4,67.4,67.4,0.0,0.0,68.32,68.32,68.32,0.0,0.0
2016-08-07,66.75,66.75,66.75,0.0,0.0,68.68,68.68,68.68,0.0,0.0,66.65,66.65,66.65,0.0,0.0,68.5,68.5,68.5,0.0,0.0
2016-08-14,67.67,67.67,67.67,0.0,0.0,68.02,68.02,68.02,0.0,0.0,67.38,67.38,67.38,0.0,0.0,67.92,67.92,67.92,0.0,0.0
2016-08-21,69.1,69.1,69.1,0.0,0.0,70.23,70.23,70.23,0.0,0.0,67.66,67.66,67.66,0.0,0.0,69.91,69.91,69.91,0.0,0.0
2016-08-28,69.66,69.66,69.66,0.0,0.0,70.37,70.37,70.37,0.0,0.0,69.36,69.36,69.36,0.0,0.0,69.42,69.42,69.42,0.0,0.0
2016-09-04,68.6,68.6,68.6,0.0,0.0,68.98,68.98,68.98,0.0,0.0,68.22,68.22,68.22,0.0,0.0,68.9,68.9,68.9,0.0,0.0
2016-09-11,71.13,71.13,71.13,0.0,0.0,71.36,71.36,71.36,0.0,0.0,70.75,70.75,70.75,0.0,0.0,71.02,71.02,71.02,0.0,0.0
2016-09-18,67.95,67.95,67.95,0.0,0.0,68.18,68.18,68.18,0.0,0.0,67.8,67.8,67.8,0.0,0.0,68.14,68.14,68.14,0.0,0.0
2016-09-25,69.21,69.21,69.21,0.0,0.0,70.62,70.62,70.62,0.0,0.0,69.12,69.12,69.12,0.0,0.0,70.19,70.19,70.19,0.0,0.0
2016-10-02,75.99,75.99,75.99,0.0,0.0,78.62,78.62,78.62,0.0,0.0,75.97,75.97,75.97,0.0,0.0,77.01,77.01,77.01,0.0,0.0
2016-10-09,77.44,77.44,77.44,0.0,0.0,77.56,77.56,77.56,0.0,0.0,76.71,76.71,76.71,0.0,0.0,77.32,77.32,77.32,0.0,0.0
2016-10-16,75.47,75.47,75.47,0.0,0.0,75.97,75.97,75.97,0.0,0.0,75.47,75.47,75.47,0.0,0.0,75.6,75.6,75.6,0.0,0.0
2016-10-23,75.12,75.12,75.12,0.0,0.0,75.55,75.55,75.55,0.0,0.0,73.74,73.74,73.74,0.0,0.0,74.57,74.57,74.57,0.0,0.0
2016-10-30,71.15,71.15,71.15,0.0,0.0,71.62,71.62,71.62,0.0,0.0,71.11,71.11,71.11,0.0,0.0,71.24,71.24,71.24,0.0,0.0
2016-11-06,77.0,77.0,77.0,0.0,0.0,81.35,81.35,81.35,0.0,0.0,76.99,76.99,76.99,0.0,0.0,80.26,80.26,80.26,0.0,0.0
2016-11-13,82.09,82.09,82.09,0.0,0.0,83.05,83.05,83.05,0.0,0.0,81.99,81.99,81.99,0.0,0.0,82.71,82.71,82.71,0.0,0.0
2016-11-20,85.27,85.27,85.27,0.0,0.0,86.7,86.7,86.7,0.0,0.0,85.1,85.1,85.1,0.0,0.0,86.39,86.39,86.39,0.0,0.0
2016-11-27,87.24,87.24,87.24,0.0,0.0,87.52,87.52,87.52,0.0,0.0,86.89,86.89,86.89,0.0,0.0,87.3,87.3,87.3,0.0,0.0
2016-12-04,88.36,88.36,88.36,0.0,0.0,89.91,89.91,89.91,0.0,0.0,88.36,88.36,88.36,0.0,0.0,89.65,89.65,89.65,0.0,0.0
2016-12-11,93.51,93.51,93.51,0.0,0.0,94.3,94.3,94.3,0.0,0.0,92.03,92.03,92.03,0.0,0.0,93.27,93.27,93.27,0.0,0.0
2016-12-18,93.56,93.56,93.56,0.0,0.0,93.7,93.7,93.7,0.0,0.0,93.0,93.0,93.0,0.0,0.0,93.5,93.5,93.5,0.0,0.0
2016-12-25,89.24,89.24,89.24,0.0,0.0,90.58,90.58,90.58,0.0,0.0,88.91,88.91,88.91,0.0,0.0,90.54,90.54,90.54,0.0,0.0
2017-01-01,86.95,86.95,86.95,0.0,0.0,87.32,87.32,87.32,0.0,0.0,86.19,86.19,86.19,0.0,0.0,87.01,87.01,87.01,0.0,0.0
