Date,iShares MSCI Mexico Capped_etf_Open_average,iShares MSCI Mexico Capped_etf_Open_max,iShares MSCI Mexico Capped_etf_Open_min,iShares MSCI Mexico Capped_etf_Open_volatility,iShares MSCI Mexico Capped_etf_Open_change,iShares MSCI Mexico Capped_etf_High_average,iShares MSCI Mexico Capped_etf_High_max,iShares MSCI Mexico Capped_etf_High_min,iShares MSCI Mexico Capped_etf_High_volatility,iShares MSCI Mexico Capped_etf_High_change,iShares MSCI Mexico Capped_etf_Low_average,iShares MSCI Mexico Capped_etf_Low_max,iShares MSCI Mexico Capped_etf_Low_min,iShares MSCI Mexico Capped_etf_Low_volatility,iShares MSCI Mexico Capped_etf_Low_change,iShares MSCI Mexico Capped_etf_Close_average,iShares MSCI Mexico Capped_etf_Close_max,iShares MSCI Mexico Capped_etf_Close_min,iShares MSCI Mexico Capped_etf_Close_volatility,iShares MSCI Mexico Capped_etf_Close_change
2016-01-03,46.24,46.24,46.24,0.0,0.0,46.83,46.83,46.83,0.0,0.0,45.34,45.34,45.34,0.0,0.0,45.37,45.37,45.37,0.0,0.0
2016-01-10,44.92,44.92,44.92,0.0,0.0,45.27,45.27,45.27,0.0,0.0,44.32,44.32,44.32,0.0,0.0,44.79,44.79,44.79,0.0,0.0
2016-01-17,45.58,45.58,45.58,0.0,0.0,45.93,45.93,45.93,0.0,0.0,45.13,45.13,45.13,0.0,0.0,45.49,45.49,45.49,0.0,0.0
2016-01-24,47.05,47.05,47.05,0.0,0.0,48.41,48.41,48.41,0.0,0.0,46.87,46.87,46.87,0.0,0.0,48.39,48.39,48.39,0.0,0.0
2016-01-31,47.95,47.95,47.95,0.0,0.0,48.05,48.05,48.05,0.0,0.0,46.93,46.93,46.93,0.0,0.0,47.11,47.11,47.11,0.0,0.0
2016-02-07,44.75,44.75,44.75,0.0,0.0,45.21,45.21,45.21,0.0,0.0,44.4,44.4,44.4,0.0,0.0,45.19,45.19,45.19,0.0,0.0
2016-02-14,47.8,47.8,47.8,0.0,0.0,48.08,48.08,48.08,0.0,0.0,47.53,47.53,47.53,0.0,0.0,47.81,47.81,47.81,0.0,0.0
2016-02-21,48.71,48.71,48.71,0.0,0.0,48.86,48.86,48.86,0.0,0.0,47.82,47.82,47.82,0.0,0.0,47.85,47.85,47.85,0.0,0.0
2016-02-28,51.06,51.06,51.06,0.0,0.0,51.6,51.6,51.6,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.99,50.99,50.99,0.0,0.0
2016-03-06,50.99,50.99,50.99,0.0,0.0,51.51,51.51,51.51,0.0,0.0,50.88,50.88,50.88,0.0,0.0,51.27,51.27,51.27,0.0,0.0
2016-03-13,53.37,53.37,53.37,0.0,0.0,53.89,53.89,53.89,0.0,0.0,52.81,52.81,52.81,0.0,0.0,52.99,52.99,52.99,0.0,0.0
2016-03-20,51.99,51.99,51.99,0.0,0.0,52.54,52.54,52.54,0.0,0.0,51.76,51.76,51.76,0.0,0.0,52.34,52.34,52.34,0.0,0.0
2016-03-27,52.77,52.77,52.77,0.0,0.0,53.8,53.8,53.8,0.0,0.0,52.62,52.62,52.62,0.0,0.0,53.68,53.68,53.68,0.0,0.0
2016-04-03,51.78,51.78,51.78,0.0,0.0,51.99,51.99,51.99,0.0,0.0,51.08,51.08,51.08,0.0,0.0,51.22,51.22,51.22,0.0,0.0
2016-04-10,52.71,52.71,52.71,0.0,0.0,52.99,52.99,52.99,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.49,52.49,52.49,0.0,0.0
