Date,iShares Dow Jones US_etf_Open_average,iShares Dow Jones US_etf_Open_max,iShares Dow Jones US_etf_Open_min,iShares Dow Jones US_etf_Open_volatility,iShares Dow Jones US_etf_Open_change,iShares Dow Jones US_etf_High_average,iShares Dow Jones US_etf_High_max,iShares Dow Jones US_etf_High_min,iShares Dow Jones US_etf_High_volatility,iShares Dow Jones US_etf_High_change,iShares Dow Jones US_etf_Low_average,iShares Dow Jones US_etf_Low_max,iShares Dow Jones US_etf_Low_min,iShares Dow Jones US_etf_Low_volatility,iShares Dow Jones US_etf_Low_change,iShares Dow Jones US_etf_Close_average,iShares Dow Jones US_etf_Close_max,iShares Dow Jones US_etf_Close_min,iShares Dow Jones US_etf_Close_volatility,iShares Dow Jones US_etf_Close_change
2016-01-03,97.44,97.44,97.44,0.0,0.0,97.58,97.58,97.58,0.0,0.0,95.59,95.59,95.59,0.0,0.0,95.59,95.59,95.59,0.0,0.0
2016-01-10,92.85,92.85,92.85,0.0,0.0,93.69,93.69,93.69,0.0,0.0,92.3,92.3,92.3,0.0,0.0,93.33,93.33,93.33,0.0,0.0
2016-01-17,94.1,94.1,94.1,0.0,0.0,94.77,94.77,94.77,0.0,0.0,93.89,93.89,93.89,0.0,0.0,94.59,94.59,94.59,0.0,0.0
2016-01-24,94.2,94.2,94.2,0.0,0.0,96.11,96.11,96.11,0.0,0.0,94.2,94.2,94.2,0.0,0.0,96.0,96.0,96.0,0.0,0.0
2016-01-31,94.74,94.74,94.74,0.0,0.0,94.74,94.74,94.74,0.0,0.0,92.86,92.86,92.86,0.0,0.0,93.1,93.1,93.1,0.0,0.0
2016-02-07,91.56,91.56,91.56,0.0,0.0,92.3,92.3,92.3,0.0,0.0,91.02,91.02,91.02,0.0,0.0,92.14,92.14,92.14,0.0,0.0
2016-02-14,94.73,94.73,94.73,0.0,0.0,95.19,95.19,95.19,0.0,0.0,94.3,94.3,94.3,0.0,0.0,95.15,95.15,95.15,0.0,0.0
2016-02-21,97.5,97.5,97.5,0.0,0.0,97.5,97.5,97.5,0.0,0.0,96.71,96.71,96.71,0.0,0.0,96.82,96.82,96.82,0.0,0.0
2016-02-28,99.55,99.55,99.55,0.0,0.0,100.11,100.11,100.11,0.0,0.0,99.04,99.04,99.04,0.0,0.0,99.67,99.67,99.67,0.0,0.0
2016-03-06,100.08,100.08,100.08,0.0,0.0,100.81,100.81,100.81,0.0,0.0,99.98,99.98,99.98,0.0,0.0,100.8,100.8,100.8,0.0,0.0
2016-03-13,102.25,102.25,102.25,0.0,0.0,102.29,102.29,102.29,0.0,0.0,101.93,101.93,101.93,0.0,0.0,102.14,102.14,102.14,0.0,0.0
2016-03-20,100.33,100.33,100.33,0.0,0.0,101.0,101.0,101.0,0.0,0.0,100.24,100.24,100.24,0.0,0.0,101.0,101.0,101.0,0.0,0.0
2016-03-27,101.82,101.82,101.82,0.0,0.0,103.12,103.12,103.12,0.0,0.0,101.43,101.43,101.43,0.0,0.0,103.01,103.01,103.01,0.0,0.0
2016-04-03,102.2,102.2,102.2,0.0,0.0,102.43,102.43,102.43,0.0,0.0,101.59,101.59,101.59,0.0,0.0,101.69,101.69,101.69,0.0,0.0
2016-04-10,103.71,103.71,103.71,0.0,0.0,103.71,103.71,103.71,0.0,0.0,103.35,103.35,103.35,0.0,0.0,103.57,103.57,103.57,0.0,0.0
2016-04-17,103.76,103.76,103.76,0.0,0.0,104.33,104.33,104.33,0.0,0.0,103.72,103.72,103.72,0.0,0.0,104.15,104.15,104.15,0.0,0.0
2016-04-24,103.2,103.2,103.2,0.0,0.0,103.26,103.26,103.26,0.0,0.0,102.31,102.31,102.31,0.0,0.0,102.89,102.89,102.89,0.0,0.0
2016-05-01,101.76,101.76,101.76,0.0,0.0,102.42,102.42,102.42,0.0,0.0,101.6,101.6,101.6,0.0,0.0,102.37,102.37,102.37,0.0,0.0
2016-05-08,102.55,102.55,102.55,0.0,0.0,102.95,102.95,102.95,0.0,0.0,101.89,101.89,101.89,0.0,0.0,101.96,101.96,101.96,0.0,0.0
2016-05-15,101.84,101.84,101.84,0.0,0.0,102.51,102.51,102.51,0.0,0.0,101.84,101.84,101.84,0.0,0.0,102.33,102.33,102.33,0.0,0.0
