Date,GPRE_stock_Open_average,GPRE_stock_Open_max,GPRE_stock_Open_min,GPRE_stock_Open_volatility,GPRE_stock_Open_change,GPRE_stock_High_average,GPRE_stock_High_max,GPRE_stock_High_min,GPRE_stock_High_volatility,GPRE_stock_High_change,GPRE_stock_Low_average,GPRE_stock_Low_max,GPRE_stock_Low_min,GPRE_stock_Low_volatility,GPRE_stock_Low_change,GPRE_stock_Close_average,GPRE_stock_Close_max,GPRE_stock_Close_min,GPRE_stock_Close_volatility,GPRE_stock_Close_change,GPRE_stock_Volume_average,GPRE_stock_Volume_max,GPRE_stock_Volume_min,GPRE_stock_Volume_volatility,GPRE_stock_Volume_change
2016-01-03,21.272,22.57,19.45,3.120000000000001,-3.1000000000000014,21.806,23.26,20.28,2.9800000000000004,-2.400000000000002,20.168,21.74,18.52,3.219999999999999,-2.3900000000000006,20.628,22.57,18.53,4.039999999999999,-4.039999999999999,733626,817901,548922,268979,127588
2016-01-10,17.672,18.3,16.93,1.370000000000001,-1.370000000000001,18.23,19.0,17.42,1.5799999999999983,-1.1899999999999977,16.862000000000002,17.31,16.53,0.7799999999999976,-0.7699999999999996,17.476,17.81,17.22,0.5899999999999999,-0.370000000000001,730908,1000180,440811,559369,-387996
2016-01-17,16.97,17.69,16.02,1.6700000000000017,0.25,17.68,18.44,17.04,1.4000000000000021,1.0,16.0,17.38,15.15,2.2299999999999986,1.2199999999999989,17.045,17.81,16.52,1.2899999999999991,1.2899999999999991,644588,811767,576497,235270,34820
2016-01-24,17.432,17.94,16.88,1.0600000000000023,0.4299999999999997,18.114,18.99,17.54,1.4499999999999993,1.0599999999999987,16.938,17.55,16.58,0.9700000000000024,0.9200000000000017,17.562,18.95,16.67,2.2799999999999976,2.2799999999999976,564992,789371,316516,472855,422588
2016-01-31,18.042,18.48,17.73,0.75,-0.5800000000000018,18.378,19.02,17.96,1.0599999999999987,-0.509999999999998,17.348,17.93,16.79,1.1400000000000006,-0.21999999999999886,17.862,18.18,17.44,0.7399999999999984,-0.7399999999999984,473142,495101,437144,57957,21185
2016-02-07,15.42,17.02,13.43,3.59,-3.59,15.746,17.02,13.51,3.51,-3.51,14.388,16.05,12.38,3.67,-3.210000000000001,14.814,16.57,12.96,3.6099999999999994,-3.0999999999999996,855980,1303272,439833,863439,419715
2016-02-14,14.004999999999999,14.59,13.43,1.1600000000000001,0.5700000000000003,14.5375,15.03,13.94,1.0899999999999999,0.40000000000000036,13.4375,13.78,13.19,0.5899999999999999,0.0,14.08,14.32,13.78,0.5400000000000009,0.5400000000000009,702233,919030,493895,425135,-196150
2016-02-21,14.358333333333333,14.95,13.87,1.08,-0.7000000000000011,14.671666666666667,15.33,13.87,1.4600000000000009,-1.4600000000000009,13.863333333333333,14.57,13.44,1.1300000000000008,-0.7000000000000011,14.238333333333333,14.95,13.79,1.1600000000000001,-1.08,749826,865815,594782,271033,-151165
2016-02-28,14.114,15.19,13.44,1.75,1.209999999999999,14.57,15.7,13.75,1.9499999999999993,1.6799999999999997,13.798,14.84,13.25,1.5899999999999999,1.379999999999999,14.312,15.15,13.53,1.620000000000001,1.5500000000000007,821923,1102252,671207,431045,-327389
2016-03-06,14.816,15.39,14.34,1.0500000000000007,-0.5999999999999996,15.188,15.72,14.4,1.3200000000000003,-0.2400000000000002,14.254,14.87,13.5,1.3699999999999992,-0.34999999999999964,14.78,15.71,14.28,1.4300000000000015,-0.4400000000000013,733541,822805,626996,195809,-84510
2016-03-13,15.27,16.12,14.87,1.2500000000000018,1.0800000000000018,15.836,16.41,15.37,1.040000000000001,0.5800000000000001,15.002,15.78,14.63,1.1499999999999986,1.0399999999999991,15.475999999999999,16.13,14.94,1.1899999999999995,0.9799999999999986,562577,911940,313498,598442,401382
2016-03-20,15.24,16.0,14.32,1.6799999999999997,-1.6799999999999997,15.4225,16.16,14.67,1.4900000000000002,-1.4900000000000002,14.825,15.58,13.98,1.5999999999999996,-1.5999999999999996,15.025,15.71,14.56,1.1500000000000004,-1.08,440876,618794,322986,295808,-112418
2016-03-27,14.914,15.71,14.17,1.540000000000001,1.0700000000000003,15.388,16.02,14.68,1.3399999999999999,1.2699999999999996,14.62,15.19,13.88,1.3099999999999987,1.0,15.192,15.96,14.42,1.540000000000001,1.1999999999999993,561236,801274,220647,580627,580627
2016-04-03,15.454,15.8,15.01,0.7900000000000009,0.2900000000000009,15.936,17.02,15.11,1.9100000000000001,1.209999999999999,15.122,15.79,14.69,1.0999999999999996,0.7899999999999991,15.69,16.81,15.0,1.8099999999999987,1.6899999999999995,787479,1114606,506353,608253,555055
