Date,iShares US UtilitiesEtf_Open_average,iShares US UtilitiesEtf_Open_max,iShares US UtilitiesEtf_Open_min,iShares US UtilitiesEtf_Open_volatility,iShares US UtilitiesEtf_Open_change,iShares US UtilitiesEtf_High_average,iShares US UtilitiesEtf_High_max,iShares US UtilitiesEtf_High_min,iShares US UtilitiesEtf_High_volatility,iShares US UtilitiesEtf_High_change,iShares US UtilitiesEtf_Low_average,iShares US UtilitiesEtf_Low_max,iShares US UtilitiesEtf_Low_min,iShares US UtilitiesEtf_Low_volatility,iShares US UtilitiesEtf_Low_change,iShares US UtilitiesEtf_Close_average,iShares US UtilitiesEtf_Close_max,iShares US UtilitiesEtf_Close_min,iShares US UtilitiesEtf_Close_volatility,iShares US UtilitiesEtf_Close_change
2016-01-03,107.63,107.63,107.63,0.0,0.0,108.23,108.23,108.23,0.0,0.0,107.22,107.22,107.22,0.0,0.0,107.33,107.33,107.33,0.0,0.0
2016-01-10,107.98,107.98,107.98,0.0,0.0,108.47,108.47,108.47,0.0,0.0,106.61,106.61,106.61,0.0,0.0,107.83,107.83,107.83,0.0,0.0
2016-01-17,107.57,107.57,107.57,0.0,0.0,109.08,109.08,109.08,0.0,0.0,107.24,107.24,107.24,0.0,0.0,109.07,109.07,109.07,0.0,0.0
2016-01-24,111.47,111.47,111.47,0.0,0.0,113.18,113.18,113.18,0.0,0.0,111.47,111.47,111.47,0.0,0.0,113.18,113.18,113.18,0.0,0.0
2016-01-31,115.11,115.11,115.11,0.0,0.0,116.33,116.33,116.33,0.0,0.0,113.94,113.94,113.94,0.0,0.0,115.88,115.88,115.88,0.0,0.0
2016-02-07,114.13,114.13,114.13,0.0,0.0,114.48,114.48,114.48,0.0,0.0,112.65,112.65,112.65,0.0,0.0,113.59,113.59,113.59,0.0,0.0
2016-02-14,115.43,115.43,115.43,0.0,0.0,115.68,115.68,115.68,0.0,0.0,114.57,114.57,114.57,0.0,0.0,115.06,115.06,115.06,0.0,0.0
2016-02-21,117.59,117.59,117.59,0.0,0.0,117.59,117.59,117.59,0.0,0.0,114.85,114.85,114.85,0.0,0.0,114.88,114.88,114.88,0.0,0.0
2016-02-28,115.51,115.51,115.51,0.0,0.0,117.77,117.77,117.77,0.0,0.0,115.28,115.28,115.28,0.0,0.0,117.45,117.45,117.45,0.0,0.0
2016-03-06,120.48,120.48,120.48,0.0,0.0,120.68,120.68,120.68,0.0,0.0,119.83,119.83,119.83,0.0,0.0,120.1,120.1,120.1,0.0,0.0
