Date,ETH_stock_Open_average,ETH_stock_Open_max,ETH_stock_Open_min,ETH_stock_Open_volatility,ETH_stock_Open_change,ETH_stock_High_average,ETH_stock_High_max,ETH_stock_High_min,ETH_stock_High_volatility,ETH_stock_High_change,ETH_stock_Low_average,ETH_stock_Low_max,ETH_stock_Low_min,ETH_stock_Low_volatility,ETH_stock_Low_change,ETH_stock_Close_average,ETH_stock_Close_max,ETH_stock_Close_min,ETH_stock_Close_volatility,ETH_stock_Close_change,ETH_stock_Volume_average,ETH_stock_Volume_max,ETH_stock_Volume_min,ETH_stock_Volume_volatility,ETH_stock_Volume_change
2016-01-03,26.58,27.38,25.79,1.5899999999999999,-1.5899999999999999,26.9,27.47,26.04,1.4299999999999997,-1.3399999999999999,26.172,26.95,25.15,1.8000000000000007,-1.3900000000000006,26.352,27.13,25.19,1.9399999999999977,-1.7899999999999991,157262,215244,127836,87408,72000
2016-01-10,24.92,25.94,23.37,2.5700000000000003,-2.0299999999999976,25.424,26.04,24.36,1.6799999999999997,-1.5399999999999991,24.216,25.17,23.1,2.0700000000000003,-2.049999999999997,24.732,25.66,23.94,1.7199999999999989,-1.4200000000000017,224525,290630,176739,113891,71108
2016-01-17,23.939999999999998,24.88,22.95,1.9299999999999997,0.6600000000000001,24.762500000000003,25.94,23.94,2.0,1.5300000000000011,23.4725,24.7,22.46,2.2399999999999984,1.5199999999999996,24.267500000000002,25.46,23.42,2.039999999999999,2.039999999999999,212227,249952,144251,105701,90566
2016-01-24,26.56,28.65,25.29,3.3599999999999994,1.6900000000000013,27.438,29.49,26.15,3.34,1.2100000000000009,25.662,26.53,25.07,1.4600000000000009,1.4600000000000009,26.196,26.9,25.53,1.3699999999999974,1.1699999999999982,773533,1654386,292721,1361665,368152
2016-01-31,27.46,28.53,26.55,1.9800000000000004,0.8399999999999999,28.073999999999998,28.74,27.39,1.3499999999999979,-0.41000000000000014,26.896,27.24,26.2,1.0399999999999991,0.4400000000000013,27.494,28.44,26.72,1.7200000000000024,-0.9200000000000017,526948,893310,275286,618024,-368979
2016-02-07,26.374,26.91,25.92,0.9899999999999984,-0.36999999999999744,26.846,27.33,26.3,1.0299999999999976,-0.19000000000000128,25.996,26.2,25.64,0.5599999999999987,-0.35999999999999943,26.378,26.7,26.02,0.6799999999999997,-0.4499999999999993,236524,292374,154259,138115,31073
2016-02-14,27.6175,28.39,26.68,1.7100000000000009,1.0399999999999991,28.3125,28.6,28.0,0.6000000000000014,-0.3299999999999983,27.2275,27.62,26.31,1.3100000000000023,1.3100000000000023,27.8675,28.1,27.66,0.4400000000000013,-0.3000000000000007,223080,234783,199799,34984,-34984
2016-02-21,28.470000000000002,28.62,28.19,0.4299999999999997,0.4299999999999997,28.776,28.83,28.73,0.09999999999999787,-0.03999999999999915,28.082,28.28,27.82,0.46000000000000085,0.019999999999999574,28.54,28.72,28.41,0.3099999999999987,-0.15000000000000213,144229,165524,113315,52209,-3957
2016-02-28,29.162,29.84,28.61,1.2300000000000004,1.2300000000000004,29.522,29.93,29.08,0.8500000000000014,0.5899999999999999,28.886,29.42,28.4,1.0200000000000031,0.8000000000000007,29.286,29.77,28.53,1.2399999999999984,1.0700000000000003,187538,259792,121616,138176,-120813
2016-03-06,29.764,29.91,29.59,0.3200000000000003,0.23999999999999844,30.052,30.17,29.86,0.3100000000000023,0.3100000000000023,29.474,29.7,29.28,0.41999999999999815,0.3200000000000003,29.762,30.05,29.57,0.4800000000000004,0.22000000000000242,179334,220004,132484,87520,-25098
