Date,SHLDQ_stock_Open_average,SHLDQ_stock_Open_max,SHLDQ_stock_Open_min,SHLDQ_stock_Open_volatility,SHLDQ_stock_Open_change,SHLDQ_stock_High_average,SHLDQ_stock_High_max,SHLDQ_stock_High_min,SHLDQ_stock_High_volatility,SHLDQ_stock_High_change,SHLDQ_stock_Low_average,SHLDQ_stock_Low_max,SHLDQ_stock_Low_min,SHLDQ_stock_Low_volatility,SHLDQ_stock_Low_change,SHLDQ_stock_Close_average,SHLDQ_stock_Close_max,SHLDQ_stock_Close_min,SHLDQ_stock_Close_volatility,SHLDQ_stock_Close_change,SHLDQ_stock_Volume_average,SHLDQ_stock_Volume_max,SHLDQ_stock_Volume_min,SHLDQ_stock_Volume_volatility,SHLDQ_stock_Volume_change
2016-01-03,19.758,20.48,18.61,1.870000000000001,-1.240000000000002,20.014,20.48,19.36,1.120000000000001,-1.0700000000000003,18.858,19.7,17.96,1.7399999999999984,-1.7399999999999984,19.03,19.95,18.03,1.9199999999999982,-1.759999999999998,526275,666982,435454,231528,30587
2016-01-10,18.306,18.98,17.63,1.3500000000000014,-0.46000000000000085,18.724,19.54,17.82,1.7199999999999989,-0.6799999999999997,17.622,18.37,16.88,1.490000000000002,-0.4200000000000017,18.064,18.76,17.14,1.620000000000001,-0.8399999999999999,748490,899865,574526,325339,230204
2016-01-17,16.935,17.45,16.4,1.0500000000000007,0.23999999999999844,17.6375,18.1,17.36,0.740000000000002,0.4400000000000013,16.7075,17.2,16.27,0.9299999999999997,0.4399999999999977,17.17,18.03,16.79,1.240000000000002,1.1900000000000013,738625,1030583,425105,605478,-190313
2016-01-24,17.346,18.1,16.74,1.360000000000003,-0.8000000000000007,17.868,18.4,17.27,1.129999999999999,-0.5199999999999996,16.782,17.33,16.45,0.879999999999999,-0.18999999999999773,17.096,17.41,16.85,0.5599999999999987,0.0799999999999983,556901,665075,484002,181073,-122632
2016-01-31,17.27,17.55,16.94,0.6099999999999994,0.5300000000000011,17.863999999999997,18.33,17.49,0.8399999999999999,0.129999999999999,16.791999999999998,17.24,16.27,0.9699999999999989,0.7199999999999989,17.416,17.69,16.89,0.8000000000000007,-0.2700000000000031,470857,613176,296227,316949,-144864
2016-02-07,15.736,17.17,14.56,2.610000000000001,-1.8300000000000018,16.236,17.3,15.15,2.1500000000000004,-1.2200000000000024,15.208,16.11,14.56,1.549999999999999,-0.9599999999999991,15.498,16.73,15.01,1.7200000000000006,-1.2800000000000011,713818,1148879,447119,701760,-95072
2016-02-14,16.6975,17.82,15.83,1.9900000000000002,1.1199999999999992,17.415,18.18,16.29,1.8900000000000006,0.9600000000000009,15.9175,16.27,15.06,1.209999999999999,1.209999999999999,17.0475,18.05,16.19,1.8599999999999994,0.5199999999999996,732877,1043482,367896,675586,-282520
2016-02-21,17.223333333333333,18.23,16.46,1.7699999999999996,1.0199999999999996,17.808333333333334,18.46,17.52,0.9400000000000013,0.6900000000000013,17.053333333333335,18.23,16.44,1.7899999999999991,1.2699999999999996,17.59,18.26,16.97,1.2900000000000027,1.1900000000000013,480450,821209,0,821209,-425286
2016-02-28,17.828,18.39,17.31,1.0800000000000018,0.4499999999999993,18.240000000000002,18.72,17.92,0.7999999999999972,0.28999999999999915,17.422,18.0,17.0,1.0,0.5399999999999991,17.698,18.09,17.17,0.9199999999999982,0.5800000000000018,576196,793882,406855,387027,209184
2016-03-06,17.726,18.38,16.92,1.4599999999999973,-1.2099999999999973,17.951999999999998,18.5,17.33,1.1700000000000017,-1.1700000000000017,17.064,17.82,16.51,1.3099999999999987,-1.3099999999999987,17.39,18.29,16.76,1.5299999999999976,-1.5299999999999976,581199,678392,501325,177067,-177067
