Date,Vanguard FTSE EuropeEtf_Open_average,Vanguard FTSE EuropeEtf_Open_max,Vanguard FTSE EuropeEtf_Open_min,Vanguard FTSE EuropeEtf_Open_volatility,Vanguard FTSE EuropeEtf_Open_change,Vanguard FTSE EuropeEtf_High_average,Vanguard FTSE EuropeEtf_High_max,Vanguard FTSE EuropeEtf_High_min,Vanguard FTSE EuropeEtf_High_volatility,Vanguard FTSE EuropeEtf_High_change,Vanguard FTSE EuropeEtf_Low_average,Vanguard FTSE EuropeEtf_Low_max,Vanguard FTSE EuropeEtf_Low_min,Vanguard FTSE EuropeEtf_Low_volatility,Vanguard FTSE EuropeEtf_Low_change,Vanguard FTSE EuropeEtf_Close_average,Vanguard FTSE EuropeEtf_Close_max,Vanguard FTSE EuropeEtf_Close_min,Vanguard FTSE EuropeEtf_Close_volatility,Vanguard FTSE EuropeEtf_Close_change
2016-01-03,47.64,47.64,47.64,0.0,0.0,47.64,47.64,47.64,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.75,46.75,46.75,0.0,0.0
2016-01-10,45.47,45.47,45.47,0.0,0.0,45.76,45.76,45.76,0.0,0.0,45.04,45.04,45.04,0.0,0.0,45.26,45.26,45.26,0.0,0.0
2016-01-17,46.17,46.17,46.17,0.0,0.0,46.39,46.39,46.39,0.0,0.0,45.94,45.94,45.94,0.0,0.0,46.27,46.27,46.27,0.0,0.0
2016-01-24,46.38,46.38,46.38,0.0,0.0,47.11,47.11,47.11,0.0,0.0,46.38,46.38,46.38,0.0,0.0,47.11,47.11,47.11,0.0,0.0
2016-01-31,46.35,46.35,46.35,0.0,0.0,46.43,46.43,46.43,0.0,0.0,45.68,45.68,45.68,0.0,0.0,45.82,45.82,45.82,0.0,0.0
2016-02-07,44.08,44.08,44.08,0.0,0.0,44.63,44.63,44.63,0.0,0.0,43.94,43.94,43.94,0.0,0.0,44.63,44.63,44.63,0.0,0.0
2016-02-14,45.75,45.75,45.75,0.0,0.0,46.08,46.08,46.08,0.0,0.0,45.57,45.57,45.57,0.0,0.0,46.06,46.06,46.06,0.0,0.0
2016-02-21,46.08,46.08,46.08,0.0,0.0,46.15,46.15,46.15,0.0,0.0,45.69,45.69,45.69,0.0,0.0,45.76,45.76,45.76,0.0,0.0
2016-02-28,47.62,47.62,47.62,0.0,0.0,47.88,47.88,47.88,0.0,0.0,47.54,47.54,47.54,0.0,0.0,47.62,47.62,47.62,0.0,0.0
2016-03-06,48.17,48.17,48.17,0.0,0.0,48.63,48.63,48.63,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.63,48.63,48.63,0.0,0.0
2016-03-13,48.82,48.82,48.82,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.65,48.65,48.65,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2016-03-20,47.37,47.37,47.37,0.0,0.0,47.58,47.58,47.58,0.0,0.0,47.25,47.25,47.25,0.0,0.0,47.55,47.55,47.55,0.0,0.0
2016-03-27,47.68,47.68,47.68,0.0,0.0,48.24,48.24,48.24,0.0,0.0,47.63,47.63,47.63,0.0,0.0,48.18,48.18,48.18,0.0,0.0
2016-04-03,47.92,47.92,47.92,0.0,0.0,48.08,48.08,48.08,0.0,0.0,47.82,47.82,47.82,0.0,0.0,47.98,47.98,47.98,0.0,0.0
2016-04-10,49.14,49.14,49.14,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.05,49.05,49.05,0.0,0.0
2016-04-17,49.79,49.79,49.79,0.0,0.0,49.94,49.94,49.94,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.84,49.84,49.84,0.0,0.0
2016-04-24,50.04,50.04,50.04,0.0,0.0,50.14,50.14,50.14,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.86,49.86,49.86,0.0,0.0
2016-05-01,48.22,48.22,48.22,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.2,48.2,48.2,0.0,0.0,48.64,48.64,48.64,0.0,0.0
2016-05-08,48.27,48.27,48.27,0.0,0.0,48.51,48.51,48.51,0.0,0.0,48.01,48.01,48.01,0.0,0.0,48.1,48.1,48.1,0.0,0.0
2016-05-15,48.53,48.53,48.53,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.49,48.49,48.49,0.0,0.0,48.6,48.6,48.6,0.0,0.0
2016-05-22,50.02,50.02,50.02,0.0,0.0,50.09,50.09,50.09,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2016-05-29,49.78,49.78,49.78,0.0,0.0,50.02,50.02,50.02,0.0,0.0,49.55,49.55,49.55,0.0,0.0,50.01,50.01,50.01,0.0,0.0
2016-06-05,48.7,48.7,48.7,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.02,48.02,48.02,0.0,0.0,48.14,48.14,48.14,0.0,0.0
2016-06-12,46.41,46.41,46.41,0.0,0.0,46.92,46.92,46.92,0.0,0.0,46.21,46.21,46.21,0.0,0.0,46.87,46.87,46.87,0.0,0.0
2016-06-19,44.93,44.93,44.93,0.0,0.0,46.02,46.02,46.02,0.0,0.0,44.48,44.48,44.48,0.0,0.0,44.48,44.48,44.48,0.0,0.0
2016-06-26,46.76,46.76,46.76,0.0,0.0,46.88,46.88,46.88,0.0,0.0,46.63,46.63,46.63,0.0,0.0,46.72,46.72,46.72,0.0,0.0
2016-07-03,45.66,45.66,45.66,0.0,0.0,45.73,45.73,45.73,0.0,0.0,45.48,45.48,45.48,0.0,0.0,45.66,45.66,45.66,0.0,0.0
2016-07-10,47.32,47.32,47.32,0.0,0.0,47.39,47.39,47.39,0.0,0.0,47.1,47.1,47.1,0.0,0.0,47.22,47.22,47.22,0.0,0.0
2016-07-17,47.35,47.35,47.35,0.0,0.0,47.38,47.38,47.38,0.0,0.0,47.17,47.17,47.17,0.0,0.0,47.29,47.29,47.29,0.0,0.0
2016-07-24,48.03,48.03,48.03,0.0,0.0,48.37,48.37,48.37,0.0,0.0,47.96,47.96,47.96,0.0,0.0,48.28,48.28,48.28,0.0,0.0
2016-07-31,47.65,47.65,47.65,0.0,0.0,47.92,47.92,47.92,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.89,47.89,47.89,0.0,0.0
2016-08-07,49.17,49.17,49.17,0.0,0.0,49.17,49.17,49.17,0.0,0.0,48.88,48.88,48.88,0.0,0.0,48.94,48.94,48.94,0.0,0.0
2016-08-14,48.79,48.79,48.79,0.0,0.0,49.01,49.01,49.01,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.95,48.95,48.95,0.0,0.0
2016-08-21,49.09,49.09,49.09,0.0,0.0,49.55,49.55,49.55,0.0,0.0,48.42,48.42,48.42,0.0,0.0,48.6,48.6,48.6,0.0,0.0
2016-08-28,49.5,49.5,49.5,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.67,49.67,49.67,0.0,0.0
2016-09-04,49.5,49.5,49.5,0.0,0.0,49.51,49.51,49.51,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.86,48.86,48.86,0.0,0.0
2016-09-11,47.79,47.79,47.79,0.0,0.0,47.79,47.79,47.79,0.0,0.0,47.52,47.52,47.52,0.0,0.0,47.61,47.61,47.61,0.0,0.0
2016-09-18,48.82,48.82,48.82,0.0,0.0,49.04,49.04,49.04,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.86,48.86,48.86,0.0,0.0
2016-09-25,48.42,48.42,48.42,0.0,0.0,48.87,48.87,48.87,0.0,0.0,48.33,48.33,48.33,0.0,0.0,48.73,48.73,48.73,0.0,0.0
