Date,iShares MSCI China_etf_Open_average,iShares MSCI China_etf_Open_max,iShares MSCI China_etf_Open_min,iShares MSCI China_etf_Open_volatility,iShares MSCI China_etf_Open_change,iShares MSCI China_etf_High_average,iShares MSCI China_etf_High_max,iShares MSCI China_etf_High_min,iShares MSCI China_etf_High_volatility,iShares MSCI China_etf_High_change,iShares MSCI China_etf_Low_average,iShares MSCI China_etf_Low_max,iShares MSCI China_etf_Low_min,iShares MSCI China_etf_Low_volatility,iShares MSCI China_etf_Low_change,iShares MSCI China_etf_Close_average,iShares MSCI China_etf_Close_max,iShares MSCI China_etf_Close_min,iShares MSCI China_etf_Close_volatility,iShares MSCI China_etf_Close_change
2016-01-03,40.86,40.86,40.86,0.0,0.0,40.99,40.99,40.99,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.98,39.98,39.98,0.0,0.0
2016-01-10,37.78,37.78,37.78,0.0,0.0,38.03,38.03,38.03,0.0,0.0,37.15,37.15,37.15,0.0,0.0,37.8,37.8,37.8,0.0,0.0
2016-01-17,38.91,38.91,38.91,0.0,0.0,39.03,39.03,39.03,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.95,38.95,38.95,0.0,0.0
2016-01-24,38.84,38.84,38.84,0.0,0.0,39.3,39.3,39.3,0.0,0.0,38.74,38.74,38.74,0.0,0.0,39.28,39.28,39.28,0.0,0.0
2016-01-31,37.93,37.93,37.93,0.0,0.0,37.93,37.93,37.93,0.0,0.0,37.18,37.18,37.18,0.0,0.0,37.37,37.37,37.37,0.0,0.0
2016-02-07,36.0,36.0,36.0,0.0,0.0,36.59,36.59,36.59,0.0,0.0,35.93,35.93,35.93,0.0,0.0,36.56,36.56,36.56,0.0,0.0
2016-02-14,38.41,38.41,38.41,0.0,0.0,38.74,38.74,38.74,0.0,0.0,38.28,38.28,38.28,0.0,0.0,38.54,38.54,38.54,0.0,0.0
2016-02-21,38.81,38.81,38.81,0.0,0.0,38.93,38.93,38.93,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.43,38.43,38.43,0.0,0.0
2016-02-28,40.83,40.83,40.83,0.0,0.0,41.61,41.61,41.61,0.0,0.0,40.61,40.61,40.61,0.0,0.0,41.41,41.41,41.41,0.0,0.0
2016-03-06,40.79,40.79,40.79,0.0,0.0,41.32,41.32,41.32,0.0,0.0,40.74,40.74,40.74,0.0,0.0,41.31,41.31,41.31,0.0,0.0
